,BTC,ETH,BCH,XRP,BTG,DASH,LTC,XMR,NEO,MIOTA,ETC,XEM,EOS,ZEC,ADA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0847322608223194,-0.0951780956694505,0.010710541106512,-0.0570535884536633,0.313737390633034,0.0632427236923113,0.0641055982511286,-0.180582096528266,3.46944695195361e-18,-0.296435637431639,0.135011892011346,0.0473530105695396,0.126497784666398,0,-0.342968140867766,0,0,0
ETH,0,0,-0.0316503185951257,0.139826715908628,0.0407213393263469,-0.0822389834431095,0,0.155396150265968,0,-0.0133372964790621,0,0.0808087682908556,8.67361737988404e-19,0.0852085265767931,0,0,0,0,0,-0.0096542553828009
BCH,-0.0955299544703357,0.175891100486398,0,0,0.1077958114184,0.00756063096692938,-1.67299608295077,0,0.689075327336332,0,0.380878019179964,0,0,0.300402732209545,-0.0532938254101045,0,0,0,0,-6.93889390390723e-18
XRP,0,0.386194987128774,-0.0621177819137441,0,-0.015617508420063,0,0.127786334564565,0.288783363325643,0,0.129340965128738,0.0355336723336285,0,0.110396047111961,-0.0464573978919328,-0.108820814071132,0,0,0,0,-0.139176402855384
BTG,3.22550466777897,0,-0.674507947445519,-0.0471784357199846,0,0,-1.49198988685224,0,0,-0.121278150776864,1.05014632486465,-1.36700582263806,-0.992169494806434,0,-0.639849748999036,0,0,0,0,-1.96931064929699
DASH,-0.205723151025326,0,0.246275371993726,0,0.120509810429373,0,0,0.583893861044475,-0.0586937568186809,0.123207361778375,-0.674581742437745,0,-0.00337245549172787,0.560110355921555,-0.0697163140347164,0,0,0,0,0
LTC,0.268912558482386,0,-0.170286239371975,0.20876074559956,-0.00186814803354252,0.130126145868848,0,0.104687032289532,0.0404482753255332,-0.00470080903091218,0.221356258219854,0.027261764936939,0.019315788320531,0,-0.0804506583895593,0,0,0,0,0
XMR,0,0.170648756314492,-0.0186250995775858,0.0446047345407604,0,0,0,0,0.184127236400261,0.0196112013165575,0,0,-0.002924203842859,0.0904158426756657,0.223713293123804,0,0,0,0,-0.128843649045527
NEO,-0.180155373125698,0.362171657288007,0.0652812801049267,-0.180570035934141,-0.0961497508385051,0,-0.0995567593611901,0.296512790342027,0,-0.159716526574229,0.25916797104924,0,0.075002466304571,0.104342138554975,0.0703679516499398,0,0,0,0,0
MIOTA,0,0,-0.0808119303284414,0,-0.03219970064631,0,-0.321099334351518,0.374237716889243,0.0493902858168399,0,-0.057128602212623,0.652052915450503,0.216154594042959,0.167097763122147,0.0333569976864744,0,0,0,0,0
ETC,-0.135894241745721,0,0.166909925610931,0.250461939032782,0.0285370841399461,-0.381428941245867,0.120182763467592,0,0.0992552713362816,0.112414110237484,0,0,0.0642602917346048,0,0.0807734168766726,0,0,0,0,0.0992234556751997
XEM,0,0.160396491487083,-0.0166217412139654,-0.0307303720729715,-0.0502715992557184,0,0.0740257418701599,0,0.113090788810636,0.135830247428239,0.127752179425264,0,-0.0207609315459817,0.165353855561269,0.100350286988764,0,0,0,0,-0.072942662635257
EOS,0.671859433832424,0.284377823117048,0.132207999834338,0.557566026478144,-0.104098087321594,0.207382397797991,0,-0.499726378561055,0.0996110400788566,-0.0634712656724496,0.14264091525142,0.116232333237957,0,0.225474817076444,-0.0166069003913569,2.55400373260508,0,0,0,0
ZEC,0,0.313681815301868,0.00451261832552482,-0.324816056968594,-0.0291537295384467,0.242508775293954,0,0.32203313437238,-0.0638805132370655,0,0,0.183109756416134,0.0468471491243801,0,-0.0521508657487754,0,0,0,0,0.13354034698232
ADA,0,0.465946076021938,0,0,0,0.388525998430377,0.033859280213841,0,0.205786914313174,0.500353891892977,0.0605884062707599,0.740277008500974,0.0585723159672487,-0.725792180512089,0,0,2.08657480602711,0,0,0
BV010082.Index,0,0,-0.026474720300261,0,0.00608943114314631,0,-0.0878387226261416,0,0.0309978387900471,0.0505762163196698,0,0,0.0155648039445178,0,-0.0076480224280492,0,0,0,0,0
CVIX.Index,0.0764070219641017,0,0.0503162601965229,-0.104546540075511,-0.0112407932123868,0,0,0,-0.0171736271508197,0,0.022121453167302,0.0766178187304229,0.0085085751535961,-0.0289945157151904,0.071029977161228,0,0,0,0,0.079556919236369
DXY.Curncy,0,0,-0.0227345258924108,0,-0.00609268160345389,0,-0.0129456133068009,0.0082621963006503,0.0104068601967207,-0.0143048078484271,0.0163678338472713,0,-0.00164083607131835,0.0101490865731017,-0.017587254710754,0,-0.0736761558643061,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0.00249211198886917,0,0.0093425374034819,-0.00616269696934491,-0.0151778487665545,-7.51381184554011e-05,0,-0.0578247682103332,0,0,-0.0253935836276727
VIX.Index,-0.469481445874645,0.162563318261699,-0.454845033297131,0.166577647952477,-0.0234748780936417,0.0414914663908762,0.0983946252881396,-0.219572506322892,0.181587515302085,0.273256322727398,0.0508909226938093,0,-0.0377763615322871,0.10661574017083,6.93889390390723e-18,0,0,0,0,0
