,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,BNB,MIOTA,XMR,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.116973968485048,-0.116916017268839,0,0,0.227311335222202,0.0460208829198284,0.0523180016440376,0.0104285284812498,3.46944695195361e-18,0.111964636986012,0.0593968248224726,0.129023475046318,0.111070398235522,0.103431463668357,0,0,0,0,-0.0414303303868021
XRP,0,0,0.194247494500791,0.0413522035062885,0,0,0.107402172439189,0,-0.00305262280039877,0,0.144607528900038,0,-3.46944695195361e-18,0.0140790333514745,0.279790975237977,0,0,0,0,0
ETH,0,0.320977024859201,0,0.0336567908216975,0.0948227448523975,0,0,0.102196142794954,0,0,0.138949945040291,0.143421038282318,0,0.0506684024041765,0.12581203115137,0,0,0,0,0
BCH,-0.125349565302955,0,0,0,0.228336473084841,0,0,-0.080185785810116,0.277609319160121,0.724196307497899,0.19459394549431,0.235403433749926,0,0,0,0,0,0,0,-0.417149459339877
EOS,-0.124245613645986,0,0.161279315980247,0,0,0,0.316839177131633,-0.389577577525025,0.00203393314583027,0.65619595827839,0.225775520289882,-0.0797949444325535,0,0.274078722482479,-0.304404363709993,0,0,0,0,0.057145953969124
XLM,0.0340529853983275,0,0,0,0.0565382291631952,0,0,0,-0.0131782066645324,0.358763184166466,0.11500334567158,0.0829672362933126,0.332841782236956,0,0,0,0,0,0,0
LTC,0,0,0.1633144984987,0.0573816986515264,0.22447240930179,0.215543866473551,0,0,0.111032109034015,0,0.141562523142289,0,0.00788451530639012,0,-0.110504534022389,0,0,0,0,-0.0880037720404574
TRX,0,0,0.156265232136162,0,-0.378526622104714,-0.286935708780144,0.00742246765983582,0,-0.00917023999228825,0.616773036073314,0.192211874920111,0.1727447151869,0.298227590094997,0,0,0,0,0,0,0.196515823218098
BSV,0,0,0.11727781100994,0.630493221578524,0.2425810882234,0.311363531571007,0,0.237553988147915,0,0,0,0.0346983880720064,-0.398637952045249,0.0723474034506368,-0.902341166517808,0.638683493452324,0.0992954773655151,0,0,0
ADA,0,0,0.103854541036831,0.126474150927332,0.258225394906049,0,0,0.178425973030631,-0.0259944591599009,0,0.00179847316655238,0.136630749168256,0.119098041324611,0,0,0,0,0,0,-0.0176278072426101
BNB,0,0,0,0.0683037209336985,0.0635013149815139,0.600278364784599,0,0,-0.158945146888664,0.349868163411895,0,0,0,-0.0188072841313629,-0.0723121911800579,0,-0.389111656895087,0,0,0.0686368355718262
MIOTA,0,0,1.73472347597681e-18,0,0.298588703407993,0.147956154734982,0,-0.0157626405718263,0.0791512550695713,0,0.169870794058332,0,0,0.0201306283908501,0.422870462092419,0,0.784187134224614,0,0,0
XMR,0,0,0.206579091912165,0,0.0409176768537827,0.313456498049712,0.073509971960044,0,0,0.129608283314883,0,0,0,0.0382010972344082,0.0501430149642904,0,0,0,0,-0.0477801575420915
DASH,0,0,0.00866753480273416,-0.15287334098934,0.100388849354239,0.37773144810357,0.165253688435579,-0.205909358214947,-0.0183460993343514,0,0.184368051346721,0.181313815784707,0.476627003442303,0,0,0,0,0,0,0
XEM,0,0.436256979231394,0.084573102612506,0.0752929688118446,-0.11324241619352,0.23972851880116,0,0.0730959917290839,0.0820051312428994,-2.77555756156289e-17,0,-0.0195940473734401,0.165464436109031,-0.0540025726093565,0,0,0,0,0,-0.123478092899008
BV010082.Index,0,0,0,-0.0287313683119211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19939313721111
CVIX.Index,0,0,0.22414457430442,-1.73472347597681e-18,0,0,0,-0.3830186165719,0.031801587852559,0,-0.261153568105437,0.112468398233123,0,0.112792893406457,0,-3.46944695195361e-18,0,0,0,0
DXY.Curncy,0,0,0,0,0,0.00057940379578553,0,-0.0425299296821186,0.00402769407155276,0.0134970487798083,0,0,0,0,0.0343565975608076,0.0590548780849113,-0.00744937650704109,0,0,0.00674430776471209
SPX.Index,0,0,-0.0397939491362892,-0.0207341453234305,0,0,0,0.0430666290171375,0.0274614592828825,0,0.00529265846663481,-0.0128160870877425,0,-0.00947859655761341,0.0215014810853245,0.0683305132668409,-0.0530480966193022,0,0,-0.150534314527955
VIX.Index,0,0,-0.21529926639918,-0.324337098044015,0.329873701305568,0,0,0.400066430519885,0.156683856659279,0,0,0.158859535525126,-0.479655221127158,0,0,0,-0.498911044794961,0,-4.09184246922933,0
