,BTC,XRP,ETH,BCH,XLM,EOS,LTC,XMR,ADA,TRX,DASH,MIOTA,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0215685952101811,-0.0501800280803158,0.180147820176865,0.196869165316802,-0.0702669143869135,0.255740242055693,-0.0560252229671911,0,0,0.0760280422940685,0.0652820801645207,0.213575140845215,0,-0.183309154114402,0,0,0.0195517633541513
XRP,0,0,0,0.167384018199415,0.469512230625813,0.111097764136411,0,0,0,0,0,-1.73472347597681e-18,0.374116584759435,0,0,0,0,0,0.0459892303222055
ETH,0,0.180744016894542,0,0.00330878570637633,0.0686777577617476,0.138807368189791,0.303968740863438,0.0992777832769552,0,0.0776112726717706,0.0401791415012222,0.0319464223346255,0.0600416625018797,0.150299752225843,0,0,0,0,0
BCH,0,0,0.914887271356986,0,0,0,0,0,0.200390085667623,0,-0.635556689612084,1.02103836262027,0,0,0,0,0,0,0
XLM,0.57091991253068,0.113018122317519,0,0,0,0.0254778419964404,0,0.170008392321577,0.270570287545999,0,0,0.0275536429676412,0,0,0,0,0,0,0
EOS,0.392982507422467,0,0.401059440476324,0.213407657427022,0.285743976380953,0,0,-0.292237924285066,0,0.056719170505539,-0.0501173740298828,0.0832438333321815,-0.186983910275678,0,0,0,0,0,0
LTC,0,0,0.162742148551654,0.178300563039984,0.112418917804592,0,0,0.0280553785905754,0,0.0867650844679472,0.22412117124571,0.111898777008562,0.019512594486999,0,0,0,0,0,0
XMR,0.806972168312162,0.0354126534536504,0,-0.107967626670744,0,0,-1.38777878078145e-17,0,0.241371293297727,0,0.271329492588297,-0.0364286951100762,0,0,0.0602306859058187,0,0,0,-0.0229491274442369
ADA,0,0.0454491421861017,0,0.0900475809076778,0.0685814514972915,0,0,0.15914852763601,0,0.406252835743144,0.0498697223729672,0.123641196995915,0,0,0,0,0,0,0
TRX,0,0,0.238222629707199,0.0638449331110374,0,0,0,0.00392228705969196,0.201001470414271,0,0.00896803513462719,0,0.0891321317164951,0.312577394705562,0,0,0,0,-0.0961474603745387
DASH,0.159777292427776,0,0.169684945542245,0.033200633697269,0,0,0,0,0.430652373195505,-0.0604646643244562,0,0.0949336197258757,0,0.22521652732926,0,0,0,0,0.0257590620654647
MIOTA,0,6.93889390390723e-18,0.0714813170119723,0,0.14011931717499,0.21517282852176,0,0,0.185936809219531,0.1470368804286,0,0,0.112220605909246,0.205037267946546,0,0,0,0,-0.0243456867175072
XEM,0,0,0,0,0.272476636056747,0,0,0,0.182760409093444,0.105410499362838,0.153549355415432,0.160932567309196,0,0,0,0,0,0,0.0213338280207338
BNB,0.354916331463974,0,0.0454437587696396,0.0533420807904937,0,0,0,0.0414096277270676,0,0.231910441645583,0.166094825890207,0.0727046638666911,0.0746212429362435,0,0,0,0,0,0
BV010082.Index,-0.104177858710179,-0.150141976272314,0.219561751780875,-0.0380455508831375,0,0.0242751476349548,0,-0.0347184978127871,0,0,0,-0.0529314752206353,0.0658904265473482,0,0,-0.115063112264246,0.509168906464203,1.39572733957693,0.105360572621182
CVIX.Index,0,0.104604184272901,0,-0.124417240686487,-0.282283728065222,0,-0.0307855423216255,-0.162601364009113,0,0,0,0.20531262555006,0,0.357960210556109,0,0,0,0,-0.0104625777159742
DXY.Curncy,0.00805031204714387,0.00527583559520194,0,-0.00104114192808313,-0.0590412248339577,0,-0.0332359552701078,0,0,0,0.00267765167366209,0.0248996190162035,0,0.0486878032269883,0.0479784827091217,0,0,0,0
SPX.Index,0,-0.0725326862511031,-0.0725110177879253,0,0.11110311369284,0.031138509036363,0,8.67361737988404e-19,0,-0.00537407348221287,0,0,0.0430529210229477,-0.0481862653310337,0.0518439036183659,0.0390551601227334,0,0,-0.111492379675057
VIX.Index,0,0.0635461724454715,-1.0250181281286,0.364626860328699,0.387845925053729,0,0,0,-0.387468350384049,0,0.260742321157365,0,0.379976791550411,0,1.42724674549862,1.36615742103889,0,-5.51481198465164,0
