,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,MKR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.16846754231371,0,0.0167141995528326,0.0692049905287031,0.0923247572504547,0.0343271359529238,0.0736641601455807,0.01432842188514,0,0,0,0.0193050105194514,0.0530760651883442,0,0,0,0,0,0
ETH,0,0,0,0.286361237337389,0.101065442088995,0.0664716915469056,0,0.145131330922136,0.15312668999772,0,0,0,0,0.196394676105047,0,0,0,0,0,0
XRP,0,0.00610120960736588,0,0.0997800729658779,0.068623853521416,0.158613823038505,0,0.145617831160842,0,0.0676793807137819,0,0,0.0653598691714802,0,0.0271518091044083,0,0.0367675436415397,0,0,0
LTC,0,0.317506958232046,0,0,0.184333979297241,0.146881406622142,0.0638669809097424,0,0.179543589614437,0.0641020413050276,0,0,-0.205555206989779,0.319155399217202,-0.182577579041498,0,0,0,0,0
EOS,0,0,-0.046957214350377,0.347589903342514,0,0.207298314167184,0.0378127380992852,0,0,0,0,0,0.0996142261496564,0.219137905937913,0.268631144575731,0,0,0,0,-0.0333647462570655
BCH,0.334721648289679,0.232037288097564,0.348490285854635,0,0.264463869905252,0,-0.0781315989324567,0.0906767122102517,0,0.190406391957217,0.0499934977727534,-0.159178159279616,0,0,-0.0335691547711809,0,0,0,0,0
BNB,0,0,-0.138537757900133,0.591734734591512,0.0584067231681565,0.0163023852013443,0,0,-0.0505143537417458,0.253056244057445,-0.0607762589331124,0,0,-0.298840606806555,0.0674907884601622,0,-0.243940565922227,0,0,-0.077398339280459
XLM,0,0,0.157593983220315,0.202633248749367,0.0177006439263151,0.0899512063924998,-0.0610841739614588,0,0,0,0.0340785305755503,0,0.255935523846323,0.0643593977614904,-0.0252704333545532,0,0.0812757248793162,0,0,0
ADA,0,0.156900306530298,0,0.157587435710929,0,0.192927117902243,0,0.040877871550229,0,0,0.118819056584951,0,-0.113717962876537,0.398382111973911,0.0967740139536347,0,-0.0936645525323314,0,0,-0.0460577543277826
TRX,0,0.151545335515311,0,0.0349487526556548,0.0356238011983334,0.250695850417764,-0.102533041160388,0,0,0,0.0525648737281329,0,0,0,0.0253141269053628,0.421920312580395,0.07072625632072,0,0,0.21421651937195
BSV,0,0.0598889169333304,0.480772357438368,0.0518236407950418,-1.38777878078145e-17,0.0858620548202975,-0.0933160574008883,0,0.0357930954830725,0.0659339767852783,0,0,0.219208805962475,0,0.123334169237575,0,0,0,0,0
XMR,0,0,0,0,0,0.131104212786911,0,0.169417927448189,0.0352141715733225,0.207958662841069,0.13207223504807,0,0.144883554108898,0,0,-0.0689884910752719,0.00343277216475786,0,0,-0.083232063632255
DASH,0,0.124767960745562,0,0.0806451461815654,0,0,0.0490890194159436,0.156721388204089,0.0881202260901159,0,-0.0643043974201718,0.285543090268915,0,0,-0.0121911083634824,0,0,0,0,0.0386466455535053
MIOTA,0,0.348284526802013,0,0.093924067885451,0,-0.0239062995418482,0,0.0678753619110297,0.172313890501299,0,0,0,0.0588149156026405,0,0,0,-0.0607896734612567,0,0,-0.0347167475410238
MKR,0,0.189992744168669,-0.462881312321541,0.0306951993335078,0.364306127887975,0.0192211117830855,-0.110358925046274,-0.531724906112508,0,-0.0198168771014232,0.56750593038579,0.326062421302377,0,0,0,0.0538327114638636,0,0,0,0
BV010082.Index,0,0,0.17870264231235,-0.122245583855096,-0.103593714587053,0,0.0669131069308281,0,-0.234632064208201,0,0.115744274715451,0.307733160233229,0,0,0.148967475391051,0,-0.265063367015703,0,0,0.0335367905494648
CVIX.Index,0,0.0576596079776598,0.0506071925878698,0.135197289756883,0.105280318485542,-0.326391870754911,-0.017369829744695,0,-0.155479173215506,0,-0.0891734529783737,0,0,0,0.0948878603338737,-0.78977032462606,0,2.37559769124818,-0.431471107116955,-0.0548106363446777
DXY.Curncy,0,0,0,0,-0.00526494685748455,-0.00286455514577925,0.0147232018845152,0,-0.0104777861819829,0.0370967565966735,0.0149997098698845,0,0.0188608746855578,-0.0440706462109676,-1.0842021724855e-19,0.00629794947323897,0.0115814774905138,0,0,0.00522892319876781
SPX.Index,-0.0467001124874347,-0.0310386578647366,0,-0.027748739795258,0,0.0425663241151468,0.0115925894835414,0,-0.0292091201569378,-0.00941036148638235,0.035556043037502,0.0636569772654838,-0.0185215028688752,0,0.0206128784293871,-0.0574592417690375,-0.00600566734272834,0,0,-0.089767764543722
VIX.Index,0,0.185948669454584,0.372079166356576,0,-0.407598741980415,0.0607399204751422,0.039017217894608,0,0,0,0,0,0,0.00594138374807596,0.027128262372867,-0.568631611919798,0,0,-4.59104319729784,0
