,BTC,ETH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,NEO,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0574679481415778,0,0.29330261682699,0.014212123098594,0,0.0945243320892059,0,0,0.030249076967655,0,-0.113633226655425,0.159984488439545,0,-0.531408067068101,0,0,0.15738850787422
ETH,0,0,0.184038802946978,0,0,0.197239245094818,0,0.22210613148815,-6.93889390390723e-18,0,0.00745010102994526,0.042803056531131,0.292411165609212,0,-0.233602004363766,0,0,0.0832653011874473
XRP,-0.201706312156989,0.310434294855222,0,0.209951388518577,0.225374437640633,3.46944695195361e-18,0.157242183736894,0.124679572287922,0,-0.0573643162958411,-0.240126874456642,0.324820623236292,0.044034651313202,0,0.948246286322146,0,0,0.0373423090966262
LTC,0.340723179850673,-0.0428005543993751,-0.00718537443702047,0,0,0.214069722915123,-0.138158177043638,-0.0397070953301167,0.0116451890808538,0.134623034047839,0.116575561511663,0,0.168525875910455,0,0,0,0,0
XEM,0.244404891936469,5.02506514268933e-05,0.326191173709536,0.198643640012262,0,0.0837505684134513,-0.121084894442609,-0.047057118785874,0.338704243048915,0,0,0.0208714352715719,0,0,0,0,0,-0.187869058491364
ETC,0,0.239880044531928,0.103869939768705,0.294373977123905,0,0,0.177914608405433,0,0.152626975947046,-0.0466509306690882,0,-0.157552217727775,-0.0409596409623267,0,0,0,0,0.185646681302509
DASH,0.0899389638117818,0.0794971658458721,0,0,0.162143461113074,0.202824934000348,0,0,0.175014445431023,0.0519714504849874,0,0,0.0455702595124493,0,0,0,0,0.13956527743352
MIOTA,0.532729311514508,0.0124168609786893,1.19502179623014,0,0,0.149593724960693,0.0718545145268961,0,0,0.037525574771418,0,0.0905665968934852,0,0,0,0,0,0
XMR,0,-0.00869849264446238,0,0.135658037709962,0.139735195965829,0,0.46548681356537,0,0,-0.0172103319986417,0,0.254232138315666,0,0,0,0,0,0
NEO,-0.825878517169776,0.20006257019914,-1.66526757623168,-0.0388177704597664,0.884183314529816,0,0.756284589897494,-0.0334261158007268,6.93889390390723e-18,0,0.775344648010399,-6.93889390390723e-18,0,0,-4.30522903861534,0,0,0
ZEC,0,0.207744475173932,0,-4.33680868994202e-19,0,0,0.0705237368157534,0.0436275313348982,0,0.0554989904932992,0,0.258113763511875,0.145986518671189,0,0,0,0,0.0871849121369953
XLM,-0.393843066494473,-0.0135810256379558,0.347672150405087,0.106145761444596,0.281597941197599,0.0634314500509758,-0.00191559226798622,-0.0452242474733662,0.656107918355335,0.062795773052177,0.269624294416277,0,0,0,0,0,0,0
DOGE,0.304628586998181,0,0.525457592486943,0,0,0,6.93889390390723e-18,0.160769950422001,0.313345717443904,0.026969988023821,-0.0519844573371609,-0.229657913702985,0,0.94400593751766,0,0,0,-0.238376499268663
BV010082.Index,-0.109600885813155,0,0,0.00292510447340458,-0.0283134969676579,0,0.0588662711932799,0.0113744813097045,0.0117672165085097,0,0.0394660621876049,-0.0295580654446202,0,0,0,0,0,0.0330050694981538
CVIX.Index,-0.133384054594809,0.0282361978820965,0.0780225792460236,-0.0101728876006172,-0.0284797060852831,0.0455520365420146,-0.154348086157317,0.0586405686074599,0.122714384763905,0.00592565492863153,-0.1111295690701,-0.0568932550516113,0.109697872964444,-0.20409542578966,0,0,0,0.055827241615363
DXY.Curncy,0.0403139501818187,0,0.00195971318760092,0,0,0.00810430397641324,0,0,0,-0.00882777244254223,0,-0.00666028997694322,-0.0216819369415812,0,-0.0418681200846928,0,0,-0.0269027594012415
SPX.Index,0,0.00208924227378904,0.00656798576465336,-0.00141047037948723,0,0,0.00558712136891732,-0.00437952097484619,0,-0.00214939423519509,2.16840434497101e-19,-0.00667866601525156,0.00947773856983219,0.0527282433706316,0,0,0,-0.0655303853925566
VIX.Index,0.221011878442159,0.297197220275331,0.0781633276467411,-0.49369812985432,0,0.0974397754003392,0,-0.164343104606539,0.122809172983403,0,0.126420723446622,-0.085639786218607,0.0511181198828604,0,0,0,0,0
