,BTC,ETH,XRP,BCH,ADA,XLM,NEO,LTC,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.107179239423845,-0.0784841487406535,0.0351762204666822,0.17324092065973,0.0227259201623795,0.071115291149961,-0.0260340118008876,0.141184857316419,0,0.185818586351279,0,-8.67361737988404e-19,0,0,0,0,0
ETH,0,0,0,0,0.0207996988938247,-0.0213593959134138,0.0668189688884152,0.239010906639211,0.0381865654740994,-0.0317519648829917,0,0.112683112250913,-0.0445586672012115,-0.0104732258006177,0.296308600617205,0,0,0,0,-0.084795082219937
XRP,0,0,0,8.67361737988404e-19,-0.0623965237311377,0,0,0,0.29422471774492,0.231911833430119,0,0.150325993176647,0.251970127964423,0.158964238158625,0,0,0,0,0,0.136857971686704
BCH,0,0,-0.0802696627791921,0,0,0.029082908217855,0.210785126871656,0.137860151614351,0.16843687171576,0,0,0.255632607207725,0.144365570241514,0,0.0952835627025414,0,0,0,0,0
ADA,0,0,0.183337724783154,0,0,0,0.18425395473247,0,0.0479685237123489,0.122272334502599,0.103212594601208,0,0,0.0372774568564164,0,0,0,0,0,0
XLM,0.127902288875174,0,0.239025241393353,0,0.240946258186632,0,0.102367467182038,0.0982258104853397,0.003653307626181,0.025546895017214,0.0446441308705827,0,0.301821625699266,-0.191479472746605,0,0,0,0,0,0
NEO,0.129221742362517,0.523776890292988,0,-0.0756916212507507,0.0561916795415341,0.0818401264359636,0,0.0237392505458409,0,0,-0.139804881391666,0.0442462032702266,0,-0.0434312600492729,0.383607937033469,0,0,0,0,0
LTC,0.142385396902256,0.135864638067047,0,-0.0411934232320804,0,-1.73472347597681e-18,0,0,0.041377571932606,0,0.188934235366058,0,-0.0581979101902685,0.0428675292065841,0.104914920719808,0,0,0,0,0
EOS,0,0,0,0.191933050969702,0.0254854709763798,0.226890945167743,-0.054270322527109,0.322327150481434,0,0.0440323158576988,0.0174443238004534,0,0,0.13163959107626,0.141019996073527,0,0,0,0,0
XEM,0,0,0.278802505969716,0.0995575612796226,0.0206632698176597,0,0.127950889201609,-0.417026469690017,0.0979341443775641,0,0.259782920568121,0,0,0,0.193154637878782,0,0,0,0,0
MIOTA,0.297125695214027,-0.228812514343834,-0.122953363393556,0,-0.122374712164554,0.180095298177484,-0.0814275940199282,0,0.297830384020274,0.2622547651016,0,0,0.0830583388550765,-0.0673197643181511,0.518772571130214,0,0,0,0,0
DASH,0,0,0.0242527221198841,0,0.0161244006628334,0,0,0.173885715460566,0.0866434398529721,0,0.029267455781651,0,0.0941057476847565,-0.0119076578001939,0.273001163937807,0,0,0,0,0
XMR,0.134393041728426,0,0,0.18379022421138,0,0.127242114090795,0.0228639648808334,0.0746904667574498,0.0587256489673388,0,0,0.0559115793541814,0,0.0529998954833579,0.0593084697142653,0,0,0,0,0
TRX,1.39895877000023,0.243712699539826,0.274482863398187,0,0,0,-0.0531096052176769,-0.685211386231111,0.234161266422727,-0.78847729997992,0.371677465093015,0,0,0,0,0,0,0,0,0
ETC,0,0.245809866966515,0.0449394898546306,0.194638940804613,0,0,0.133138953570416,0,0.0930402473454908,0,0.0697875576018093,0.00745759276155215,0.288850768369124,-0.00314884271164221,0,0,0,0,0,0
BV010082.Index,-0.0414385630600359,0,0.016325242827508,0.00683152449082557,-0.0430825999826982,0,-0.0145676712886268,0.0263087955000657,0,-0.00369083240427325,0.0196798810657533,0,0.0151300167774151,-0.00282346714701744,0,0,0,0,0,0
CVIX.Index,0.0390525555986881,0.0512687932120811,0.0078373284218277,-0.0106740110632069,0.0558893036925425,-0.030161562661734,0.0254197255076747,0,-1.0842021724855e-19,0.0263862427823263,0.0374361968711627,-0.0123375449977359,-0.0471577213334587,-0.0140550048884604,-0.100578192373923,0,0,0,0,0.0339312768144555
DXY.Curncy,0.00395086126253242,0,0.00531477643635513,0.000238041448519509,0,-0.0103910575291642,0,0.00367986925264847,0,-0.000646507438526002,0.00966117542968376,0,0,0.00502107496339091,-0.0272168477873932,0,-0.0269257370566272,0,0,-0.0262355954786474
SPX.Index,0,0,0.00162456966736489,0,0.00226897855041103,-0.0105781032312506,0.00844458736044573,0.00275391149801087,0.00258206180080825,0.000308490737211398,0,0,0,0,0,0,0,0,0,-0.037950809823517
VIX.Index,0,-0.175431067828475,0.140724477779466,0,0,-0.182908086008879,0.108047248417675,0.00626978745393681,-0.158873045451185,-0.0661695382836941,0.143394141195411,0,0.353828921858944,-0.0448851099466047,0.138833611575783,0,0,0,0,0
