,BTC,XRP,LTC,XLM,DOGE,DASH,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0185116991943611,0.125142127517552,0,0.108547730071489,0.112721842159146,0.0779380102255289,0.0336390208280799,-0.0239706457498722,0,0,0,0,-0.0328055174848088
XRP,0.846484794302722,0,0.00755109448603414,0.339474653244905,8.67361737988404e-19,0.032054571160416,-0.224407915304704,-0.148681808148781,0.0832740047587547,0,-0.149573422477928,0,-0.699036439900411,0
LTC,0.655101290205824,0.205552098218179,0,-0.30073199584757,0.102585848033874,-0.0138427526827797,-0.0752889594653211,0,0,0,0,0,0,0
XLM,1.42490110357303,0.412235885781945,0,0,0,-0.187154240980781,-0.45218553351037,-0.0662900126008496,-0.207431313783092,1.11902488567666,-0.119063015525295,1.20310286804185,-3.09769702646029,-0.581269901577155
DOGE,0,-0.00558769801270944,0.213668542053618,0.377728451000266,0,0,0.161479050156396,0.209311646232727,0.107965989074246,0,0.470932590584383,0,0,3.46944695195361e-18
DASH,0.880593676695954,0,0.324339482072893,0.270705811691128,-0.0393980079657136,0,-0.222632551990464,0.0153171002406618,-0.272292406024679,1.26243325578608,0.292150580309185,0,0,0.0873923008183045
XMR,1.83384493707475,0,0.12600557193487,0.0251304192140523,0.0944444761121089,-0.718450306956024,0,0,0.167765191695302,0.805527455358237,-0.212648793306632,2.37646942008743,-6.28156700707915,-0.844866281383967
XEM,0,0.051576477056077,0,0.758042709030623,1.17186248823202,0.312262615574883,-0.750348253958524,0,0,0,-0.446019736278436,0,0,-0.077984289919995
DGB,0,0,0.420033749959449,-0.00591506033718409,0,0.332145125458196,0.411933016380203,0.139020470448443,0,2.82192752170072,-0.138379392024973,0,0,0.423997064645476
BV010082.Index,0,-0.0360925940947761,0,0.108968088931319,-0.125049551903537,0.0259096462868746,0.0618534217928337,0.00748711937759605,0.056168480469883,0,0,0.224884968661746,0,0.0651051875443341
CVIX.Index,1.12225490047565,-0.0417373221210919,0,-0.193172231595826,0,-0.199135434818119,-0.127324274118093,-0.0962167862871929,0.301126289921581,0.157817901847124,0,1.29491151043543,0,-0.0218927237731384
DXY.Curncy,0,0,-0.0244863520987312,0.0199854174278881,0,0.0326821844387613,-0.00466788525954039,-0.0236819199897445,-0.0172004667335798,0.180082283485518,0.0566764425695579,0,0,-0.0109435794589209
SPX.Index,0,0,-0.0150702181161748,0.0199046911261461,0.015995143412917,-0.00389699680751647,-0.0119362326621245,-0.00528048358764682,0.00351998115004443,0,0.00365235396541245,0,0,-0.0964727589055972
VIX.Index,0,0,-0.0661690091222761,0,0.214918772745006,-0.0241056850723477,-0.210063833497923,-0.0956831278794075,0.0532372696076964,0,0,0,-9.20008100069986,0
