,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,ZEC,NEO,DOGE,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0956049726051117,0,0.144036479343117,0,0.0448205057868637,-0.105624765305431,0.176830710090701,0,0,0.10425195017065,0.0208752437116731,0.0684234930546617,0,0,0,0,0.157331931645371
ETH,0,0,0,-0.0131155004987578,0.172589325100897,0.134219696394278,0,0.0127981628851559,0,4.33680868994202e-19,0.107210498235882,0.0168967501740117,0.220330203726931,0,0,0,0,0
XRP,-0.683786604339311,-0.0464381612710099,0,0.12689009672869,-0.58109369836564,0.395422113544139,0.0937990363929229,0.185598931186343,0.14487864267037,-0.043858636247617,0.0502094483854209,0.423863063192724,0,1.30488715235336,0.107773176910184,0,0,0
LTC,0.496525260086939,0,-0.173244861574991,0,0,-0.0477710090028397,0.0536328536300156,0.46318076284371,-0.216534269060951,0.246673442351389,0.198975896232406,-0.315032138753045,0.0960316680452703,0,0,0,0,0.0911204349491288
ETC,0,0.260600081943549,-0.228312698422605,0.267173043158826,0,0.136586950927515,0,0,0.0498436745017429,0.0191790950562384,0,0.126262919279277,-0.108679615619267,0,0,0,0,0.0802204502588324
DASH,0,0.23114231518011,0.159425194754059,0.0729560771089441,0.107976259468464,0,-0.0516250918466581,0.296896644155603,0.181209404422029,0.0534141663208009,0,-0.058819833357732,0.0165481753569526,0,-0.505171816244963,0,0,0.267876637154197
XEM,0,0.0126766181986199,0,0.283644807969771,0.10802228502305,0,0,-3.46944695195361e-18,0,0,0.244988295397544,0.174371387260896,-0.0188423439408014,0,0,0,0,0.195197203185688
XMR,0.118247146671988,0,0,0.388998559295678,-0.168782496183328,0.447605954838109,0.00101380230821391,0,0,-0.17787438092879,0.150762331117423,0.149118122764407,0,0,0,0,0,0
ZEC,0,0.372725808355794,0.127609108099414,0,0,0.0544488095419971,0.0294014045209764,0.227100303468177,0,0.0403225740426183,0.151963092187172,0.00980494863149314,0.0745665607393061,0,0,0,0,-0.0367441632608618
NEO,-1.71172980241947,0.61246891967861,0,0.679584238805936,0.753744603286619,0.143466398189786,0.304617195205198,0,0.763175811873335,0,-0.660813149236786,0.504891370759739,0,0,-3.32781515245551,0,0,0.467100175376394
DOGE,0,0,3.46944695195361e-18,-0.0795260483005873,0.192108992135661,0.112960052577366,0.240128284156033,0.112435653763662,0.259310594151248,0.0747163122787835,0,-0.0172833567481808,0.0817441090814483,0,0.538838200578495,0,0,0
XLM,0,0.185291919967408,0.86638464963496,-0.448986788292194,0.328654656628996,0.146307582751856,0.159408144108185,0.445520126486243,-0.282409256398595,0.0625652867347122,1.73472347597681e-18,0,0.116217655786893,0,0,0,0,-0.145211117325778
BAT,0,0,0,-0.141105128360173,0,0.0389378835906087,0.185443305317457,0.0219833194125594,0,0.0553425410045379,0.190542213242868,0,0,0,0,0,0,-0.0303409240608623
BV010082.Index,0,0,0,-0.0215430904587817,0,0,-0.0323433780226196,0,0,0.00584162280620107,0,0.0249213402303241,0,0,0,0,0,0
CVIX.Index,0,0.091067679148847,0.0281922535496652,-0.0583448243716467,0,0,0.104334419513338,0.103886082719992,-0.150009411062772,0.0397047749274081,0.0174514162369888,0.0397515507799527,-0.0654599480366392,-0.112723749327128,0,0,0,0.0804123071676948
DXY.Curncy,0,0,0.0018135911758944,-0.00751089131247692,0.0209387541366716,0.0219352960850511,0.0229897146116135,-0.0278216844581317,0.00483904241311946,-0.0100466059342449,-0.0256143529835101,0,0,0,-0.0161944972019224,0,0,-0.0259435389620324
SPX.Index,0,0.00672287779047716,0.00532563814702146,-0.004684571849176,0.00780757040070262,0,0,0,0.0037229985090057,-0.00261691796199525,-0.00309731862209598,0.000261973394300536,-0.00247914198403101,0,0,0,0,-0.0514653758389809
VIX.Index,-0.201056999375391,0,0.281469438593558,-0.119498995100272,0.37506462938625,0.379796164943805,0.20269478099205,-0.0848659734120557,-1.38777878078145e-17,-0.162931354411893,-0.373743414287046,-0.209271202150826,0.0816736376817236,0,0.581583544592411,0,0,0
