,BTC,ETH,BCH,XRP,LTC,DASH,ETC,NEO,XMR,XEM,MIOTA,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.351063082872293,0.0376458365162443,0,0,0.206115989368197,0,-0.40209103371168,2.71050543121376e-20,0.0468374941244374,0,0.246969525339586,0,0,0,0,-0.0149738455789457
ETH,0.0346196930487898,0,0.0091591155026283,0,0.167336175833307,0,0.00386149493727676,0.0361533241267626,0.187367520574053,0.242176022924648,0,0.0341514664605159,0,-0.00789904991610882,0.0709801131477737,0,0,0,0,0
BCH,0.088800160648977,0,0,-0.0557733317537578,0,-0.30992946590803,0.507657739503466,0.145610111054898,0.277486966775565,0.0718981158839858,-0.21968269433502,-0.0705054816400546,-0.227362623221969,0.0563138965864216,0.338805196937366,0,0.420626965322823,0,0,0
XRP,-0.0519207059083636,0.578208101948261,-0.0338311271611814,0,0,0,0,0,0.299947067522967,0,0,-0.0443604330768203,0,0,0.132515688772919,0,0,0,0,-0.0995276885804129
LTC,0.31437575969754,0,0,0.409202511383615,0,0,0.202681778172255,0,0,0.257512479534166,0.0526435057130866,-0.0739206695048913,0.0262931847416121,0.0127555541436705,0.0413807903072909,0,0,0,0,0
DASH,0,0.266607939258346,0.126094594600964,0.0839833411072642,0.0516590877054749,0,0,0.0345011327971365,0.053058409712664,0.0345389832219693,0,0.122599906110517,-0.0553584899423547,0.0311938491449129,0.143663709576325,0,0,0,0,0
ETC,0,0.685390530794673,0.3850634008664,0,0.339906200796152,-0.314540301466546,0,0,0,0,0.0625435310053184,0,0,0.0693240922113497,-0.0369868804185487,0,0,0,0,0
NEO,0,0.132040244489901,0.0342448592914027,-0.00748144845805134,0,0.331062490592628,1.38777878078145e-17,0,0.00590269502328344,0,0,0.11686354380426,0.517703080314359,0.141823557193516,-0.145005532032459,0,0,0,0,0
XMR,0,0,-0.00952142172844935,0.0733165076408014,0.0340073866771361,0,0.226870602961608,0.101240511767206,0,0.229555071527008,-0.0919383816807,0.201584171130387,0.169918995620486,0.0362195925591607,0.0107941428816503,0,0,0,0,0
XEM,0,0.340482637184552,-0.0199138383026026,0,0.102570124789137,0.316678217824172,0.0690654277241738,0.128267513485366,0.116546503292272,0,0,3.46944695195361e-18,0.0912362563270456,0.0110121289997384,-0.0704883045353099,0,0,0,0,-0.246349098985608
MIOTA,-0.489833860864291,0,0,0,0,0,0,0,0,0.634544041900441,0,0.124925222789707,0,0.0949895386705584,0.443147466747582,0,0,0,0,0.0160088982096319
ADA,-0.364981856865042,0,-0.328583802187997,-0.08478885437747,0,0.145687899429475,0,0.166594310340804,-0.235159473643026,0.429685920287315,0.407554173748728,0,0.125074538923542,-0.135475794891617,0,1.42113128893502,2.54072713113002,0,0,0
ZEC,-0.060093658475889,0,0,-0.10257390772648,0,0,0.132781048620714,-0.0541748896907493,0.285382315538934,0.158093147999456,0,0.0504695172529144,0,0.0407619539581206,0.137299180199713,0,0.130454201749676,0,0,0.15167870292241
XLM,0,0,0.13526595999691,0.798115475576413,-0.66237039415071,0,0,0.528562985324245,0,0,0.618938707146686,0.0885044895055345,0,0,0,0,0,0,0,-0.499568621822158
EOS,0.485114510089591,0,0,0,0,0,0,0.0220133745095105,-0.521944710617582,0,0,0,0.877973888077673,0.0775448832693121,0,0,0,0,0,0.102888330067878
BV010082.Index,0.00188732105335359,0.0427118022873152,0,0.000941322194286355,-0.0934393562259954,0,0,0,-0.00567181588090638,0.0372391633777244,0,-0.0284294514076025,-0.0161375616329,0,0.0395554834691181,0,0,0,0,-0.00330382327480301
CVIX.Index,-0.0741150842202197,0,0.0669848172177232,-0.00710285820389055,0.0710972465017934,-0.266660241477708,0,-0.0148634453321309,-0.0892092796389812,0.0911321094072043,0,0.0508759937642333,0,0.0155450531621531,0,0,0,0,0,0.117540134832051
DXY.Curncy,0,0,-0.00778797563627917,-0.00858785090519262,0.00100332610584876,-0.0298750823954176,0,0.00299145315115907,0.00565032956524253,0.00119925060750136,0.0118546313099038,-0.0195377180455365,0.0155864901266311,0,-0.00559208657427686,0.0914313358768545,0,0,0,0.0142944881356172
SPX.Index,-0.00583170447030232,0,-0.00131292066392032,-0.00564777949742705,0,0.00939757978130812,0,0,0.00274882719562696,0.00821556646493639,0.00641745939201637,0.00193612059888104,-0.0322312006969152,0.000877409499927747,0.0055697888943093,0,-0.0113488559112607,0,0,-0.0377152550051865
VIX.Index,0.0235425747925502,0,-0.147622888207664,0,0.177793956126203,0,0,0.0722194494775506,-0.10609883437866,-0.31355772441679,0.190754918307871,0.125782711362482,0.268797671581302,0.0873354778246241,-0.178615049999764,0,0.948518306369034,0,-3.24197236744707,0
