,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,DASH,XMR,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.206528657487909,0,0,0,0,0.0514141364062196,0.0423287473049569,0.0827130564089748,0.14346435080583,0,0,0.0142056861150748,0.01723009021358,0.0447990119347379,0,0,0,0,0
ETH,0,0,0.335889737098697,0,0.121608003848242,0,0,0.0707836189109008,0.039523629686469,0.0339371833993129,0,0,0,0.137105497244466,0.178366111190784,0,0,0,0,0.0293812717542344
XRP,0,0.150890619906256,0,0,0,0,0.173565959939998,0.141040375113791,0.0276150141055185,0,0.128522586810361,0,0.254374046922706,0,0.0128402024225285,0,0,0,0,0
BCH,0,0.154655592621659,0.389219789279015,0,0,0,0,0.103904199389706,0.257867591589747,-0.107211163788269,0,0,0,0.0694287299232236,0,0,0,0,0,0
EOS,0,-0.782185543965258,1.12692605472978,0.692395546260628,0,0,-0.214533181215177,0.157875812296973,-0.0368501243586869,-0.408626604079613,0.629848295807854,-0.318355585741318,0.0311375179029394,-0.12311535003326,0.590414265858946,0,0,0,0,0
LTC,0,0.122270069836294,0.0906794176801624,0,-4.33680868994202e-19,0,0,0.117040784010588,0,0,0.134786197372874,0.16208743843593,0.0226289783379121,0.0931090608587445,0.0550082427921853,0,0,0,0,0
XLM,0,0.187021425387164,0.124659498025518,0,0.00672122782712396,0,0,0.225330081751768,0,0.00712427609708298,0.0866587189610847,0,0.226861925382831,0,0.0663753045584113,0,0,0,0,-0.0523552884321196
ADA,0,0.0115680422636776,0.278716413526609,4.33680868994202e-19,0,0,0,0,0.106254178624858,0.212431276862965,0.197581652484924,0,0.00729997054042854,0,0.109409908267515,0,0,0,0,0.13562107886984
MIOTA,0,0,0,0.019567631093344,0,0,0.584532872372138,0.271052127830922,0,0,0.038913394773236,0,0,0,0,0,0,0,0,0.136229099363227
TRX,0,0,0.219305020343806,0.159170428327623,0.205983840251641,0,0.113021337122086,0,-0.140658080512753,0,0,0.140938758541476,0.0476408540737893,0.316421644364481,0,0,0,0,0,0
NEO,0,0,0,0,0.108167089467622,0.273076438891152,0,0.0788989923284913,0.177571468782972,0.165889187091708,0,0.232294219884513,0,0,0,0,0,0,0,0
DASH,0.0910537255513349,0,0,0.105722534419564,0,0.139347022208305,0,0,0.0785927863520604,0,0.177375977274202,0,0.0822600810381014,0.0584774038236501,0.0971764156530079,0,0,0,0,-0.0251960427313638
XMR,0,0,0.304585899102183,0.145204859784448,0,-0.0315833420545343,0,0.0318036025475415,0,0.161862073481744,-0.0911254964113393,0.247508752716456,0,0.180202255274547,0.0156001249932525,0,-0.115890706296963,0,0,0.0756329224518399
XEM,0,0,0.213941403263357,0,0,0.223114365414891,0.222625085432499,0.0169892327057204,-0.0904067920033342,0.167918813731143,0.0841202414056352,0,0,0,0.197761243940104,0,0.135672575122877,0,0,-0.027727951902996
BNB,0,0.193455551896716,0,0.183602481438774,-0.119693581633979,0.272926897292134,0.104118360766077,0,0,0.135782207567441,0,0,0.160121846343736,-0.220993044452882,0,0,0,0,0,0
BV010082.Index,0.275477644609067,0.0485108810687313,0,0,-0.12783196232593,0,0,0.0861570524061296,0,-0.0331572486132012,0,0,0.193863643067656,-0.274085692211442,-0.0597746344936301,0,0,0,0,-0.265455074396293
CVIX.Index,0,0,-0.00583676684101392,-8.67361737988404e-19,0.0592930460434525,0.120356965152932,0,-0.129490474294914,0.133996363669408,0,0.0644015255499796,-0.322389669242672,0,0.0608876113144684,0,0.207466854635101,0,0,0,0.107254674495192
DXY.Curncy,0,0,0.0275524472414881,0.0148246763883797,0,-0.00514854065045491,-0.0172747671452581,0.00758838467405121,-0.00777470767082063,0.0113483749288545,0,-0.00890669277462239,0,0,-0.00714409009980793,-0.0660247991551928,0,0,0,0
SPX.Index,0,0,0.0368541784917209,0,-0.0245876381810254,-0.00059927150137829,0,0,-0.0250325351966454,0.0129355795960876,0.0345208686324325,0,0,-0.0406945730944922,0.0132263997615426,-0.00925249129744162,0,0,0,-0.0845977612947311
VIX.Index,0,0,0.510853114019717,0,-0.285654162266319,0,-0.153333636729831,0.133225534167438,0,-0.0056143251193722,0,0,-0.0690807482594102,0,-0.0988057623860099,-0.986239190776685,-0.0851669183511012,0,-1.30386373415165,0
