,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,XLM,LINK,ADA,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.00245430250255993,0,0,0.532178616491229,0,0,0.082632245605219,0,0,0.167679089582218,0,6.93889390390723e-18,0,0,0,0,0,0,0
INNBCL,3.02454716401986,0,24.0968588667202,0,0,0,25.5470742999292,-23.4155804797113,-24.7409702220087,2.57018263795389,-4.68467520476234,16.840401757251,0,0,-15.6652361151854,-12.779974470772,-2.81738325281197,0,10.4581766713182,1.11022302462516e-16
ETH,0,0.000457958760968125,0,0,0.123222849631994,0.0780856598543236,0,0.233581382332529,0.183494441954675,0,0.235309569813187,0,0.0318574093675412,0.00876872967075069,0.0731162124703704,0,0,0,0,0
XRP,0,-0.00533583456287359,0.156202224937005,0,0,0,0,0.0852884252111892,0.180392182520871,0,-3.46944695195361e-18,0.0141573822521464,0.0206122033539361,0.282035983883927,0.0458597020669737,0,-0.0183796988301388,0,0,0.0562589757361694
BCH,0,0,0.328570458348036,0,0,0.29549184507374,0,0.138567634228718,0.0814953267500322,0.0149277181377046,0.11622007930334,0,1.73472347597681e-18,0,0,0,0,0,0,0
BSV,0.0895525552990537,-0.0122904725262465,0.139590725147338,0,0.42490469894977,0,0,0,0,0,0,0.0530874198444819,0,0,0.352693001816034,0.0348030993075269,0.105946965680362,0,0,-0.0700201832878649
LTC,0,-0.00037577295388415,0,0.104891141831831,0.100025396673598,0,0,0.172268854419725,0.284665869116775,0,0.0850593331636504,0,0,0.149885108803014,0,0,0.022761650181494,0,0,-0.00816803825066527
BNB,0.0491907240980672,-0.00444048304663616,0.312442193914475,0,0.417968603840029,0,0,0,0,0,0.0536709570507033,0,0.0688992058060793,0,0.037588433191466,0,0,0,0,0
EOS,0,-0.00135405253456247,0.413724435202339,0,0.131490139523476,0.0831476899635507,0,0,0,1.0842021724855e-19,0,0.214428707676344,0,0.0391433129090722,0.0560972602687165,0,0.00702309682168649,0,0,0
TAGZ5,0,-0.00776299171214723,0.292430228780558,0,2.29262822802948,-0.181691650226771,0,-2.42121019133428,0,0,0.899015603848434,0,0,0,0.118587559065181,-0.312460746612184,0,0,0,0
XTZ,0,0.00058947272738708,0.103397292507885,0,0,0.150700319530735,0,0.343481240579074,0,0,0,0,0.395754216448314,0,0,0,0,0,0,0
XLM,0,-0.000224201761102871,0,0.499211343794572,0.0967933702333585,0.0914479131700151,0,0,0,0,0.0956196972579395,0,0,0.0550357195024378,0,0,0,0,0,0
LINK,0,-0.00613831933715989,0.192736778025063,0,0.0724743863228068,0.0438260912684185,0,0.159168624700496,0,-0.0141583644566861,0.445770054004713,0,0,0.131994724117711,0,0,0,0,0,0.0340614723423897
ADA,0,-0.00258382228525571,0,0.12439920616378,0,0,0.176974079846176,0.0571619651969169,0.133221262704943,-0.0279410352929179,0.302289674364281,0,0,0,0.162776445654313,0,0,0,0,0
XMR,0,0.00440299507775841,0.0694212498231536,0,0,0.00110656944977366,0,0.309044535735379,0.195808337894708,0,0,0.0224329046047836,0,0.308316776623848,0,0,-0.02070795583446,0,0,0
BV010082.Index,0,-0.0112530802847597,0,0,0,0.445726141792316,0,-0.111677194555762,-0.62242012160302,0.222302840076911,-0.824945548057862,1.03853000723293,0.081003447345179,0,0,0,0.107835872650434,0,0.345665502076971,-8.67361737988404e-19
CVIX.Index,0,-0.00589355644267642,0,0,0,0,0,-0.570267689721825,0,-0.218678233478464,0.51687284446359,0,0,0,0,0.346791746455604,0,0,-0.619985085491012,0.275042972995486
DXY.Curncy,0.0450667316723925,-0.00014593053075171,0,-0.0948523844345098,0,-0.00326029988279082,0,0.0144402934852204,0,0.00226691511785197,0.0566694349633932,0.0241282870284062,-0.033799634998451,0,0,0.00602490661489272,-0.0112646452713479,0,-0.00471333310769878,-0.0126546166312796
SPX.Index,0,0.00207809105432627,0,0,-0.00185500326952537,-0.172601247510548,0,0,0,-0.0143054769830276,0,0.0740933686184038,0.190702118063355,0,-0.103679286623382,0.243092474098989,-8.67361737988404e-19,0,0,-0.214750446924722
VIX.Index,0,0.0315510428483859,0,0,0.242614925898837,0,0,-1.2865561465314,0,0.159869986774747,-0.222979220696398,0.587794478249226,0,0,0.58772894406482,0.293274001513189,0.273238519228432,0,-1.60027758397348,0
