,BTC,ETH,XRP,BCH,LTC,DASH,NEO,XEM,XMR,MIOTA,ETC,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0810677194316185,0.206486993814149,0.219640520250082,0,0,0,-0.0110569964809434,0.0185198027451612,0,0,0.100008170391015,0,0,0,0,-0.0632983376869367
ETH,0.310607293902429,0,0.121841734490681,0,0,0,0.0328487246579591,0,0.217804616084201,0.15406372422967,0.11920597395102,0,-0.0340823213552471,0,0,0,0,0,0
XRP,-0.319911579163636,0.479863389674006,0,-0.158953421266005,0.0723717471865951,0,0.0680945326255063,-0.306288856404705,0.638632113524572,0,0,0,0.0463741294203366,0.102242400621854,0,0.0707349509791913,0,0,-0.0375193592254324
BCH,0,0,-0.0231171088961053,0,0,-0.452659988783243,0.0646809168530058,0.0225832069805131,0.564969449700257,0,0.451304695551174,-0.217738775457146,0.0428385688393754,0.260128359614622,0,0.501206812247645,0,0,0
LTC,-3.46944695195361e-18,0,0.336592924070309,-0.102032896406963,0,0,0.0311588993692928,0.154959792340544,0,-0.0592106570085914,0.652407313545595,0,0,0,0,0,0,0,-0.11722103947441
DASH,0.0682482863556552,0.18271146085028,0.0642837522208786,0,0.101433043065752,0,-0.052191567313482,0.102536042421027,0.144401128607733,0,0,0,0.0145238976069989,0.119761723274691,0,0,0,0,0.122280803850344
NEO,0,0.509164586041081,0,0.219619298819627,0.0515698649161037,0,0,-0.127468482528261,0.550856274774253,-0.181857318953079,-0.206579072350484,0.465145579796546,0.176352661929074,0.0380249775955119,0.996035496721232,0,0,0,-0.226465188807437
XEM,0,0,0,0.208084713743183,0.0388775186792365,0.138078757958522,0.0681977796722312,0,0.454095799592444,0.171331506670383,0,0.00274324222787212,0.00722820551573186,0.0384424177427208,0,0,0,0,-0.140777283349024
XMR,0.309741376230079,0.150733454400966,0.160180675002055,0,0,0.226625559874394,0.0263412536869426,0.0381711806245073,0,-0.101186517013913,0,0.314679755018294,0,0,0,0,0,0,0.0316928723014469
MIOTA,0,0.336405072865955,0,0,-0.383736656271074,0,-0.164557262919445,0.340002340966743,0,0,0.245043209785226,0.164095567374754,0,0.408524266857962,0,0,0,0,0.156064217042671
ETC,0,0.553520075278042,0.0232035705519805,0,0.618341278618176,0,0.0398774030962215,-0.195191739401743,0,0.101920938414826,0,0,0.0913068466608782,0,0,-0.203194756058701,0,0,0.105064068443428
ZEC,0,0.155022135821105,0.107752526110956,0.0715464221085638,0,0.375731734075088,-0.0654534496134848,0.102483067147652,0,0.0315640724491062,0.215748853354535,0,0.0821664157449217,0.135673077982405,0,0.414517025826367,0,0,0.0967463528868687
XLM,0,0,0.311789079544245,0.198009799238902,0,0,0.171160697919852,0,0,0.817236194713886,0,0,0,0,0,0,0,0,-0.122742141163042
EOS,0.2342399917609,0,0,0.13233301555838,0.278511274708486,0.130142093248939,0.196503857858902,-0.426327041809185,0.265276664932869,0.368829608143666,0,0.104596614718475,0.123347403112892,0,0,0,0,0,-0.0974162031422776
BV010082.Index,0,0.0559567923031113,0,-0.0436152985819555,-0.0369104388863484,-0.0280430654530071,0.0416618129108822,-0.0383251158677619,-0.0527788014501536,0.0216492439703721,0.0569882825768036,-0.0480870030805527,0.0101641852564582,0.0411501647707852,0,-0.00740289942728079,0.223704746722884,0,-0.0634994651066365
CVIX.Index,0,0.0351142036187209,0,0.098424355945033,0,-0.168476566330897,-0.0126605247560371,0.146774317085568,0,0,-0.113121903466374,0.010584307330394,2.71050543121376e-20,-0.0401632650594662,0,0,0,0,0.0372052831243184
DXY.Curncy,0,0,0,0.00942731866633748,0.000204718021808937,-0.0449127819296939,0.00718811154295079,0,0,0,0,0.0187398369988906,0.00221660408409481,-0.00246474995425589,0,0,0,0,-0.00677858801269735
SPX.Index,0,0,0,0,0,0,0.000139781912945964,0.00729672455185552,0,0.00800286847712265,0,-0.0210249889535126,0.000786194802254191,0,0,0,0,0,-0.034587628863388
VIX.Index,0,0.175033456822857,0.0384648893327811,-0.221601578425208,0.378839301831185,-0.145186321930575,0.0145063393112227,-0.13371779692695,0,0.134221768939738,-0.346630297034433,0.454434826815165,0.0698865537839805,-0.387414908364317,-0.155552738051727,0.588529370584101,0,0,0
