,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,DASH,XEM,XMR,BTG,EOS,XLM,ETC,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.446693489010677,-0.0932819532995453,-0.023899689323156,-0.194904278356299,-0.00336534126748158,0.134120883328936,0,-0.0326021487036142,0,0.000899910808323671,0.165447963582347,0.00742601281994109,0.119670422671726,-0.0135297608954539,0,0,0,0,-0.311850125762388
ETH,-0.111989944714331,0,-0.0527182847910555,0,0.0373542973826147,-0.0124356516322937,0,0,0.0534564495076509,0.135385695194906,0.0600155777969349,0.0710812878528784,-0.0333327865874578,0.0895461054881145,0.0989226821154049,0,0,0,0,0
BCH,0,0,0,0,-0.274168580573994,-0.149448151508959,0,0,0.137490581503961,1.38777878078145e-17,0.141476701447852,0.146384903539785,0,0.0982451020983987,0.416718552616911,0,0,0,0,-0.660301421367994
XRP,-0.175542978970599,0.455307226036474,0.117153843527347,0,0,0.104839729770273,0,-0.0120974454956973,0,0.271020491791358,-0.0442104284501997,0.195132310746003,-0.0335382654508794,-8.67361737988404e-19,0.0490841233155891,-0.229266387847606,0,0,0,0
LTC,0.127753852337532,0.50822053627686,0.00423369954680051,-0.0788028637695146,0,0,0.0650613986021544,0,0.239432666072583,0,-0.0243962694873273,-0.00844293215972382,-0.0884391520617079,0.115938584372502,-0.0652619667364038,0,0,0,0,0
ADA,-0.0129502552304646,0.0389465732307403,-0.142034193867842,0.368318350941392,0,0,0.131159923334868,0.107104809124035,0.135259185234804,0,0,-0.273806764848651,0.0455272122536575,0.175779904108817,0.386432802009327,0,0,0,0,0.525147961783873
MIOTA,-3.46944695195361e-18,-0.108052667377074,-0.00991438967888436,-0.282178444762984,0.0928707504453583,-0.0804236214362022,0,0,0.0944491028278922,0.52680550907161,-0.142542884605254,-0.00114670387671353,0.106487394454324,0.28379676957502,0,0,0,0,0,0.255495623313818
DASH,-0.196989340798777,0,0,0,0,0.0182278576785808,0.0636655887432344,0,0,0,0.0902207632737895,-0.0491607607713735,-0.00720981135324865,0,0,0,0,0,0,0
XEM,-0.0355898844577699,0,0,0.0945161631667675,0,0.137018115825943,0,0.211396127878412,0,0,0.0309921779872873,0.0969764100458512,0.101157230398211,0.0730508187847169,0.151876508885494,0,0,0,0,0
XMR,0,0,-0.0978596820093833,0.0978442046443528,8.67361737988404e-19,0.0852719073722736,0.150430435839703,0,-0.0292508664268788,0,0,-0.0218687977783726,0.0606810830218716,0.174255783078707,0.117304285193453,0,0,0,0,0
BTG,0,0,0.138131572736196,0,0,0.033163613716178,0,-0.566736814876662,0,0,0,-0.609860694729571,0,0,0,0,0,0,0,-1.05945483173382
EOS,0.00093873919761603,0.435528412192212,-0.0863446183854133,0.226081702745667,0,0.111556387719013,-0.101066772053283,0.262520785235934,0.0823671582178384,-0.711271175759534,0,0,0.104409261995883,0,0.363917616887957,1.36314943904771,0,0,0,0.14302723755197
XLM,0,0,0.229242404483896,0.136116360532934,0,0.308062788995353,0.399294409957472,0,0,0,-0.0841188146605605,0.357405193154915,0,0,0,0,0,0,0,0
ETC,0,0.452009642796597,0.247594346889473,0.0415902489271898,0.0230491405591178,0.134180336721169,0.0902200019545861,-0.366159180412946,0,0.220956517053862,0,-0.0286877719430549,0,0,0.0733592521129457,0,0,0,0,0
NEO,0,0.230400626933414,0,0,0,0,-0.385320155455462,0,0,0.281108820827421,-0.0647160280256996,0.0324834033731295,0.158132981911968,0.217388775159388,0,0,0,0,0,0
BV010082.Index,-0.038724652982724,0,-0.0490576252045118,-0.00561774347757124,0.0153614719162757,-0.0130704495069685,0.0140413855620515,0.0200189574725023,0,0,0.00165149524944769,0.00484758368963932,0.00755512100020566,0.0117761497291261,0,0,0,0,0,0
CVIX.Index,0,0.0393200489736447,0,-0.0158678561263263,-0.0159565309506115,0,0,0.0111717305028301,0.0392622514239893,0.0639432745520557,-0.00427285531125374,-0.00230970229496391,0.0141220744928544,0,-0.00540786639128827,0,0,0,0,0.0880141999708704
DXY.Curncy,-0.0238470375973562,0,-0.0198572456175369,-0.009451880968422,-0.0146920571801271,0.00601833550126995,-0.00525662290145815,0,0,0,-0.00543920908303752,0.004359089496657,0.00355870037733318,0.00347560946364776,0,0,-0.0728517225510347,0,0,-0.0231966562321257
SPX.Index,-0.0188900724878198,0,0,0.00272725589637207,0,0.0013245184332858,0.00723507551520444,0.00408029215766901,0.00222952943396999,0,0.00253583296815693,0,0.00206596528757243,-0.00740601330819841,0,0,-0.0379945581438868,0,0,-0.0102738856530178
VIX.Index,0.0336297804395376,0,-0.412643316571358,0.156142319075869,0,-0.105451724974628,0.120633814722119,0,-0.0343012378891433,-0.0787886345109439,-0.0264739625700987,-1.73472347597681e-18,0.0892879168696702,0.152481925757443,0.156105139436098,0,0,0,0,0
