,BTC,ETH,XRP,LTC,ETC,XEM,DASH,XMR,ZEC,NEO,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.186291931111524,0,0,0.0964213365687821,0.10014706164365,0,0,0,0,0.0580545520796587,0,0,0,0,0
ETH,0.192316436104633,0,0,0,0.226153604088425,0,0.0711834431776663,0.0108244889223314,0.155314046440078,-0.0297440375526579,0.120536798798263,0,0.012540739137962,0,0,0,0,0.0170322658784956
XRP,-0.121456437078407,-0.290005053686288,0,0,-0.230026444871146,0.0788445542839985,0.586479333977968,0.0362631130927487,0.079125338547218,0.023640540045576,-0.290343867430382,0.344563745340619,-0.0130327476590331,1.07640447070307,0.20771214828756,-5.4187911131303,0,-0.023614750686349
LTC,0.607637998782665,-0.0373795760857427,-0.0767698937004055,0,-0.0203994187711971,0.0936592075740431,0,0.141910446199227,-0.0599864683138407,0.209789108727451,0.102222045011458,0,0.0208546434849837,0,0.7526459905859,0,0,0.080784950604123
ETC,0,0.252486439349333,-0.110120068467477,0.149573052930598,0,0,0.113270262987007,0.14254201064175,0.0168843100621463,0.0342723200941265,0,0.0280793463251331,-0.0422899910078012,0,0,0,0,-2.16840434497101e-19
XEM,0.398077377689094,-0.100488730093906,0.20679697001029,0.0481696266211708,-0.0100965873214467,0,0.306981026320056,1.73472347597681e-18,0,0.0339363667987968,0.226219452579812,-0.0315562382676883,-0.0383663751603864,0,0,0,0,0.0280186397728676
DASH,0,0.0651406993143336,0.0608652089077079,0,0.0243501505350839,0,0,0.385249893260633,0,0.0783126472102065,0.0417372998641478,0.0607242236855571,0,0,0,0,0,0
XMR,0,-0.146911537926679,-0.145164190569083,0.24322633921068,-0.166676980674462,0.256890128064397,0.608131502007934,0,0.100797647944835,-0.154900348893635,-0.127134478319508,0.103519884171446,0.0721671341409976,0,0,0,0,0
ZEC,0.302383898918982,0.375424586083227,0.0943753049133792,-0.0716094597542419,0.00270876234764173,-1.0842021724855e-19,0,0.169749619488324,0,0.0803296401990579,0.114215183871272,-0.0423274243444509,0,0,0,0,0,0
NEO,-0.896899457038849,0.847772260562761,0,0.868509707740172,0.392418441652307,0,0.529090582367108,-0.089406850974892,0.598213858030715,0,-0.560482284058794,0.243874017009611,0.265923312828909,0,-2.71833445809989,0,0,0.818204070734182
DOGE,0,0,0,0.0473143041545637,0.228863952162837,0.231663646644234,0,0,0.190046598434116,0.0535271760839898,0,0.159554925124228,0.04434294448891,0,0,0,0,0
XLM,0,-0.180346941642786,0.0960177655968302,-0.531387201471596,0,-0.241084086252231,0.114510456551486,0.784098923764465,-0.324585411315587,0.186582557473683,0.522244652000479,0,0,0,0,0,0,0.29861143889378
DGB,0,-0.738723033050472,0.669328700384778,-0.195252473146384,0,-0.603019976314743,0,0.650514077007845,-0.212033120562723,0.250264632425195,1.08213922427643,-0.269926578519625,0,0,0,0,0,0.554842543854815
BV010082.Index,0,0.0223665942637617,0.00989454451091986,-0.0321297651507993,0,-0.0307497445414337,-0.0629284823280399,0.0518228115458515,0.0352787327879253,0.0138914161959554,0,0.0221050455752679,0.000349048119689925,0,0,0,0,-0.0119740573476026
CVIX.Index,0,-0.0566958945063674,0.0460385931488624,-0.066180111966206,-1.0842021724855e-19,0,0,0.153544115953632,-0.19178359371552,0.0571950067341747,0.143318755977738,-0.0332529635287846,-0.0110602699221852,-0.06551863337085,0,0,0,0.137683476454158
DXY.Curncy,0,0,0.00258211936631572,-0.00539723026890971,0.0192767502713034,0.00563733396768629,0,-0.0133065498775877,0.0085515315647856,-0.00507353806582077,-0.0120692015310243,0,-0.000897712890341898,0,-0.00162772933309564,0,0,-0.00914808826346714
SPX.Index,0,0,0.00661815443647787,0,0.00596070407032442,0,0,0,0.00475369265181809,-0.00357834761760926,0,0,-0.000202666837352281,0,0,0,0,-0.0479954314307871
VIX.Index,0.273567153061412,0.087780545420034,0.290408176781471,-0.154357829077448,0.151039174235242,0,0.213541556886212,0.00321170025540455,-0.179999052586488,-0.0583522276557233,0,-0.0910914605789916,-0.188995284027141,0,0.162655758422689,0,-3.67083944598861,0
