,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.107206712095666,0.167272384828797,0.390178055820122,0,0.183972341891746,0.0949059645805288,0.0404568471866844,0,-0.0532452883903296,0,0,-0.133831444781037
XRP,0.38522852033576,0,0.313848980701793,-1.04661572201571,0.687820955772017,0.447244462383928,0.296866942551273,-0.0518228348370761,-0.417414503456074,-0.787680733295849,0,0,0.235074319642846
LTC,0,0.464317934658958,0,0.225830515941284,-0.166047932262025,0.459071627051322,0.0158277667689397,0.142033285601826,0,0.744001088326731,1.68285578210715,6.4384722248054,0.547543963339188
DOGE,0.0861541125024836,-0.158381342445842,0.0697120354163366,0,0.140166023773536,0.266426782358949,0.131983398448771,0.0696660104196464,0,0.155833822200943,0,0,0
XLM,0.806853267477686,0.423681778593024,0,-0.331467784722328,0,0.119987193911378,-0.26625604460521,0,0,-0.109801117032021,0,0,0.174766945966049
DASH,0.827507857474482,0.160002853871384,0,0.320934312613732,-0.0843376417190176,0,-0.147575525612084,0.0405546170889289,0.15497645715731,0.101257442495346,0,0,0.0750619763107511
XMR,0.555084987258153,0,0.236914682483114,0,0,0,0,0.147672349406628,0,0,0,0,-0.219332320207721
DGB,0,-0.25713654729933,0.648846092868894,2.24679083221084,0.286683130409984,-1.02087197087513,-0.439187299061768,0,0,0.288604526655519,0,-9.23641017253182,-0.757190799085432
BV010082.Index,-0.0874426312946935,-0.0957642644326639,0.0327445610464747,0,0.0647086939570561,0.0256988617595366,0.0651062781233669,-0.033902599183581,0,-0.0284988217663582,0,0,-0.0497122797960138
CVIX.Index,0.188160374439215,-0.0578704110939241,0.0362814227607388,-0.281814885979109,0.0788371471371834,-6.93889390390723e-18,0.104631758535869,0.0531847265201114,-0.133726018377077,0,0,0,0.0184977674444832
DXY.Curncy,0.0744878674906656,-0.017778602663072,0.0239510820203397,0,0,-0.048391515441698,-0.00951411828679245,-0.0082325347407243,0,0.0179822412546565,0,0,-0.00593826767425531
SPX.Index,0,-0.040897177731254,-0.00112422584286856,0.0443990924687946,0.0130266438007136,0.0116223496266526,-0.0270749485573821,-0.01100821961652,0,0,0,0,-0.100995896371373
VIX.Index,0.36073198138166,0,0.0269195981861261,0,-0.12123002825935,0.110036693507208,-0.291897687166613,-0.0676605942311819,-0.0688410765060278,0.149584158517562,0,-5.41941038484166,0
