,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,ETC,MIOTA,TRX,DASH,NEO,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.14845131121021,0,0.0771003739992741,0.262741041429328,0,0.144782786665226,0,0.0108759688953704,0.0407271296386524,0.0765917876139653,0,0,0,0,0,0,0.046596896810506
ETH,0.102126273196184,0,0.0259938932359177,0.046106785716631,0,0,0.124107356350508,0,0.107625928135333,0.0946238707431966,1.73472347597681e-18,0.121894985687167,0.0822289036047769,0.128939983397831,0.127275215043497,0,0,0,0,0.0379428637999441
XRP,-0.0433454376071374,0.115875103306219,0,-0.0812397229672308,0.339959861398895,0.112178515465107,0.0482943436652707,-0.211041553366394,0.13914564460753,0.089374507772781,0.21961693276311,0.00896656284175951,0,0,0,-0.0847806974938273,-0.203228739029754,0,0,0.0795536371314583
BCH,0.23458490048477,0,0,0,0,0,0.349497312997211,0.104911112691903,0.121670067962059,0.0813070716034717,0,0.173601358171141,0,0,-0.0170436283265367,0,0,0,0,0
EOS,0,0,0,0,0,0.0199943363798903,0.589045246512164,-2.16840434497101e-19,0,-0.0894285788277981,-0.0212650241498065,0.206451031522888,0.467191280802072,0.218919875847535,0,0,0.178597236756188,0,0,0
XLM,0.318597091489328,-0.292016635753205,0.281203362356254,0,-0.102898033153318,0,0,0.248558014381782,0.248713339272937,-0.0205511368035127,-0.10685606807336,0.181943356489477,0.0143281387434846,0.326397349426273,0.0675918513212591,0,0,0,0,0
LTC,0.136372795670116,0,0,0.33511504602937,0.414996236448196,0.0116700119287563,0,0.0774462990420348,0,0.144854519441404,0.0774495580657134,0,-0.0232192623653228,-0.166490303756449,0,0,0,0,0,0.0980569605046018
ADA,0,0,0,0.329007876122749,0,0.303925178891236,0,0,0,0.00687751400343774,0,0.0293132995107596,0.16838155014293,0,0.101147268155652,0,0,0,0,-0.102607871653899
XMR,0.430450811798585,0,0,0.03143190897071,0,0.11864596866508,0.630366791003351,0,0,0,0,-0.0888024032098259,0,0.147459527708378,-0.0134292135616564,0,0,0,0,0
ETC,0,0.728620029399657,0,0,0.272264240823544,0,0,0,0.0287041332155958,0,0.277133759880381,-0.188166570664869,-0.177510019858257,0,0,0,0.217766386412483,0,0,-0.067382216248665
MIOTA,0,0,0.546243076002081,0,-6.93889390390723e-18,0.37182167746049,0,-0.216450549713104,0.142159166916238,0,0,0.0427724615264119,0,0.531185371556081,0,0,0,0,0,0.121030197466989
TRX,0,0.516871308021673,0,0.0603308138980792,0.164639404207764,-0.000358186261269305,0,0.162255547924835,0,-0.0836806726809778,0,0,0.0312512415005323,0.0722576451332756,0.211799268064147,0,0,0,0,0
DASH,0,0,0,0,0,-0.0689164680072678,0,0.346956430951089,0,-4.33680868994202e-19,0.049586346156016,0.0661991306885201,0,0.32607841658013,0.111362055488567,0,0,0,0,0
NEO,0,0.512286024969419,0,0,0,0.0603229686962991,0,0.101174787657607,-0.0411401839353079,-0.198065865926427,0.390873713017967,0.179215693903211,0,0,0.105293601231293,0,0,0,0,0
BNB,-0.0699296997988804,0.792307444942852,0,0,0,-0.0264214350662751,0,0.10057193910547,0,0,0,-0.0340067461143445,0,0.0591991745630351,0,0,0,0,0,-0.154990295431385
BV010082.Index,0.0121613553587122,0,0.0721386317010029,0,0,-0.0109198736443703,-0.0227345736315069,0,0,0,-0.01323919387812,0.0289553027084217,0.00499869940698839,0.0135321428341995,-0.0448780829558149,0,-0.211993535673851,0,0,-0.0191600754600275
CVIX.Index,0,0,0,0,-1.73472347597681e-18,0.112364947471899,0.00430682851713815,-0.00654638959192261,0.177139712164045,0.0302831078098486,-0.0528574394958947,0.018152249265442,-0.211881505964451,0.0586801803253793,0,-0.977992980142188,0,0.743940550907999,0,0.0829135598594113
DXY.Curncy,0,-0.0478043581441301,0,0,0,0.0101208460105088,0,-0.0194977384359854,0.0324868258862164,0.0301370637389198,-0.0190049150205937,0,0,0,0.0150879230986235,0,0.148970514225969,0,0,-0.00190839094413097
SPX.Index,-0.00619237386811378,0,0,0,-0.0178354039916832,-9.34234942034852e-05,0,0.0135557522037996,0.00315549237217189,0,-0.00824322997552826,0,0,0,-0.00445596555724661,0,0.0496593299033232,-0.10650477746606,0,-0.0686327480339839
VIX.Index,0.284244410054722,0.11150276592079,-0.243109085171751,0,-0.181596831449323,0,0,0,-0.18435738470397,0.339921246869753,-0.242757620750573,0,-0.335277326630228,0.627170647792324,-0.507674438468942,0,0,0,-4.65023332046591,0
