,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.00576853885526749,-0.0241759085628485,-0.127186892028709,0.0884106573792362,0.0917959410420988,0.155794167242532,0,-0.0172217116103027,0.0563816105896098,0.0445580177097025,0.0215955913410164,0,-0.290799531316011,0,0,0
ETH,0,0,0,-0.0729813575448773,0.213079337839866,-0.032013158370196,-0.047412642179519,0.137917241129115,0,0.0483836283526543,0,0,0.0520614002149738,0,0,0,0,0
XRP,0,0,0,-0.502341681594081,0,0,0,0.447509739524949,0,0.595544177164171,0.249908913423761,-0.792903901945558,-0.0968544527758481,0,0,0,0,0
XEM,0.640005311212215,-0.207500044289992,-0.0653225948913548,0,-0.330731488106637,0.0827128642304178,0.182928390000811,0,0.133634519528533,0.167727274786351,-0.126198672465236,-0.0553718521705802,0.297163331490913,-0.913484590945507,1.13851072053434,-7.39476667404093,0,0
ETC,-0.375136258725889,0.142871285053792,-0.0872312425308417,0,0,0.195451244824942,0.163524212296457,0,0.123472032626303,0.0240283928969587,-0.0161977528689039,-0.0528136717359379,0.115898692285369,0,0,0,0,0
LTC,0.497646527268454,-0.117710531169951,0.0909028416882025,0.192270109310855,0.170340333053266,0,0.440606376326294,0.239827436046909,-0.14519666958008,0.0215756299146978,0.099813894674304,0,0.153800690701925,0,0,0,0,0
DASH,0,0.210548003209617,-0.0702995835936035,0.0859125051799515,0.084325262742113,0,0,0.271728563240131,0.433080178142711,0.0877238855815222,-0.0663962487693075,0,0,0,0,0,0,0
XMR,0.0299936516223863,0.444899383384003,1.0842021724855e-19,0.157407768995115,-0.151851155146461,-0.0213970077226071,0.0727486633576254,0,0.160503033300536,0.159017940788786,-0.071167954588999,-0.0658741618790783,-0.113432974465399,0,0,0,0,0
ZEC,0.337170810132081,0.141672846591532,0.00165204867778981,0,0.0163423807821236,-0.135390200362957,0.372852122943821,0,0,-0.0398664180872656,0.251511916438256,0,-3.46944695195361e-18,0,0,0,0,0
XLM,-0.678189464005357,0,0.24189083368159,0,0,0,0.605213170823607,0.371650242026448,-0.396105455088685,0,0.436005885348071,0.123935566585218,0.231516468627942,0,0,0,0,-1.38777878078145e-17
DOGE,0,0.187605973022256,0,0.0937242534867875,0.0400441426813937,0.297259905560859,0,0,0.311725332245279,0.239186638932484,0,0.0382619214214147,0,0,0,0,0,0.325775282092312
DGB,0,-0.378355125185699,0,-0.301677758842347,-0.362092796035759,0,3.46944695195361e-18,0.642971744205798,-0.1880754779581,-0.0355514329131235,0.272617771659022,0,0.390925556210979,0,0.638887834299848,0,0,0.036685744237612
NEO,0.308902105520444,0,0.185673080925765,0.216020014454662,0.573524032119222,0.187756764217755,0.638983924526676,0,0.115917739783877,-0.145057086777819,0,0.0444661743991514,0,2.04689278794449,0.14720007026692,0,0,-0.113820601302635
BV010082.Index,0,0,0,0,0,-0.0261377683011897,0,0,0,0,0,0.012943669048317,0.0127120805192928,0,0,0,0,-0.0449622338386763
CVIX.Index,0,-0.103438359630973,0,-0.413979136113517,-0.397060888652114,0,0.0692720314684977,0.141778694130628,0,0.0139547272011783,0.000414685913165227,0.0223610081854831,0.296677474537465,0,0,0,0,0.10583308147729
DXY.Curncy,0.0122425538633696,0.0135717303879354,0.00229061878529061,-0.0199783575457752,0.0120867994054136,0,-0.00307154779323154,0,0.000578725406807522,0.00905138224180115,-0.0124835613365949,-0.00363023325129485,0,0.0687681711923181,-0.00938354650778435,0,0,0.0176825150311708
SPX.Index,0,0.0129172607424137,0.000165604368801315,-0.00623471678044406,0,-0.000724988883335237,0,0.00452937136761064,-0.0183543248756572,0.00557807779988069,-0.0012094257903932,0.00492357678873437,0,0,0,0,0,-0.0319489840979033
VIX.Index,-0.00329976004297843,-0.0527185045439449,0,-0.257662407965612,0.325552858123866,-0.227372433990416,0,0,0,0.243513598430062,-0.0328765389265609,-0.107319980591666,0.0131245022237338,-3.31952147322297,-0.719131778062418,0,0,0
