,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,NEO,MIOTA,ETC,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.166676512813877,0,0.0251258557724464,0.135136345139161,0.0402024607580885,0,0.000686623971745534,0.0683636103001242,0.162226639718992,0,0,0.0212406615388273,0.068233398127152,0,0,0,0,0
ETH,0.0355737809339447,0,0,0,0.0581189262495681,0,0.163933831339111,0.0867791866931627,0.0592800811209796,0.142988510927007,0.114608688098037,0,0.0718121715941194,0.0112621943033649,0,0,0,0,0.112459826490948
XRP,-0.158618057922782,0,0,0.10579619651621,0.21350520540905,-0.0597011992379907,-0.0624813658528503,0.151196596257944,0,0,-0.0949673770700074,0,0.19434568319184,0.156909606716176,0,0,0,0,-0.0572733696277322
BCH,0.280430003644414,-0.565707699201401,-0.00141132074863247,0,0.255551953093472,0,0.428646507000029,-0.0649330971577595,0.0569273653477864,0,0,0.264460689987267,0,0.129307200869541,0,0,0,0,0
LTC,0,0.0910217957465647,0.0734132475091097,0,0,-0.109590237167753,0,0,0,0,0.771385806931599,0,0.0609488163507403,-0.0281290080110191,0,0,0,0,0
DASH,0.178826181795861,-0.0416022880956768,0.116295440239255,0.178112374641136,-0.217134904937383,0,0.328383814478685,0.118941842081245,0,-6.93889390390723e-18,0,0.130576287552632,0,0,0,0,0,0,-0.132722162552144
XEM,0.260916075584885,0.246787644638069,0,0.0715815666183743,0.113296055355075,0.0411607870684911,0,0,0.103359364647619,0.183644663280639,0,0.162879149083589,0,0,0,0,0,0,0
XMR,0,0,0.32274620417597,0.117560267550051,0,0,0,0,0.122876358318489,0.0666595337753177,0.0997090587664411,0.264199514191049,0,0,0,0,0,0,-0.0379446117653511
NEO,0,-0.141821719017563,0.0819770143052765,0.00816976273315218,0.451926474573834,0,0.198073744497665,0,0,0.279729588863403,-0.341728424855176,0,0.37006933114355,0.141039425895552,0,0,0,0,-0.381918115459775
MIOTA,0,0,0,-0.0164793838298326,-0.301355854929844,0,0.171739002072944,0.101099971544145,-0.193624422957644,0,0.184750037082113,0.472725840084996,0.0559013988538001,0.381861097753623,0,0,0,0,0
ETC,0,0,0,0,0.66482820403036,0,0.047605376509596,0.128918886627971,0,0,0,0,0.208720164488507,0,0,0,0,0,0
ZEC,0,0,-0.00122793629999277,0,0.0585980856841197,0.241098309379407,0.404715493716952,0.0502147578949515,-0.0318213540341672,0.186407096597419,0,0,0.0855810815944566,0,0,0,0,0,0.114019193034468
XLM,0,0,0.0409944726885811,-0.162505693467504,0,-0.171914350398062,0.449821266299769,0.39966080568649,0.0783122183384661,0.125080985363899,0.038928442037138,0,0,0,0,0,0,0,0
EOS,0,0.232455766031103,0,0,0,0,0,0.197582327711196,0.333682762250579,0.277832349415808,0,0,0.178374107591619,0,0,0,0,0,0
BV010082.Index,0.0128938580661994,0,0,-0.00462681729787796,-0.0224465404889775,-0.0844328652237721,0,-0.026046744998726,0.0283573043154806,8.67361737988404e-19,0.0241269672528188,0,0.0304906229777322,0.0344371641515422,0,0,0,0,-0.0756684521404086
CVIX.Index,0.184282101186896,0,-0.104138171949645,-0.00129029476502108,-0.0745179225389439,-0.0256910653859944,0,0.0442538699575219,-0.0182532176146321,0.00899603461324612,0,0,0,0,0,0,0,0,0.145234514387319
DXY.Curncy,0,0,0,0.000248680776134803,-4.33680868994202e-19,-0.015127859352414,-0.00614004620113379,0,0.0129958196031156,0.00461401047963806,0.00525483592861672,0.00579169171569271,0,-0.00561629216765332,0,0,0,0,-0.00294703252982697
SPX.Index,0.00518095995715823,0,0,-0.00884313653953495,0,-0.00298044001538989,0.00221428345518705,-0.0036806824355524,0,0,0.0031802633861148,-0.0119425337931096,0.0073742798056731,0.00200617455254384,0,0.0135814047859294,0,0,-0.0387060704034257
VIX.Index,0.382930844728301,0,0,0,-0.100418328018852,-0.172576762692251,0,0,-0.343177502596434,0.318832829493695,0,0,0.154037434015917,-0.191047582080658,0,1.95199445881246,0,0,0
