,BTC,ETH,BCH,XRP,DASH,LTC,XMR,NEO,MIOTA,ETC,XEM,EOS,ZEC,ADA,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0883089429978613,-0.0433607239375589,-0.0447411071974805,0.437305201203307,-0.0230874772434975,0.0585793499470701,-0.15573510633448,0.0760998184056726,-0.25507284172015,0.100535179568693,0.112893555145032,0.120241742983503,-0.0764328471907655,0,0,0,0,-0.19799856524476
ETH,0,0,0.00742448613931993,0.185578557513396,0,0.0647226416134768,0.0793809348972362,0.0496155360546448,0,0.0489564817634599,0.137316519865049,0.0346744897198702,8.67361737988404e-19,0.0942189557294342,0,0,0,0,0,-0.0725013451208643
BCH,0,0,0,0,0,-1.36495252528405,-0.100531757717037,0.667549960754941,0.134739063661319,0.320314559075553,0,-0.0855027580144692,0.329707454618081,0,0,0,0,0,0,-0.532397651630553
XRP,0,0.315274422293747,-0.108684828391518,0,0,0.0874896834482502,0.401824423075615,0.0261232895729544,0.00770358785193972,0.0497943657110805,0,0.137270849421882,0,-0.116741914997459,0.0276114358478058,0,0,0,0,0
DASH,-0.48455678429418,0,0.113344706596166,0,0,0.649605825487295,0.523108803845367,-0.0200863796024567,0.198823034656617,-0.438267578710812,-0.922018166330033,0,0.578624198158901,0.0185617208478701,-0.031362367647584,0,0,0,0,0
LTC,0.115778109458732,0,-0.107144118421318,0.234320171161649,0,0,0.102516490138892,0,0,0.19711902031108,0.0813576204157897,0,0,-0.0365498440606688,-0.0253600488273837,0,0,0,0,0
XMR,0.150365007828942,0.236202394186009,-0.0342794154018832,0,0.245366626240251,-0.0704030302902352,0,0.165910322724471,0.0249321577196614,0,0,-0.00160244906259844,0,0.144922025897148,-8.67361737988404e-19,0,0,0,0,-0.335885260666198
NEO,-0.365015640166872,0,0.121037915602952,0.0290193130283209,-0.308308923352497,0.228163282605829,0.153976179627046,0,-0.225833675519868,-0.172549932881865,-0.0416731335921915,-0.134216706753,0.791397829054629,0.123043118488244,0.154066742734589,0,0,0,0,0
MIOTA,0,0,-0.0852672740075159,0,0,-0.335442787166667,0.38795663132171,0.0586155118704465,0,-0.108385691121139,0.735201124290985,0.238753436981845,0.172379787703096,0.103222392583678,0.0414006497136494,0,0,0,0,0
ETC,-0.0937562065791891,0,0.198038782996303,0.238686976964857,-0.413170188639838,0,0,0,0.10659695866611,0,0,0.0397543340407366,0,0.125044503127517,0.0245933717656499,0,0,0,0,0.130350737620825
XEM,0,0.252814582615739,0,-0.0444810825907665,0.0188031343297836,0.0821423935202971,0,0.0226275650868518,0.177753847940283,0.00839506564610606,0,0,0,0.1369130306341,0.0947166514354011,0,0,0,0,-0.19844645248682
EOS,0.711302336839485,0.29252997489007,0.0797217048653355,0.25305218587983,0.195800378303472,0,-0.364755725984714,0.148095712600153,-0.0547862565695546,-0.0325813560667113,0,0,0.224042476710349,0,0.111281049995204,1.27763423507904,0,0,0,0.149984932059776
ZEC,0,0,0,-0.242367836809556,0.264151838043662,0.0304698990219608,0.247943683812134,-0.0196849003510864,0,0,0.197493209485216,0.0905051976332229,0,0,0.0378226853936575,0,0.0488936268208174,0,0,0.0774753925761896
ADA,0,0.0358780436831696,0,0,0.446166845270807,0.637257035312277,0,0.147202547700697,0.535685707903334,0.034814570398816,0.727338313001197,-0.0505385816685629,-0.887112834289555,0,0,0,1.18199044515815,0,0,0.0210443831767123
XLM,0,0.670969625423875,0,0.222311591427533,4.33680868994202e-19,0,0,0.1120919850704,0.420731826501811,0,0,0,0,0,0,0,0,0,0,-0.314527925712968
BV010082.Index,0.0380444077241649,0,-0.028955823288437,0,0.01521144584546,-0.11182007397808,0,0.0250994253908221,0.0297009927272318,0.0205630524577895,0,0.0172279852917469,0,-0.028242461593791,0.000637459842471697,0,0,0,0,-0.00150101844040324
CVIX.Index,0,0,0.0269316913686386,-0.100487684670462,-0.0522904589934248,0,0,0,0,0.0026600444659111,0.0463102066603745,0.00677227950263065,0,0.0449954823164728,0.0138146345510678,0,0,0,0,0.102604032903535
DXY.Curncy,-0.00811873595066895,-0.00911117571255196,-0.0254445276740085,-0.00785869351825272,0,0,0.0116692160574286,0.0123803659029551,-0.0144718459587215,0.0105593677207479,0,-0.00176291417946908,0.0132539299775718,-0.0222097622765192,0.00201276872562685,0,-0.0734119703143146,0,0,-0.00396667469602174
SPX.Index,0,0,0,0,0,0,0,0,0.00246521085110651,0,0.00822410004908581,-0.00635716477859111,-0.0153149666704867,0,0.000942497473716637,0,-0.0581517902560797,0,0,-0.0252050811088532
VIX.Index,-0.405587327807175,0,-0.447026213043681,0,0.152738924062261,0.467133006819514,-0.312213934331824,0.111370848838084,0.226615570054656,0.0910882300036825,-0.0226006368062236,-0.0109638666834304,0.0797589913220259,0,0.0534339659211844,0,0,0,0,0
