,BTC,ETH,BCH,XRP,DASH,BTG,LTC,MIOTA,ADA,XMR,ETC,NEO,XEM,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0951463788109022,-0.102835476355111,-0.0459512006969765,0.0137580067755395,0.327824396376192,-0.129074216847367,0.172524251206005,0,0,0.107827703113985,-0.379045123604292,0.123984393535953,-0.0476496122274215,0,0,0,0,0
ETH,0,0,-3.46944695195361e-18,0.163196703146232,-0.125057672535067,0.0596504871855374,8.67361737988404e-19,-0.000898269299731852,-0.0341934030630827,0.234168910438115,-0.123886414063589,0.0606508230486254,0.220885960140427,0,-0.0293635153823775,0,0,0,0,0.0537078646089956
BCH,0,0,0,-0.050837577813158,0.0314605595717026,0.218787417479336,-1.46593365282626,0,-0.0585850261247365,0,0.445554808554897,0.632208375948878,0,0.18080165745314,0,0,0,0,0,0
XRP,-0.134117555967974,0.414270438713004,-0.0113520090335569,0,-0.168758092801907,-0.0472009336932733,0.170035773856136,0.164192951064528,-0.0453038790803719,0.327698886542896,0.0339205762682702,-0.0107145501184129,0,0.0877886301196962,0,0,0,0,0,-0.22130661590998
DASH,-0.434704137492057,0,0.0588136693414773,0,0,0.0860961179412396,0.16731682221319,0.224619508364187,0.0589349845105143,0.106095175236418,-0.33902168711268,0.0866733015094079,-0.19064319359216,0.0157758954311706,-0.00422654750790007,0,0,0,0,0
BTG,2.49057080391268,0,0,0.0339392749554916,-0.051826995230107,0,-1.50818964064004,0,-0.119738978800257,-0.296476751605488,1.10069923026392,0,-1.81730739348217,-1.0278870606513,0.18102955983432,0,0,0,0,-1.15016160604741
LTC,0,0,-0.101093010667104,0.201741304560824,0,0,0,0,-0.0356817274463656,0.134103349565546,0.13196265565328,-0.0264512761739544,0.206895040579235,0.0783820295064326,-0.0292276108221806,0,0,0,0,0
MIOTA,0,-0.125107948225692,-0.138698485389174,0.280424580156884,0.182260538427386,-0.00568639443199062,-0.378494220666487,0,0.16031095584333,0.0789647330998246,0,0.17592991708525,0.38549973118309,0.136427160557019,0.0896915343716861,0,0,0,0,0.168059506602538
ADA,0.24235071014697,0.388522133736815,-1.99562095033468e-05,0,0.176210590761935,-0.020361510230267,0.648513956257003,0.370836892947061,0,0,0,0.275145925619192,0.948406124710206,0,-0.231791719870329,0,0,0,0,0
XMR,0,0.0366383771006248,0,0,0.0796698912422359,-0.0213280966863728,0.171430536467589,0,0.136490049831288,0,0.128428941567653,0.0718007371331604,0.34043597163049,-0.0263830174343397,0.0128690770563002,0,0,0,0,0
ETC,0,0,0.251325224660374,0.35017878419647,-0.367472799989217,0,0.139039575944418,0.0749801467906731,0.0987607439508841,0.193964456572698,0,0.0370951123318526,0,0,0.0425599017574046,0,0,0,0,0
NEO,-0.217942781543791,0.591596723626118,0.0184848249407486,-0.151789448443546,0,-0.0868160354129095,0,-0.239435934530978,0.0401319414246034,0.259394857217468,0.0607754121386347,0,0,0.0719906741359687,0.16715527308643,0,0,0,0,0
XEM,-0.00669823864475881,0.396926339611261,-0.00211100327955324,-0.0639453504389331,0,-0.0476051039683451,0.125548995756786,0.153787844633458,0.0734674326727866,0.0349168656964319,0,0.0298363851776854,0,-0.0320075338830497,0.0734961599233055,0,0,0,0,-0.0061244461530353
EOS,0.822313061250717,0.284061408173545,0.184106186937595,0.585960723012008,0.355344445424405,-0.0782022792921986,0.166311705464321,0,-0.0821470686300982,-0.520088027164427,0.0930829318741589,0.137025084648896,0.330206221481884,0,0.0872907499952854,0,0,0,0,0
XLM,0.378561240381043,0,0.306151225386261,0.414447657332994,0.11530086265915,-0.0980036030070703,0,0.516815851766783,0.235315305007999,0,0,0.0547282111451651,0,0.21490638268821,0,0,0,0,0,-0.244053617074325
BV010082.Index,0.0312760597327413,0,-0.0269440732058049,0.0263549940369042,0.0165598029035162,0.00405398471301017,-0.0985648209844657,0.0407191461778771,-0.0179006061318231,0,0,0.0357584947189343,0,0.0104659782348417,0.00115453252599164,0,0,0,0,0
CVIX.Index,0,0,0.0153175334292096,-0.0953164710627756,0,-0.00490038739421384,0,0,0.0116411594581586,0,0.0213794692846244,-0.00285388892708606,0.105123405858749,0.00852096654756771,0.016467421000584,0,0,0,0,0.0848430380336686
DXY.Curncy,0,-0.00759735450749808,-0.0118425062065845,-0.00252852088699015,7.54695174506534e-05,-0.00626036831910334,-0.0132134870719788,-0.00825467744176668,0,0.00659048408668953,0.0173184897838715,0,-8.67361737988404e-19,0,0.00483632489171315,0.0305358058524186,-0.0915125202763645,0,0,-0.00623441900298394
SPX.Index,0,-0.00056763803775031,0.000184192512310737,0,0,0,0,0.00155784209325612,0,-0.00270819610487078,0,-0.00134271737004275,0,-0.0119747240698202,0.00253006237294684,0,-0.0926605404215935,0,0,-0.017188533011987
VIX.Index,-0.379395337725223,0.230178426944728,-0.391451335861172,0.206908859266064,0.192456181913329,0,0,0.284698077941899,-0.0719035204362676,-0.351355879183544,0,0.177236471476041,0,0,0.0263027712696143,0,0.0815737778867464,0,0,0
