,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XMR,XLM,ADA,TRX,XTZ,LEO,ATOM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.00354223554775289,0.188921566086135,0,0.0358941251311647,0.000944940652045363,0.0431234766161581,0.153535563051677,0,0.236140260210657,0.0286391425394746,0.080457288562423,0,-0.0709982388636562,-0.240020416066544,0,0,0,0
ETH,0,0,0,0.0745766584456917,0.40337156856626,0,0.123191026399734,0,0.108036590452214,0.0872813980485678,0.0715302707940377,0.0595533323319011,0,0.0323011269490629,0.0321562840871389,0,0,0,0,0
XRP,-0.200902101594358,0,0,0.427213004340159,0.211600310908748,0,0,0,0,0.0383116888284714,0.449555364097257,0,0.0984606108129511,-0.197363651017281,-0.125461003903016,0,0.141927258626965,0,0,0.191300210938481
BCH,0,0.161973853378873,0.215225739909202,0,0,0,0.209910422466576,0.0590555921137846,0,0.0511670953499276,-0.112368327376934,0.248480349807142,-0.0361438385954163,0,0.1354975265554,0,0,0,0,0
LTC,0,0.271665204122978,0.0355108596462892,0,0,0.532486636154052,-0.112239418980255,0.0640000186583188,0.0825249582754827,3.46944695195361e-18,0.0666600197712251,0.0467179769647417,0.0160710868228673,0,0.0202677314323715,0,0,0,0,0
EOS,0,0.15433352202293,0,0,0.496054484395692,0,0,0.131766270067454,0.154559483770619,0.0432934920212656,0.106656835095784,0,0.0364877444712036,0,0.0212423345665496,0,0,0,0,0
BNB,0,0,0.129667068379864,0.180901058419232,0,0.389241707948037,0,0,0,0,0,0.118948861750891,0.0394157228366928,0,0.00117140206826526,0,0,0,0,-0.0216935143861171
BSV,-0.485824991866257,0,0.074933991423098,0.752204585849461,0,1.38777878078145e-17,0.331570944772902,0,0,0.0855685383586618,0.132213932277559,0,-0.0511869397480896,0,0.0857728341205447,0,0.397849734667097,0,0,-0.080606687531474
XMR,0,0.26937839979638,0,0.159154764242683,0.205126792238657,0,0.222217822868526,0,0,-0.0429586627598049,-0.0443961476092608,0,0.0637862509385531,0,8.67361737988404e-19,0,0.0331825533749499,0,0,-0.0406515068378562
XLM,0,0,0.29872976507646,0,0,0,0,0.0383751675723897,0,0,0,0.227056752946414,5.42101086242752e-20,0.04164358355888,0.169357229167129,0,0.0621331698801868,0,0,-0.0151522713198215
ADA,0,0.436357501079517,0.141098024749389,-0.201177352658327,0,0,0,0,0.0243732367221155,0.149310460465892,0,0.15584854242022,0,0,0.136967786353076,0,0,0,0,0.0130735362993327
TRX,0,0,0.216802385873926,0.272035170230737,0,0,0,0,0,0.294033113620082,0.206153230473255,0,-0.0183274887232181,0.223190392768521,0.0706814300270161,0,-0.358091609947493,0,0,-0.041243507975643
XTZ,0,-0.0188346252151884,0.498397576140527,0,0,0,1.21146891743417,0,0,0,0,-0.760284211517328,0,0,0.0218187487162674,0,0,0,0,-0.205028180047412
LEO,0.25581811701658,0.0808855894262974,0,0.0681702522823762,0,-0.351388533506975,0,0,-0.279582065963096,0.0055908514477461,0.118918820310822,0.378444007051574,0.0780243057092842,0,-0.0917414976801293,0,0,0,0,0.0386461322207223
ATOM,0,0,-0.667793897969513,0.110399196615661,0.594087441798729,0.175115092739163,0,0.117290031510498,0,0,0,0.37639040474758,0.427665974901923,-0.155649822232705,0,0,0,0,0,0.0247076545567606
BV010082.Index,0,0,0,0,-0.246843198139842,0.198371700612846,-0.316331170681691,-0.0143512561507077,0,0.128906994758681,-0.0590508740038687,0.37380962054668,0.0816650317854687,-0.0613479245691076,-0.061544862196592,0,0.103003734137871,0,0,-0.00821202075582694
CVIX.Index,0,0,0,0,0,0.065399069522805,0.394566743586638,-0.303485935877968,0.0617315585193596,0.236403713115632,0,-0.225058086257843,0.122959147559033,-0.523888067053219,-0.0956684242118237,0.656930808371664,0,0,0,0
DXY.Curncy,0.0135757114181801,0.00467439362089819,0,0,-0.0654033700854976,0,0,0.0300316908328685,0.0050231710493195,0.041228076427546,-0.0131056315493771,0,-0.00599593212270715,0,-0.00450748678203294,0.0715981907381641,-0.0257659606671576,0,0,-0.00141921962786638
SPX.Index,0,0.0115607617736701,-0.00499429886890845,0,0,0.0394882344130233,0,0,-0.0197127084144075,0,0,0.0106709433345145,-4.33680868994202e-19,-0.0364652126179752,-0.0134487197908574,0.0558411821252004,0.00552461670462076,0,0,-0.0424040995986566
VIX.Index,0,0,-0.521723792445706,0,0,-2.77555756156289e-17,0.193111738960045,0,-0.179340592961885,0.882431024950372,0,0,0.15841831073143,0,-0.630067475193909,0,0.0992206820098457,0,-8.32676572964665,0
