,BTC,ETH,XRP,LTC,XEM,ETC,DASH,XMR,ZEC,NEO,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.186291931111524,0,0,0.0964213365687821,0.10014706164365,0,0,0,0,0.0580545520796587,0,0,0,0,0
ETH,0,0,0,0,0,0.261192243090356,0.0586153622506429,0.0364288991999646,0.157477730538903,-0.0355393838512621,0.230045440813267,-0.0189523608985247,0.00903817914916988,0,0,0,0,0.072825141069994
XRP,0,-0.349381774715652,0,-0.0381946046883854,0.194103667315506,-0.219219149343012,0.534584184789281,0.0632528768098684,0.0931450302133289,-0.0115684901211327,-0.296246200959532,0.385398185286411,-0.0192917732740349,0,0.313435997694394,0,0,-0.213437423813599
LTC,0.661811992888003,-0.0425972833495972,-0.105374133248194,0,0.171725658561225,0,0,0.156167032070074,-0.0588548905846334,0.218371355215255,0.0832935616840669,0,0.0382965963069524,0,0,0,0,0.125611373865355
XEM,0.407377858466881,-0.116955824696564,0.200269034023899,0.0395417362125686,0,0,0.338135886112105,0,-0.00598501333461022,0.0244025138729624,0.229883968752657,-0.0330756754547097,-0.0370291941257768,0,0,0,0,0.0531450976848837
ETC,0,0.224226825544067,-0.120622242680413,0.148875784685218,0,0,0.107629751966937,0.169862581989002,0.0373137700399266,0.0354472986132957,0,0.030933142594298,-0.0487689507249315,0,0,0,0,0
DASH,0,0.0418630395523417,0.103213800741976,0.125114775915171,-0.0614247223747904,0.131654929880533,0,0.359298110399029,0,0,0.0577462008806721,0.0554522029309954,-0.0445588831783064,0,0,0,0,0.225121877992422
XMR,0,-0.0943416236707278,-0.0194726966157886,0.333154638625421,0,-0.163264394478533,0.663251997097792,0,0.0775463391443558,-0.172167882014434,0,0.0425811500247566,0.0384441673750506,0,0,0,0,0
ZEC,0.282550122120664,0.369724444638158,0.0877514739923903,-0.0701756273220889,0,0,0,0.177647994790827,0,0.0801313456778096,0.116997492104927,-0.0413464974568431,0,0,0,0,0,0
NEO,-1.16063325864722,0.794691837749302,0,0.875936613607548,0.197136787968263,0,0.618062124655123,0,0.580064639046082,0,-0.363816812011526,0.121310663875257,0.319727200532131,0,-3.00639018787689,0,0,0.658707228026625
DOGE,0.148786681540697,0,-0.00299105554151883,0,0.308590875411283,0.215399591802663,0,0,0.299937838363746,0.0403838753284626,0,0.139242110559999,0.0438070399839067,0,0,0,0,0
XLM,-1.11626515136542,0,0.326953470837559,-0.0331516870959594,-0.205873263000205,-0.0454289435423338,0.255988993445249,0.699682946521997,-0.452479394646186,0.00200767121827804,0.593106964545102,0,-0.0101668063903511,0,0,0,9.0319230554908,0.6035012158476
DGB,0,-0.729441139349759,0.666829849752749,-0.181815994753079,-0.604035917285352,0,0,0.642510121377567,-0.221496687391815,0.249667854689878,1.083904997475,-0.268258759800532,0,0,0,0,0,0.541191419936954
BV010082.Index,0,0.0354298242089029,0.013872546366899,-0.0221593307422358,-0.0312303527373926,-0.00176934746190257,-0.0693463504693037,0.0477468999417076,0.0397583515863391,0.0122325757279329,-0.00775044715811993,0.0237084768245235,0.00361631529159547,0,0.0717714813505936,0.373510102417703,0,-0.0180035386095881
CVIX.Index,0,-0.0566954599238858,0.046038518481663,-0.0661800212082293,0,0,0,0.153544252536578,-0.191783742522372,0.0571949335191382,0.143318442361462,-0.0332529109952339,-0.011060141643321,-0.0655194714121559,0,0,0,0.137683634465544
DXY.Curncy,0,0,0,0,0,0.0108840258390022,0,0,0.00674096552232468,-0.00305532811148417,-0.014984199629608,0,-0.000638215165581377,0,0,0,0,-0.00462664162452584
SPX.Index,0,0,0.00661848768037701,0,0,0.00596031949080723,0,0,0.00475328981020628,-0.003578395752582,0,0,-0.000202769735752464,0,0,0,0,-0.0479954908114245
VIX.Index,0.301516064225124,0.0548790952885073,0.262844982516535,-0.181851951408111,0,0.173092720311982,0.164200220850046,0.0517383955877568,-0.162658120963965,-0.0627828606758516,-0.00560924133941395,-0.0892612620358617,-0.186156147096806,0,0.282559859047255,0,-5.112315115594,0
