,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,INNBCL,LINK,ADA,XLM,LEO,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,8.67361737988404e-19,0,0.073535497526507,0.0226254131264159,0.115056837401086,0.118208777976861,0,0.0232570250814148,0.000883243581918563,0,0,0.145574749744826,0,0,0,0,0,0,0.0235839374474049
ETH,0,0,0,0.167520645154408,0,0.159909651264709,0.0503784329671915,0,0.147292733493567,0.00124780565038111,0,0,0.092030051923202,0,0.328899287400638,0,0,0,0,0
XRP,0,0.231295852732918,0,0.0601158826276606,0,0.0870804239666275,0.0683693898201338,0.00214626156167646,0.0883363910419214,0,0,0.0270077772806853,0,0,0.170402957344735,0,0,0,0,0
BCH,0,0,0,0,0.253087574173752,0.298031183976564,0,0.267211310607706,0,0,0,0,0,0,0.0176092717189301,0,0,0,0,0
BSV,0,0.913196520488867,0.38803207195967,1.33439841003791,0,0,0.640254145398054,-1.69534822990636,0.00191228384342969,-0.0198906414811239,0.125107880821675,0,-0.82247453028769,0,-0.547011754314604,0,0.0419222928200332,0,0,-0.0141912747366383
LTC,0,0.250492475929166,0,0.136833836095681,0.00781196466783761,0,0.300281891619836,0,0,0.000136986449298804,0,0.190622700013004,0,-0.0590199705884239,0.169944218306876,0,0,0,0,0
EOS,0.169670300429634,0.0535370419271992,0.252134590857833,0,0.111489921015452,0.257643431090512,0,0.0659227208704901,-0.180536501459901,0.0011925196008467,-0.0226482674735905,0.103572719472477,0,0,0.290057383494924,-0.192455784050882,0,0,0,-0.0529743976719064
BNB,0.0897657221808585,0.178404006661291,0,0.27367709788533,-0.0595533452414282,0.288453054904092,0.0409224449067402,0,0.0820920764919055,0,0.0539856411697041,0,0,0,0,0,0,0,0,0.0256764057919147
XTZ,0,0.24997213966744,0,0,0.00315500806147246,0,0,0,0,-0.0050096424003987,0.410029878268655,0,0,-0.0797393902122698,0.156353052016877,0,0,0,0,-0.0239851706970647
INNBCL,0,32.5626418884792,9.74943077237116,0,-0.1595097838718,0,-1.8411270401449,0,-1.10317947034533,0,-6.17997133503682,-48.3275562265169,14.4449306707258,15.844179082884,0,-8.829664297763,0,0,0,-1.99493054466984
LINK,0,0,0,0,0,0,0.147722863601959,0.0800337699833811,0.160026268698942,-0.00654319552167559,0,0,0,0,0.333742827059147,-0.0839079098630638,0,0,0,-0.109087972731873
ADA,0,0.0541309664802938,0,0,-0.0161065577478529,0.28813815051538,0.148714137955803,0,0,0.00181797967955713,0.112240706595067,0,0.12948791169535,0,0.208781348690933,0,0,0,0,0
XLM,0,0.155230811202401,0.242150796002431,0.105617446501438,0,0,0,0.141800004858175,0,-0.00207915606921018,0,0.000170813316585242,0,0,0,0,0,0,0,0
LEO,0.211757765918733,0,0,0,-0.0107188147199575,-0.220318507344605,0,0.159189198668728,0.0212091867502963,0.00851578105582654,0.02244027422519,0,0.226664157675811,0,0,-0.0403610643993232,0.0539567329686646,0,0,0
TRX,0,0.0674147254506427,0.252806723637981,3.46944695195361e-18,0.0147128522905474,0.190926350973528,0.124914323681791,0,0.0115432162372478,-0.00213478773730854,0,0.296228974127305,0.0511867462104413,0,0,0,-0.0143706943746233,0,0,0
BV010082.Index,-0.670571241252918,1.28793618631323,-0.7354525648414,0,0.173474871108665,0.00316563645461088,-0.579647589635304,-1.00266586667789,-0.999790176003067,-0.0231053740900689,0.334626892366458,0,1.52963420712253,0,0,0,0,0,0,-0.109693490760372
CVIX.Index,0,-0.102804330866594,0,0,0.0471460740417161,0,0,0,-0.200240940066032,-0.00514228613735541,0,0.410374338270903,0,-0.097124631427408,-0.312287363656826,0.0397812928968226,0,0,0.743242147444335,0.147586868931423
DXY.Curncy,0,0,-0.0106068480075852,0.00228299506499448,0.00224498441251867,-0.0235172434055834,0,0.0195115514936795,-0.0125363759038781,-0.000465992194302858,0,0,0.0391490783925198,0,0,0.0405740572349943,-0.0282769713318893,0,0,0
SPX.Index,0,0,-0.00409921287041423,-0.0159172928377748,0,0.0217059904904281,0,0,0,1.35525271560688e-20,-0.00175687425148367,0.0272789210197896,0,0,0.0512195325891569,0.0739775423748528,0.00692974685697046,0,0,-0.107389944367905
VIX.Index,0,0,0,-0.0298436529416986,-0.00944840514627549,0,0,0,0.0409591612813492,-0.011488616041312,0.0774387452908101,0,-0.332931415419969,0,0,-0.198928818175066,0,0,-3.57122463612005,0
