,BTC,ETH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,NEO,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.061927338308218,0,0.331151478943042,0.0654454206314579,0,0.103922435189554,0,0,0.0332236592015799,0.0559398312173689,0,-0.0904705818254567,0,0,-0.296994580508791,0,0,0.196251640593986
ETH,0,0,0.170881478696318,0,0,0.224732723994996,0,0.148500147456308,0,0,0.0543730033488043,0.0260674245780392,0.0494208040146038,0.226619512182595,0,0,0,0,0.13270592091662
XRP,0,0.18923822807116,0,0,0.163111969349641,0,0.257517258469771,0.090857473891427,0.0187833355587541,-0.0344007523256767,0.0423968075198367,-0.246393680255083,0.207619861952925,0.095117703990935,0,0,0,0,-0.0252080603009786
LTC,0.321747214156424,-0.0469556128013619,0,0,0,0.215141955787704,-0.142173488284361,-0.0364267432924434,0.0180921843745226,0.13230440998991,0,0.106634539258254,0.00288308902927209,0.175556343284609,0,0,0,0,0
XEM,0.306293030719738,0,0.270762070270458,0.238709906595633,0,0,0,-0.0533632781216595,0.257648945134873,-0.017341629209131,0.109493701713505,-0.112045673931171,0.0240584896864898,0,0,0,0,0,0
ETC,0,0.191824837008974,0.0125869058959387,0.251849370832602,0,0,0.307151846785604,0.11845891352851,0.0683716450985022,-0.0641429402951707,0.0154205715391837,0,-0.123613634187421,0,0,0,0,0,0.172556214259987
DASH,0.105104074772038,0.0821977229944457,0,0,0.165265801374713,0.19857464908986,0,0,0.168920284364722,0.0547898013031234,0,0,0,0.0416771094073321,0,0,0,0,0.123328647025602
MIOTA,0.29760237291803,0,1.18739944529908,0,0.0700014797403343,0.266671564140795,0,0,0,0.0129728352476015,0.0290001524572111,0,0.124154626178486,0,0,0,0,0,0.12169446009482
XMR,0,0,0,0.13204763590724,0.136250275944238,0,0.449459420875838,0,0,-0.016510971852279,0,0,0.264591732369148,0.020635750624944,0,0,0,0,0
NEO,0,0.55375340491309,-1.74971570030911,-0.0538669935889705,0.935179971112591,0,0.794348259921808,0,0,0,0.0704885067335196,0.160820574026263,1.73472347597681e-18,0,0,-4.11480045052187,0,0,0
EOS,0,0.555078762140336,0,-0.485276865972764,0.356735619338195,0,-0.0596570974537214,-1.73472347597681e-18,0,0.174714945114689,0,0.141277742023885,0.0447492364056838,0,0,0,0,0,0
ZEC,0,0.260186104715883,0,-0.0180275514599453,-0.0265811333046808,0,0,0.0182982037347731,0,0.0660765148829061,0.0254998768115715,0,0.263967810789519,0.198972757098335,0,0,0,0,0.0407263637166222
XLM,-0.271110745765758,-0.0697922312596029,0.259870167289114,0,0.239473603843522,0,-0.0504241245316318,0,0.578942751990172,0.0951075555854693,0.0643094393307059,0.278618543442575,0,0.0742362322516097,0,0,0,0,0
DOGE,0.139022650547348,0,0.212517674574914,0.0718809921639949,0.316344657256441,0,0,0.0551080918158001,0.199710622435074,0.0205799437045014,-0.0566345708979562,0,0,0,0,0,0,0,-0.159648611467386
BV010082.Index,-0.0879409842962886,0,0,0.0158034959520258,-0.0400621546661196,-0.0205772434658272,0.055643252491971,0.00853277294795103,0.0114784228608781,0,0,0.0545332993580461,-0.00827848667971389,0,0,0,0,0,0.0270447907291527
CVIX.Index,-0.10385841654686,0.00779638375271861,0,0,-0.0104587649576345,0.058860428310569,-0.133653909629326,0.073943613128698,0.0742756595427667,0,0.0332432177710641,-0.0956506495803355,-0.0385322558968577,0.090780061570653,0,0,0,0,0.0376680343196909
DXY.Curncy,0.0378314428027335,0,0,0.00339425599407513,-0.00583987418846145,0,0.0100704148967966,-0.00354632722780307,0,-0.00974093511126849,0.00214926349387449,0.00500643016338496,-0.0111910949306005,-0.0159606792370958,0,-0.0663934465957894,0,0,-0.0335219320984654
SPX.Index,0,0.00307832047753949,0.00597240706114906,0,0,-0.0013970183274368,0.00913193774716324,-0.00661366843088232,0,-0.00235564828803025,0.00111208249902701,0.00628832693873338,-0.00448724354589055,0,0.0191991305449593,0,0,0,-0.0619862869038759
VIX.Index,0.083930880093165,0.0892568693757409,0,-0.277107493852228,0.217964293581404,0.282932022460394,8.67361737988404e-19,-0.183168189014894,0.183950559297692,-0.0996205787490645,0.0680486529750003,0.0797873166411264,-0.379908766788092,0.245761810027116,0,0,0,0,0
