,BTC,ETH,BCH,XRP,DASH,LTC,XEM,MIOTA,XMR,ETC,NEO,ZEC,EOS,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0979735950557571,0,0.153646388242578,0.354456771882211,-3.46944695195361e-18,0,0,0.00982125966963997,0.0654365175192627,-0.003259831210321,0,0,0,0,0,0,0,0.0274031231546507
ETH,0,0,0.0393113683259371,0.04529741008014,0.130000682035359,0.188467053132287,0.0297532765185895,0.123130414705358,0.0264926352465974,0,0,0,0,0.0928969610290203,0.0943573101135738,0,0,0,0,0.0904092654857393
BCH,0,0,0,0,0,0,0.975809113302636,-0.408225810278189,0.57513300264157,0.152763522739536,-0.0443364573961443,0.316876422727106,0.446022271248842,0.0403899122284257,-1.44329591097781,0,0,0,0,0
XRP,0,0,0.0972878748574557,0,0,0.235079013133601,-0.0929627198122427,4.33680868994202e-19,0.0212516704776618,-0.20874278056685,0.0749718895777825,0,0,-0.0437435734323704,0.440103597661007,0,0.0097420723791392,0,0,0.00498034163853006
DASH,0.197603506431698,-0.0471628698375042,0.087365354098087,0,0,-0.0383257243912446,0.0973209776257719,0,0.0707641649544102,0,0.0223108582903071,0.410408965199307,0,0.0722373553930042,0,0,0,0,0,0
LTC,0.0543458657972439,0,-0.0160425107799482,0.0761949730700908,0,0,0,0,0,0.756015178015398,-3.46944695195361e-18,0,0.0832645278562072,0,0,0,0,0,0,0
XEM,0,0.0863920201118671,0.0555512784177013,0,0.404137547731084,0.091997439182846,0,0.0253949166939519,-0.0859527212477161,0,0.132954292384927,-0.107908346737853,0,0,0.400893541520239,0,0,0,0,0.151488775731567
MIOTA,0.130793648995947,0.101920229257997,-0.173055837814266,-0.265959042966255,6.93889390390723e-18,0,0.417262932972794,0,0.188651871132695,0.084722726368871,-0.123540758750642,0.265655953869031,0.437298297615548,-0.212152254153111,0,0,-0.540953819653681,0,0,0.0359829076036608
XMR,0,0,0.125228557694534,0.136474825236626,0.177076934779062,0,0,0.0203712678639175,0,0.0297104144865273,0.125473017471132,0.193681127010687,0,-0.0950088821076698,0.22839881030283,0,0,0,0,-0.0449754303720102
ETC,0,0,0.0146442773283334,0.119755810298043,0.0455925819263824,0.695343628661354,0,0.0827664847386251,0.121269625032539,0,0.0285740850702392,0,0,0,0.0361596712254205,0,0,0,0,0
NEO,0,0,0.0502656795693521,0,-0.0268992418288273,0,0.394243711452849,0.164190085779142,0.198608223524901,0,0,-1.38777878078145e-17,0.252992886731416,0.00323624977303931,0,0,0,0,0,-0.196352479063942
ZEC,0,0.548203311782184,0,0.0237023814915763,0.21098221714975,-0.0545561411426758,0.0709738590250642,0.155171579668535,0.0507653045368067,0,-0.0175039064972197,0,0,0,0.0785998394333429,0,0,0,0,0.0507519609298995
EOS,0.0721632702338555,0,0.0877536818275678,0,0.0575358274434385,0.378385079566812,-0.133209845517829,0.253378025432922,0.197525075472872,0,0.193490362697435,0,0,0.0955152655393266,0.208341505377744,0,0,0,0,0
BAT,0,0,-0.0334609556669899,0,0.0543282692690493,0,0.0740972920777924,0.0246084183069839,0,0,0.183215807957062,0.210714380078567,0,0,0.363255736418931,0,0,0,0,-0.130383276936973
XLM,0,0.126485511017567,1.73472347597681e-18,0.0642198990420668,-0.141681065685312,0,0.0775430298409463,0,0.501769672794119,0.0340704558254666,-0.0208590019728186,0,0,0.253115828993877,0,0,0,0,0,0
BV010082.Index,0,0,-0.00314952852341511,0,0,0.0109319359515134,0,0,0,0,0,0.053379981319357,-0.026598328982359,0.0118359279313404,0.00733140164081168,0,0,0,0,-0.0861405533203888
CVIX.Index,0,0,-0.0271296399399389,0.14847110165299,0.0101313436436659,0.0746497405748116,0.0575799782682945,0.0792876275337491,-0.0123436566569009,0,0.000456113389991507,-0.134609750298258,-0.0889105986755245,0,-0.0680012629365039,0,0,0,0,0.0750530620500772
DXY.Curncy,0.000792434137825573,-0.016942638846197,0.00454963031045728,0,-0.00276507902432406,0.0135649330733319,-0.00427436174405974,0.00249900119738971,0,0,0.00852778189755525,-0.00273740001856896,0,0,0,0.0146795831616246,0,0,0,0
SPX.Index,0.00525635243655339,0,0,-2.71050543121376e-20,-0.0146729983754021,-0.00997809210905494,0.000740180024448236,0.00450020596605928,-0.00096762222587206,0.0136593962238787,-0.00163819968512042,-0.00883587842823112,0,0.00621695170149796,-0.00386593252185062,0,0.00405660857001039,0,0,-0.044716868480481
VIX.Index,0,0.0689115224386926,-0.0252160763975265,0.0229721084937335,-0.295474969214625,-0.100853575329755,0.316222297643809,0.147581090467418,-0.0252002316309907,0,-0.138937285958835,0,-0.129428892878645,0.0782665227820165,0,0,1.33091786969888,0,-5.95486571391643,0
