,BTC,ETH,XRP,BCH,ADA,XEM,LTC,XLM,MIOTA,TRX,DASH,NEO,XMR,EOS,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.123677416443466,-0.0876629342656604,0,-0.0400768762312975,0,0.0540513920589189,0.112031890771919,-0.0230697625934283,0,0.107081131755572,0.24226048094993,0.0714328763927558,0,0,0,0,0,-0.0895540645180277
ETH,-0.109176657617361,0,-0.0844053250751675,0,0.0585096260370125,0.0561343315306311,0.0804380413619757,-0.0345526040061866,0.0317505775032542,0.0541364054317379,0.0297479027964664,0.185589297453594,0,0.139804289812306,0.0760367604857027,0,0,0,0,0.138089176070145
XRP,0,0,0,0.0756228526692221,0,0.0612731938563137,0,0.27860186361259,0,0.0196426666000868,0.22991866475374,0.0371010480382143,0.0506500181558602,0.361677482174414,0.0699979637107545,0,0,0,0,0
BCH,0,0,-0.0896679333794056,0,-0.0143866635306226,0,0,0,0,0.0202731657933254,0.176527495148125,0.26007926164499,0.138879968855636,0,0.199783769384998,0,0,0,0,-0.0409198439984502
ADA,0.0605850987984256,0.307711766968318,0.18379873968226,0.0186810845628797,0,0.14831711615038,0,0.306315270820446,-0.0698588386129273,0.037932310811543,-0.111163857240068,0.0878197122437449,0,0,0.1490688393561,0,0,0,0,0
XEM,0,0,0.217738659341862,0,0.0441557860351261,0,0,0,0.162687221807832,-0.0231647393572534,0.156607806148,0.141830555452711,0,0.116141772139077,0.0192081899516241,0,0,0,0,0
LTC,0.128192500003169,0.0995197530983533,0,-0.0397526388473964,-0.00139609732825794,0.00830545349993007,0,0,0.151482205414374,0.0337172508477593,0,0,0,0.0840531896271386,0,0,0,0,0,0
XLM,0,0,0.0850897706197349,-0.0408354575796627,0.417473454711111,0,0.199586198732903,0,0,-0.208536288833148,-0.0822913369946257,0.0931844472932598,0.125574193044563,0.141845963774805,0,0,0,0,0,0
MIOTA,0.480873749954778,0.152201687701857,-0.150132321240288,-0.0115425434946136,0,0,-0.0939822585132023,0.143123956910916,0,-0.128445474653785,0.0590402732790674,0.0723514847444786,0.35346093537227,0.349137597069863,0,0,0,0,0,0
TRX,1.23481638961358,0.816435330395524,0,0.222069482428568,0.438823041987517,-0.480576192404216,-0.389027587278708,-0.177960446522823,0,0,0.257075933679196,-0.0292540444336427,0,0,0,0,0,0,0,0
DASH,-0.0395864889998539,0,0.0624518600272955,0.108187544701744,0.0149887210107535,0,0.262620788682026,0,0.0173564914371791,-0.041634811394351,0,0,0.146145818852804,0.118283290429065,0.0316257640266154,0,0,0,0,0
NEO,0.0152800035645002,0.67205571261503,0,0.0201660232935687,0.0056615388369723,0.0755054867234022,0,0.172596747539242,-0.0792346249217731,0.0728286606987185,0.107080349745337,0,0,0,-0.103708078832594,0,0,0,0,0
XMR,0.214123793547619,0,-0.00522246992027519,0.0775741758998403,0.0134739287354737,0,0.147649739214391,0.0924192726564244,0.0495556963432345,0.0784063323816094,0,0.293498755720597,0,0.00572763727491007,0,0,0,0,0,0
EOS,0,0,0.0075482399714034,0.00369010715341714,-0.0965700242560894,0.0856936419339254,0.305033246562732,0.28055336037437,0,0.0767837726316985,0,-0.0346512048981491,0.213662593645578,0,0.208995564745254,0,0,0,0,0
BTG,0,0,0.178540364830205,1.1546712351373,8.67361737988404e-19,0,0.517056277181405,0,0.134733218512047,0.17406549687645,-0.563813172603302,0.117829980979718,0,-0.71154641804985,0,0,0,0,0,0
BV010082.Index,-0.0234327615380124,0,-0.0171580793685644,-0.0351240356677865,-0.0069167809037869,0.00732637932628585,0.0121672098078817,0.0117384306900957,0.0130793759903116,0,0.0178607374208268,0,0.0127192811934131,0.00504079953259562,0,0,0,0,0,0
CVIX.Index,-0.00464727103932706,0.0537741354493076,0.0335194064975538,-0.00187955893149337,0,0.029882354117512,-0.0694934299328517,0,0.00670618815265731,-0.018643720836378,0,-0.0459870148352092,0,-0.00470538358526208,-0.0250192029196046,0,0,0,0,0.0208155018105294
DXY.Curncy,-0.016671784888501,0,-0.00404931937266257,-0.00295789519827884,-0.00033497321061943,0,0.00869216418559078,0,0,0.0112138452847092,-0.00678999058831922,-0.0125567271958231,0.0282689285273071,0,-0.00519733223836099,0,0,0,0,0.00170011435770297
SPX.Index,0.00289339322089555,0.0139837543448748,0.00191156011712028,0.00221101466338263,0.00413758001988761,0.00156830624897692,0,-0.00745991920527504,0,0,0,0,0.00109174158798381,0,-0.00132416101428774,0,0,0,0,-0.0291114112225682
VIX.Index,0.227438863077414,0,0.0376936710160973,-0.0640288805401341,0.0380421438062016,-0.0364039169580912,0,-0.11762012457096,0.0860800200875087,-0.114764993005243,0,-0.160871336145054,-0.111103731787246,0.217922561591452,-0.0476999415268367,0,0,0,0,0
