,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,ETC,NEO,ZEC,EOS,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.130662173486195,0,0.296176787751308,0.139591085816219,0.115963272761542,0.0519418503168422,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0
ETH,0,0,0.0495560778518657,0.166066646683794,0,0,0,0.276990487669115,0,0.0983120529443992,-0.0442382724287483,0.142055490189796,0,0.225964864699658,0.041033457621892,0,0,0,0,0
BCH,-0.22080718151314,0,0,0.197299774695293,-0.557851589596997,0,0.900727438151517,-0.661545794653573,0.164512490633186,0.864686363285435,-0.0617269980472058,0.618896338292714,0.423289580517256,0,-1.11751410868082,0,0,0,0,-0.0978602762849687
XRP,0,0.237201929130685,0.0853483703613472,0,0.139692249401065,-0.0777412396494679,-0.131924172673058,0.0384875016474545,0,-0.172054417314375,0.0774156145357525,0.0971252632023227,0,0,0.396949807503054,0,0,0,0,-0.0117114534255056
LTC,0.0756867077061408,0,-0.00975304400881636,0.0679976118439618,0,-0.00600614041923364,0,0,0,0.750149336573453,0,0,0.0820465644574594,0,0,0,0,0,0,0
DASH,0.175234185979351,-0.0248379319482756,0.0798816225943799,0,0,0,0.0878975915648237,0,0.0525148473223375,0,0.0106294708937804,0.382019943462055,0,0.0935682223617358,0,0,0,0,0,0
XEM,0,0.140545044607742,0.0284429613556475,0.0808194749421707,0.116959714594542,0.522319229278944,0,0.0277991319695873,-0.131516898005549,0,0.100827542350086,-0.198608151486591,0.0446786621160715,0,0.326396647229513,0,0,0,0,0.137416827983531
MIOTA,0,0.230520585161277,-0.0933651310187286,0,0,0.182839549219443,0.204026915321163,0,0.11140839915175,0.149143953281401,0,0,0.190576112447129,0,0,0,0,0,0,0
XMR,0,0,0.123398017651511,0.143887496056638,0,0.216386138242591,0,0.0311291423131802,0,0.0208779952003265,0.131970637770289,0.179638866105954,0,-0.119149062687707,0.222070935181637,0,0,0,0,-0.0461316714645924
ETC,0,0,0.0432070764995089,0,0.671371141540532,0.031290386196095,0,0.0796396208800627,0.110186177781976,0,0.00435958206408762,0,0,0.0609641240696738,0.111218713291954,0,0,0,0,0
NEO,0,0,0.0502656795693521,0,0,-0.0268992418288275,0.394243711452848,0.164190085779142,0.198608223524901,0,0,0,0.252992886731417,0.00323624977303933,0,0,0,0,0,-0.196352479063942
ZEC,0,0.451373672708894,0,0,0,0.231332109786192,0.0697026708916254,0.169664112162753,0.0677574202632366,0,-0.0082941649094135,0,0,0,0.0845853809144388,0,0,0,0,0
EOS,0.0656027586609162,0,0.0925496451936173,0,0.383412176806729,0.0578688303457341,-0.130278048080976,0.247910083002935,0.200222254642408,0,0.198933412404173,0,0,0.0863904285898776,0.204769462675786,0,0,0,0,0
BAT,0,0.0732848038652301,-0.0454661383381734,0,0,0,0.0155433460972635,0.0366912913385695,0,0,0.180759404006953,0.284097994975469,0.153653505562255,0,0.247455404913724,0,0,0,0,-0.0774557600033632
XLM,0,0.126485511017568,0,0.0642198990420654,0,-0.141681065685313,0.0775430298409465,0,0.50176967279412,0.034070455825467,-0.0208590019728186,0,0,0.253115828993877,0,0,0,0,0,0
BV010082.Index,0,0.069136443625835,-0.0136674369998103,0,0.054104320519492,0,0.0120606651202053,0,0.0198796009204941,-0.0194751409725894,-0.0075609856736492,0.0156489464118516,-0.0373769747174672,0.0225381816121331,-0.0234982858793753,0,-0.0798341340590241,0,0,-0.0923209494024722
CVIX.Index,0.0493981849447347,0,-0.034172658957706,0.139607684720691,0.0685049117285284,-4.33680868994202e-19,0.0447686519852614,0.0688233821739232,-0.0238585015894502,0,0.00128950463668166,-0.139586471249815,-0.0795739470464049,0,-0.0348462133794266,0,0,0,0,0.0758479225591006
DXY.Curncy,0.00752093617507478,-0.0088911803178563,0.00284591292314284,0,0,0,-0.00515083215057994,0.0132918084000941,0,0,0,-0.0133161396238797,0.00769753404558633,0.000739859566705473,-0.00211477917662533,0.059601280933256,-0.0254575947762362,0,0,0
SPX.Index,0.00288615924747115,0.00280539279544845,0,0.00281129570638657,-0.00974998759761166,-0.0157043006788956,-0.00248795314956336,0.00254621517421766,-0.00742685370251708,0.0144213864582172,0,0,0,0.00405570305974823,-0.00108320927721743,0,0,0,0,-0.0473483229200198
VIX.Index,0,0.16962089770687,0,0,-0.250350743343206,-0.16830049417582,0.287348641259997,0.0685090688857025,0.0332867833674524,0,-0.0730305987197022,0,-0.31916644238403,0.213502965973733,0,0,2.20244285600745,0,0,0
