,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,TRX,MIOTA,NEO,DASH,XMR,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0980729745638711,0,0.124671673881747,0.0878716103770182,0,0,0.103912461499803,0.0559399284762807,0.108524781810451,0,0,0,0.0443329951219904,0,0,0,0,0,0.07885112664659
ETH,0,0,0.163094436718196,0.173060672004649,0,0.0235014795290951,0.513642093376704,-0.099238044469429,0.0845614094680633,0,0,0,0,0.0391286834398853,0,0,0,0,0,-0.0378809645692235
XRP,0,0,0,0.137868510346955,0.197397324435196,0,0,0.0375827945007505,-0.158005523012318,0,0.132947460425286,0,0.214436231426279,0.192430748889806,0.106436223919159,0,0,0,0,-0.090683450653957
BCH,0,0.0749424755145582,0,0,-0.132733066585254,0,0.558649373754138,0.119762054218069,0,0.0911654854508338,0,0.15659143522527,0.113276552154697,0.0805277801260809,0,0,-0.461876243272062,0,0,0.000218045368391387
EOS,0,0,0,0.679748702434887,0,0,0.18913544837052,0,-0.367228802430396,0,0.0584312309486559,0.579782596696735,0.069766747769545,-0.0160683355876975,-0.490961418237294,0,0,0,0,0.0167155297424318
ADA,0,0.486962134703372,0.205281676433785,0.0495279359747071,0.0307338208791742,0,0,0,-0.0404251807810366,0.219462755328751,0.275371255453012,0,0,0.128351777042954,0,-0.35356594105964,-0.168005143399541,0,0,-0.0656783900554248
LTC,0,0.465647644389257,0,0.142804756998472,0,0,0,0.142258276488607,0,0,0.0972824575553844,0.0183246308066038,0,0.030468080117171,0,0,0,0,0,0
XLM,0,0,-2.16840434497101e-19,0.0640669212536115,0,0.24039062818636,0.0841141059129037,0,0.0627329158768938,0.270665380580619,0.0506720032498348,0,0,0.157723340903973,0.0118195334723093,0,0,0,0,-0.0145740013558764
TRX,0,0,-0.258543946434942,1.02320403254781,0.213584723292058,-0.372351483190126,0.262790528214171,0,0,0,0,0.330704962356738,-0.272959953602507,0,-0.186516215058112,0,0,0,0,0
MIOTA,0.185894763586944,0,0.281622608712149,0.41302689197763,0,0,0.0145921258614209,0,-0.0276570126486811,0,-6.93889390390723e-18,0,0.10565057806906,0,0.137518558901154,0,0,0,0,0
NEO,0,0,0,0,0.120626178940378,0.0907901478804514,0,0.178366832044805,0.0545381103497555,0.182756207335277,0,0,0,-0.0619218227827523,0.263010691115618,0,-0.409627300685339,0,0,0.108170249151917
DASH,0,0.155883142740741,0,0.298286309569078,0,0,0,0.146703813790299,0.161623070642844,0.0754863575042252,0,0,0.0432895304651348,0.0365557419228269,0.0113642200265791,0,0,0,0,0.0714521886940263
XMR,0,0.714250390377908,0,0,0,0.161044426751725,0,0.0736827874683613,0,0.141770943838332,0.05364905553281,0,0,-0.248326074807732,0,0,0,0,0,0.0399941007214948
XEM,-0.335780051007091,0.818465750982834,-0.225285358061952,-0.289159292002124,-0.133716320619385,0.2580937660597,0,0.44403060162455,0.215204956594183,-0.0760175062335632,0.122410537397413,0,-0.130167048549038,0,0.265777381379041,0,0,0,0,0.0183338582942752
ETC,0,0,0.67207587058286,0,0.0139345990503059,0.103617506205748,0,0,0.112783766986653,0,0.124126194613522,0,-0.21429094455394,0.108143453951253,0,0,0,0,0,-0.0855269949956294
BV010082.Index,0,0,0,0,0,0.023920553336839,0,0.0149828569846206,-0.00988954287933387,0,0,0.118033807875202,-0.0966912907422655,-0.0609712872981981,0,0,0.137986918765198,0,0,-0.0526292869339226
CVIX.Index,-0.0759298477907299,0,0,-0.043324320084633,-0.0448720241717317,-0.0473280661998355,-0.031548769770194,0.0293831097221607,-0.0143716688967311,0,0,0.193380175763321,-0.0727379344054866,-0.23343073926307,0.270586203369187,0,0,0,0,-0.0184670820000093
DXY.Curncy,0,0,0.0171674015372892,0,-0.00205010086338832,0.00598620159912846,0,-0.0403369885580889,-0.00477417524457138,0,0,0.0421925368727631,0,0,-0.0104004295874469,0.0655748193012494,0,0,0,0
SPX.Index,-0.0847175968712241,0,0,0.0448379521994906,0.0172812801253958,0,0.0190283736622048,-0.0143517710851283,-0.0214985143185494,-0.0293651873028668,0.0358706774262673,-0.0133752617914413,0,-0.0115930560747742,0.0319476225649954,0,0,0,0,-0.112344507142732
VIX.Index,0,-0.344740396347466,0.196791616328578,0.261940211648575,0.104982225937501,0.0592893937407892,0,-0.419722408941153,0.135255456639338,-0.0535297073222226,2.77555756156289e-17,0.0906415697442573,0,0.0634121325731009,0,-0.468297731357092,0,0,-4.45672140859037,0
