,BTC,ETH,BCH,XRP,LTC,XEM,DASH,XMR,MIOTA,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,6.93889390390723e-18,-0.143239468210923,0,0.272183518995227,0.0990256248902383,0.178368952122154,0,0.0831068273178034,0,0.0528348053850172,-0.0398576464583088,-0.0125466045869708,0,0,0,0,0,0,0
ETH,0,0,0,0.186148321736138,0,0,0,0.095868788809503,0.161115379459976,0.177893021373121,0,0.106002074396232,0,0.0187506413476942,0.203281104835134,0,-0.179081956495244,0,0,0.101110189901444
BCH,0,0,0,0.256460243915279,-0.475332351791157,0.937511819341409,0,0.276090659179113,-0.616211123590671,0.437241515276556,-0.0338654500818226,0.542761955675622,-1.23947414989067,0.455232151477568,0.0122505345466274,0,0,0,0,-0.129447815493295
XRP,0,0.531669732466157,0.0609351547455663,0,-0.0505356393015431,0,0,0.0899402956014425,-0.118349869831623,0,0.0661447214586727,-0.000488081097297462,0.222091040937768,0,0,0,0,0,0,0
LTC,0.219900667947787,0,0.0982099294096782,0.0135701821298911,0,-0.0891962740456775,-0.18178550204543,0.0273082385508716,0.134279108134776,0.216872605065205,0.0429867249800683,0,0.0694613000442846,0.0507269903869483,0,0,0,0,0,-0.0355459281403439
XEM,0.179066108084668,0,-0.0484158259850327,0,-0.0260699484966294,0,0.110825238819917,0,0,0,0,0,0.163538030177554,0.137001507730104,0.319617430067763,0,0,0,0,0
DASH,0.296885719553288,0,0.0542267129632131,-8.67361737988404e-19,-0.175434092518639,0.120549300045402,0,0.0889079146345811,0.115422395332835,0,0.0142169191091806,0.33241502488478,-0.0197092585343085,0.118331239379503,0,0,0,0,0,0
XMR,0,0,0.12703593648387,0.179297146232182,0,0,0.306080574047984,0,0.0307784732808647,0,0.127221408305184,0.119176497657214,0.208916635728221,0,-0.127130165460346,0,0,0,0,-0.0564710065058405
MIOTA,0,0.253869716419488,-0.127370234016946,0.0750642893535109,0.0990557133688182,0.0298348989782563,0.499189840116084,0,0,0,0.0694960367962346,0.088515357285487,0.292665152547331,0.147072469451154,0,0,0,0,0,0.104807460590919
ETC,0.0659589565439308,0.354144526314738,-0.00451784388059141,0,0.332077592034755,0,0.131627473738165,0,0,0,0.0217718858580312,0,-0.131234386541346,0.0276430968115604,0,0,0,0,0,0
NEO,0,-0.140064111706326,0.0292795670758884,0,0.118262080561698,0.156127602725054,0,0.0923693755436273,0.298728703437655,0.0208133633108694,0,0,0,0.395703904402714,-0.1175410352096,0,0,0,0,-0.0585732075287603
ZEC,0,0.0939216114758959,0,0,0.0900318647278627,3.46944695195361e-18,0.193908392608462,0.0453683936353716,0.180242522224767,0,0,0,0.118595359986448,0,0.0202275223452226,0,0,0,0,0
XLM,0,0.277124532536827,0,0,0,0.174200100552374,0,0.223611342019258,0.133176346185195,0,0,0,0,0.119539498624785,0.147497202173725,0,0,0,0,0
EOS,0.339673072892955,0,0.0560088618129672,0,-0.468601008337296,0,-0.127657152255525,0,0.250937230590263,0.418894060547898,0.231822164547016,0.239336182709193,0.451251298185727,0,0,0,0,0,0,0
BAT,0,0.120461592474034,0,0,0,0.125646777253333,0,0,0.0310990993479886,0,0.144109570676718,0.216159019283511,0.286838683864048,0.0974750514235279,0,0,0,0,0,-0.181070868469949
BV010082.Index,-0.0282035368157141,0,-0.0196562642792453,0,0,0,0,0,-0.0559709902067251,0,-0.0162445956655024,0.0780258148474535,0,-0.0115171006889529,0.0413230598333173,0,0,0,0,0
CVIX.Index,0.0544264489610238,-0.12404969521249,-0.0257508139897834,0.135207310423802,0.0115721294077051,0,0,-0.00246817829739271,0.0273253529193439,0.126316534636634,0.0261624116475024,-0.0536251817025287,-0.0550806580226765,0,0,-0.258446919166407,0,0,0,0.103980634939401
DXY.Curncy,0.00374869872970501,-0.0121587075325632,0.000270319328658223,0,0.0239280863793433,0.00217787095963511,0,0.0116938140690277,0.0133026890577307,0,-0.00501339767317376,-0.0235782155634878,-0.00767213670265362,0.00135802859496471,0.00354544233460559,0,-0.0158531241362684,0,0,0
SPX.Index,0.00507629738165214,0.00584553828364874,0.00371807653228206,2.16840434497101e-19,0.00342395807182032,-0.00342799314688054,-0.0134798579885353,-0.0113208325592824,0.00455485053584548,-0.00798556464820731,0.00354201332194094,0,0.00833206510148432,0,0,0,0,0,0,-0.0535293407837212
VIX.Index,0.000516394515124224,0.148793549984358,0,-0.251867844061223,-0.00170342064475966,0.347100424781725,-0.415955472004569,0.261569316290158,0.117246190609559,0,-0.224097400380663,0,0.0281276131157787,-0.188661728581076,0.0525112408170706,0,2.08194725368343,0,-2.46797757051137,0
