,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,DGB,XLM,DOGE,ZEC,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.01709244604324,0,0,0.079409742970167,0.112546947354726,0.133196589507363,0.0395819369563878,0.00422785244673369,0,0,0,0,0,0,0,0
ETH,0,0,0.0223269290887309,-0.0772268417496123,0.230067931800763,0.0976916367198619,-0.105576711304697,0.100730223379838,0.0143723801937168,-1.73472347597681e-18,0.110202230887286,-0.0818005541384968,0,0,0,0,0,-0.0145898501212248
XRP,0,-0.0570008732017443,0,-0.727167597872854,0,0,0,0.485901756139206,-0.708314393558936,0.531669471638298,0.259166941918543,0,0,0,0,0,0,0.189859312666539
XEM,0,-0.209356356974786,0,0,-0.495347809106429,0,0,0.131681800184816,-0.0168599290185894,0.0302852246851279,0.102954527192429,0.175505988059543,0.450883444509279,0,0,0,0,-0.141971748307757
ETC,0,0.355587183365083,-0.103306378934412,0,0,0.103991223354601,0.149889458758111,0,-0.0209422365740983,0.023902402931653,-0.0213988970096437,0,0.0752264715531357,0,0,0,0,0
LTC,0.407119642746381,-0.0494032490547375,0,0.144169649431077,0,0,0.302255850509574,0.207502079644079,0.0136011213045672,0,0.123724349751974,-0.126817624065515,0.24379334527144,0,0,0,0,0.0954000700046636
DASH,0,0.0437424743453496,0.116171501223037,0.0375634387538023,0.180452258264383,0.145703844919592,0,0.257924716615247,0,0.0527071899557038,0.0616835676444823,0.0610989869303728,-0.0477166836648733,0,0,0,0,0
XMR,0,0.357366084409332,0,0.156988457949565,-0.0926204310432026,-0.0599199631345446,0.219560704287729,0,0,0.159920890022839,-0.113496489611135,0.163124970777751,-0.134639880951966,0,0,0,0,0
DGB,0.107461383043753,0,0.530251892408339,-0.0623703217717639,-0.448899940319279,0,-0.107018436258429,0,0,-0.275493671086169,0.542959738108713,-0.236678845387585,0.300544515841001,0,0,0,0,0
XLM,-0.391750988465618,-0.0890105837260843,0.239185055215914,0,0,-0.398679739331234,0.502739260990673,0.570987424434869,0,0,0.310695177636195,-0.361881935735462,0.283813230321323,0,0,0,0,0.0169591385541808
DOGE,0,0.202147169723709,0,0.129374401603504,0.0990398258491496,0.267629838075602,0,0,0.0451351119274,0.236580585677629,0,0.246799255085334,0,0,0,0,0,0.208547249864705
ZEC,0,0,0.0805328968017184,0.0541782523229494,0,0,0.0903864586649621,0.094638205536266,0,-0.0924703465764954,0.218778679110685,0,0.0552216241717218,0,0,0,0,0
NEO,0.392972251726109,0,0.226980079289554,0.075355645854337,0.528124456868454,0.465792483011157,0.456540653317587,0,0.127416852611479,-0.0792022380116111,0,0.282698088319511,0,0,0,0,0,0
BV010082.Index,0,0.00997356106535824,0.0172491008614148,-0.0449001743626241,0.093713615512146,0.0114174238482461,-0.115155217558895,0.0123759775947193,0.000772313772263877,0.0507854663823373,-0.0397494108730603,0.0852820686545948,-0.00587236848919738,0,0.114658802449431,0,0,0
CVIX.Index,0,-0.108167388239088,0,-0.418804778533883,-0.393055241339352,0,0.053893806673669,0.140137492285894,0.0214340519646481,0.013991923078012,0,0.0222000869107411,0.291005425368109,0,0,0,0,0.107111546661152
DXY.Curncy,0,0.0103944994504686,0.00527551940248591,-0.0251962794121741,0.0119234884214405,-0.0006517015583085,0,0.00052752301765968,-0.00328991902561795,0.00589306011458707,-0.00445779676087276,0,0,0.0251527491651544,-0.0208977771423724,0,0,0.00723222950298221
SPX.Index,0,0.0108225248144387,0,-0.00677761923646371,0,0,0,0.00404224788783406,0.00503369070214747,0.00512647680468051,-0.00100870269990559,-0.0142397737488491,0,0,0,0,0,-0.0312164349791178
VIX.Index,-0.867079330571564,0.0456245474303895,-0.0374462555249522,-0.19094962193386,0.32009422962656,0.12418692832316,0.237196897308335,-0.156449660957649,-0.00995068980384349,0.229954052809274,-0.0807196135278865,3.46944695195361e-18,-0.0134550196772109,-3.37241925724428,-0.689183701891272,0,0,0
