,BTC,XRP,ETH,XLM,BCH,EOS,LTC,ADA,TRX,XMR,MIOTA,DASH,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0955445027473666,-0.0907895635057825,0.116346821900117,0,0,0.0650014442058826,0.303587696741127,0.152297537318602,0,0.0560539192300772,0.164094976424793,0,0,0,0,-0.0220022640149773
XRP,0,0,0.00493273165439312,0.875758706194874,0,0,0.0753776026435245,0,0,0,0.0691371028485764,0,0.45039205889058,-0.400104978802229,0,0.225192972894539,0,0,0.0964045154039983
ETH,0,0.170576354084499,0,0.0550452023718376,0,0.194941671306882,0.34175229161874,0,0.0472556905955574,0.0893032074483392,0,0.0320667717621552,0.0732030528665556,0.181039013594563,0,0,0,0,-0.00274154364930224
XLM,0.477522162570822,0.233667805422616,0,0,0,0.122733282782154,0,0.294859750945879,0,0.144946486653098,0,0,0,0,0,0,0,0,0
BCH,0,0,0.549593241408274,0.206011321278063,0,0.389451832968221,0,0,0,0,1.05964039656634,-1.50624727526323,0,0.738397433963535,0,0,0,0,0
EOS,0.169572315283611,0.173292200592671,0.710589027789352,0.0824659112450017,0.236891073481256,0,0,0,-0.210663293548191,-0.358873522082617,-6.93889390390723e-18,0.0641576969573665,0,0,0,-0.0655391390861411,0,-0.527700234260645,0
LTC,0,0,0.225820850888773,0.0617200422023188,0.152287072552709,0,0,0,0.116167217017012,0.0697050485882845,0.0764721830047653,0.293836921144084,0.000492602245571469,-0.109745074576714,0,0,0,0,0.03128278248555
ADA,0,0.0594597317988964,0,0.0597958244016104,0.115656414579482,0,0,0,0.404537590690799,0.153651260220763,0.0658578446735736,0,0.0625444654470182,0,0,0,0,0,0
TRX,0.0763106433949773,0,0,0,0,0,0,0.282903661719225,0,0.19690615978014,0,0.087078840805544,0.0798335139250286,0.355185234222326,0,0,0,0,-0.0908974781244667
XMR,0.452442617770617,0.104582757302775,0.204509856618494,0,-0.03357167009656,0.119934116199275,-0.110768668189921,0.0225129968491181,0.0373392009154823,0,0,0.214912520676263,0,0.200742372526911,0.0439925359400493,0,0,0,-0.050808534622848
MIOTA,0,0,0,0.071775977801216,0.00962509970011667,0.280751509484784,0,0.231723183553074,0.129204430014713,0,0,0,0.131400232775688,0.228642482841232,0,0,0,0,-0.0326209467707317
DASH,0.28376983502968,0.00455832925296674,0.0384179060055107,0,0.111002568512048,0,0,0.478510074055067,-0.0469116667781034,0.0260628889226317,0,0,0,0.179369540930656,0,0.218773449525291,0,0,2.16840434497101e-19
XEM,0,0.0158615566899772,0,0.276986810686045,0,0.0762368430268934,0,0.142787455189407,0,0,0.137118725116121,0.253763092396645,0,0,0,0,0,0,0.00964466779655235
BNB,0.180907379503927,-0.120923082956318,0.653582515350847,0,0,0,0,0,-6.93889390390723e-18,0.010675039167841,0.113782993273814,0.0513769635980653,0.0704336247828465,0,0,0,0,0,0
BV010082.Index,-0.0464200298306942,-0.205985412543926,0.251794255561244,0,-0.0179844230518033,8.67361737988404e-19,0,0,0,-0.0412548257537483,-0.168043095857026,1.73472347597681e-18,0.121980433997824,0.0487409947655996,0,-0.0522865195720895,0.0282622368566433,0.454750804907559,-0.00118947799363188
CVIX.Index,0,0,0.341836071661453,-0.351181588277879,-0.164306900340809,0.170062404511015,0.0762222392132933,0.123600792982115,0,-0.421582152805383,0.218139858392939,-0.136988092034909,-0.0147421609338494,0.22420372607159,-0.183289048689177,0,0,0,0.027177654434855
DXY.Curncy,0,0,0,-0.0658028936773829,0,0.0121423129375563,0,0,-0.00399009203637151,0,0.0104220048604506,0,-2.16840434497101e-19,0.0474545487330019,0.0618303698184195,0,0,0,0
SPX.Index,0,-0.0813260034850766,-0.048363698196465,0.125181846321459,0,0,0,0,0,0,0,0,0.0493598041723386,-0.0666467723217303,0.0443861139471544,0.0345309018516353,0,0,-0.109062671799869
VIX.Index,0,0,-0.0310652924823032,0.0686915469199922,0,-0.473560880877726,0,0,0,0,0.382679975440854,0,0.223093718624999,0,0.74730957312848,1.31864817747231,0,-5.83348375469495,0
