,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ADA,XTZ,XLM,ETC,XMR,TRX,DASH,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.031447528647669,0,0.162629105247748,0,0.0149487407784875,0.147068657137409,0,0,0.0265023970299335,0,0,0,0.0715880708433646,0,0,0,0,0,0.00959712642356378
ETH,0,0,0.23507849850504,0,-0.0207805578979139,0.222975386077209,0.110936460751088,0.0988414787439688,0.175077129377506,0,0,-0.0407316086588004,0.0505595380174996,0,0.0104392559121505,0,0,0,0,0
XRP,0,0.391311565967359,0,0.160645419570116,0,0,0,0,0,0.000638993348930493,0,0.000387663355031308,0.00967281902972738,0.0787035235374374,0.0163480919600276,0,0,0,0,0.0452369032114376
BCH,0,-0.164242392321512,0,0,0.238489865565035,0.36844894772026,0,0,0,-0.0872225135597972,0.282050052999928,0.0466611605996512,0.184185488403274,-0.00566948743571614,0,0,0.0416359845086636,0,0,0.0742762383767923
BSV,0.719954235454399,0,0.731714732766612,1.46392313912667,0,0.327016304248727,0,0,0,-0.307527562667792,-1.90234820617,-0.417263787240559,-0.260099438927217,0.243798692410913,0,1.02360423759725,0.119190829297706,0,0,-0.0827250069661159
LTC,0,0.245043686255879,0,0.250969760410008,0,0,0.17350075966382,0.178555726247058,0.0639623473113002,0,0,0.0331991340598123,0,0.0832930647569855,0.000380232064839428,0,0,0,0,0
EOS,0,0.417807189027736,0,0,0.0778317548074451,0.177265470278344,0,0.121974740991493,0.103989934959191,0.0222344047837972,0,0,0,0.162651687636635,0.0232911957227108,0,0,0,0,-0.0286378495636211
BNB,0.298329916887335,0,0.10274329942834,0.0443182667943311,-0.0242220848368943,0.268409193210609,0,0,0.142723870991418,0.0199232470780977,0.145880707735603,-0.070608731434554,0,0,0.0774253523023848,0,0,0,0,-0.0156029413169405
ADA,0,0.248449819845306,0.0805435709550129,0,-0.00742871716639643,0,0.0607814638477896,0,0,0,0,0.0893830020777239,0.126495390346424,0.400556252735257,0,0,0,0,0,-0.0608959416330819
XTZ,0,0,0,0,-0.0804207457728978,0.272463968476609,0.546553730559967,0.373820338229882,0.245239497998653,0,0,-0.0308420993885692,-0.00164337417034631,-0.660724838675749,0.114435250378101,0,0,0,0,-0.218956109538553
XLM,0.20957341581832,0,0.531346439854532,0,-0.0622441746594223,0,0,0,0.0742661370752043,-0.0129579885603341,0,-0.0535563579381271,-0.0902760536834713,0.0442938437850688,0.110738428148916,0,0,0,0,-0.115423787858317
ETC,-0.0589162610283375,-0.607081940542583,-0.289439859784286,0.216876084827665,0.0966615648828696,0,-0.2151985207011,0,1.38777878078145e-17,0.213207939214834,0,0,0.673956349772664,0.394854508662485,0.309986101847872,0.0248721936026023,0,0,0,0
XMR,0,0.127633419980671,0,0.372821434164266,-0.158850540162418,0.0103278304853856,0,0,0.23046005483491,0.102326673302977,-1.38777878078145e-17,-0.0177948085481187,0,0,0.140909286366733,0,0,0,0,-0.0035280432708073
TRX,0.431646001256823,0.263691014513546,0.167002185093439,0,0,0,0,0,0.237087065214369,-0.0661493237978097,0.0994986252854478,0.0145006965010499,0,0,0.10430139051326,0,-0.337036254566616,0,0,-0.0922565725399288
DASH,0.00147813576446218,0,0,-0.132459565939525,0.232655908546004,-0.107955805837671,0.683267070947235,0.94024335272067,-0.536529625586577,0,-0.408073459917676,0.0763458549008849,0,-0.0410339908509186,0,0,0.594643612108167,0,-0.992061799312523,0
BV010082.Index,0,0,0,0,0,-0.225595007090682,0.140193474763423,0,-0.113068229233033,0.00952718506905192,0.23938274977568,0,-0.126995467468006,0.268480106364298,0,0,0.0593971081842305,0,0.019134350689749,-0.0823504392037311
CVIX.Index,0,0,0,0,-0.0402932533212617,0,0.151508213680169,0.230527865015678,0,0,0,-0.052481397294856,0,0,0.011840464452339,1.20635432002715,0,0,0,0
DXY.Curncy,0.0374708461023318,0,0,0,0.000637294514541458,-0.0233077623066505,0,-0.0111381790365493,-0.0212395086688047,-0.00191474901241544,0.03856671287886,0.00971422474671055,0.0066534242285808,0,-0.00110802090498309,0.0600358270276761,-0.0377163743154527,0,0,0.00315468898606312
SPX.Index,0.00928061686713706,0,0,0,0.00512969109431178,0,0,0.00590750078047762,-0.00261648921736835,-0.0253407485276772,0.0185299314185318,0,0,0,0,0.126679488646938,0.0169366099427109,0,0,-0.0543319600570463
VIX.Index,0,0,0.405739268503167,0,0.00992309149882071,-0.172223383247386,0,0.157880616904426,-0.561390165087213,0.153299135470595,0,0.340855482860487,-0.40517780889048,0.333669825508803,0.040492696002063,0,0.88695260448889,0,-7.84792763241308,0
