,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,BAT,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0107222650630993,0.17826984761559,0.0362218359296401,0.0291500104877895,0.0265502084727904,0.0783378001181949,0.0254583458681721,0.0773392060523762,0,0.113607340217358,0,0,0,0,0,0
ETH,0,0,0.0234788851721686,0,-1.38777878078145e-17,0,0.189635506325461,0.0158450905722203,0.106682055900142,0.152540843721118,0.189129275622556,0,0.0233286449806115,0.037825016132091,0,0,0,0,0.140024292857939
XRP,0,0,0,0.11657962364308,0.123187497258574,-0.0702959366962921,0,0,0,0.224938834606327,0.013606081247593,0,0,0,0,0,0,0,0
BCH,-0.428017540556904,0,-0.117126585717522,0,0,0.558078171312861,0.459895759877404,0.0685832818974906,-1.08944336574306,0,0.424693662295732,0.0582807076236875,0.258069350044415,0.265424356535478,0,-1.11764708225967,0,0,0
LTC,0,0.22960404316255,0.0808297644036345,0.0659610199032764,0,-0.113865337790609,-0.143168316024628,0.0203554075089347,0.106556872362393,0,0.730279930884699,0.0708345483372395,0.040660577884751,-0.11449821533321,0,0,0,0,0
DASH,0,0,0,0.136652796146828,-0.0464683586066499,0,0.0577051921612009,0,0.30713274344102,0.126202695998685,0,0.192831411841445,0.0102694076408749,-0.0222423302532634,0,0,0,0,0
XEM,0,0.297063652753413,0.171997385316099,0.00507931725476099,0.223904473016591,0.568054174754558,0,0.0456750736566421,0,-0.11580954528118,0,-0.20891959074294,0.0258174848303004,0.0949420707458777,0,0,0,0,0.107796881152776
NEO,0,0,0.138791100561245,0.0279452140839813,0.185761435567114,-6.93889390390723e-18,0.306639987067272,0,0.2824620692452,0.0971978930384008,0,0,0.0265020872046042,0.10286455598547,0,0,0,0,-0.376527194588371
MIOTA,0,0.077489756448241,0,-0.202956034424049,0,0.347678773116286,0.196810894716541,-0.110458279034709,0,0.0563477320108645,0.126010721077411,0.0649810062487518,-0.0398143346781151,0.40508869608529,0,-1.08775403711707,0,0,0.167389322709579
XMR,0,0,0.392863228705311,0.0902199467723454,0,0,0.0977009933388569,0.0613236746273661,3.46944695195361e-18,0,0.119629468429014,0.213254740952888,0,0,0,0,0,0,-0.0457536490514874
ETC,0,0.121817924031976,0.205230419181237,0,0.707760524308326,0.116633261354492,-0.0714525075978203,0.0698153206617718,0.121505638179741,0.0565948689175172,0,0,0,-0.162959167358619,0,0,0,0,0
ZEC,0,0.187939772148583,0,0.0272521850578031,-3.46944695195361e-18,0.0913293832822616,0.118920492130867,-0.0620509035087692,0.225112312109649,0.167368230280912,-4.33680868994202e-19,0,0.135569235119153,0,0,0,0,0,0
BAT,0,0,0.0418782727528118,-0.148428443472201,0.21808674497056,0,0.320730360752131,0.038989092769239,0.0358990455910405,0,0,0.292295331278555,0,0,0,0,0,0,-0.0781988307943191
EOS,0,0,0.184215574894505,0.0463020087173213,0.492434607055321,0.070223215781978,-0.125796473358283,0.191011441804403,0.274067131481894,0.139474727195821,0,0.100300057285138,0.0707051264818028,0,0,0,0,0,0
BV010082.Index,0.0456100125774334,0.0326974581843076,0.00723374160537058,-0.00608204721895298,0,-0.0694089931948785,0.0185789686334655,-0.00550511358505129,-0.0287564403186025,0.00295240644740665,0,0.0293150260777506,0.0101195158354191,0,0,-0.0970167779340515,0.581662004728598,0,-0.0583224666360582
CVIX.Index,0,0,-0.0230982047244641,-0.0170076104147377,0.0598402520837621,-0.102848494684632,0.0710344387008586,0.0143621626593231,0,0.067432379834639,0,-0.0031830276459571,0.0776051892438929,-0.139035992202138,-0.443674203130128,0,0,0,0.080330359938886
DXY.Curncy,-0.00264275473006466,0,0,0.00371121163525901,0,-0.0349891619641766,0,0.0076719337426794,0.00227407506811536,0.00752586508706892,0,0.013712230513049,2.16840434497101e-19,0,0.0255640303792502,0,0,0,-0.00103721690731059
SPX.Index,0.00330190358898142,0.00684853319317868,0,0,-0.0128341311467785,-0.0164827229093348,6.18115524325773e-05,-0.00240795982713149,0.00180584250472489,-0.00270247674722944,0.0130004612529241,-0.00880996928398188,0.00915844525791509,0,0,0,0,0,-0.0439514641831688
VIX.Index,0,0.311638182856782,0.0835633285840708,0,0,-0.131958564013184,0.294081976295855,-0.115342912035727,0.181174603864476,0,0,0,0.164565452805801,-0.551319053438759,0,1.68478525032334,0,0,0
