,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,LINK,XLM,ADA,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.10025416902403,0,0.400053544218216,0.00282022635657958,0,0.0614463055349373,0.147446046172567,0.0584670960304771,0,0.0272010570532919,0,0,0,0,0,0,0,0
INNBCL,5.00453988235672,0,17.404846291579,0,0,0,0,-6.2633437161256,-26.8012347250088,0,5.60949478024741,0,5.6471647436473,14.3732619225933,-14.8708547164129,-10.3903453749425,0,0,15.8161049572011,0.332177505554807
ETH,0,0.000731454156663722,0,0,0.267499384306459,0.0773946816612679,0.0357546838803801,0,0.0375117038242925,0.266987099800927,0,0.0124677574080457,0,1.0842021724855e-19,0.267971880176887,0,0,0,0,0
XRP,0,-0.00117455421507903,0.199479156481866,0,0,0,0,0,0.293936963077529,0,0,0,0,0.232270154018099,0,0,0,0,0,0.0106261799724127
BCH,0.12136659017325,0,0.36292313827392,0.0974419743810716,0,0.270600172913684,0,0.0185713300228045,0.0680943690301995,0.0718422225642368,0.0151689753975176,0,0,0,0,0,0,0,0,0
BSV,0.13572605164763,-0.00840204864480886,2.77555756156289e-17,0,0.365037481466039,0,0,0.151655319483739,0.354813148120071,0,0,0,0,0,0.0889735635889934,0.0729253426620043,0.0908712842228665,0,0,-0.0571521274942497
LTC,0,0.00310216410285833,0,0,0,0.189136046781392,0,0.410518105195931,0,0,0,-0.0144653492661764,0,0.310034721103505,0,0,0.0391814308348192,0,0,-0.0336514545805307
EOS,0,-0.00198365638744267,0.140716505533001,0,0.103609266283286,0.182931315901102,0.235421084167071,0,0,0,0,0,0.105421621679233,0.146298537972072,0.0477637857832931,0,0,0,0,0
BNB,0.0774732601369018,-0.00485098301619638,0.321760808494016,0.0706725206274981,0.402206203209674,0,0,0,0,0,0,0.0921005336309899,0,0,0,0,0,0,0,0.00979554243089072
XTZ,0,-0.000441996529288092,0.161522265318558,0,3.46944695195361e-18,0.23633154918908,0,0,0.0898125500546568,0,0,0.482893590930533,0,0,0,0,0,0,0,0
TAGZ5,0,-0.0100552835685975,0.672560439334752,0,1.18022435303497,-0.121969679831905,0,0,-1.61017887915975,0.46756874163416,0,0.393379694436548,0,0,0,-0.512018447059842,0.118036090070455,0,0,0.0547781929464211
LINK,0,-0.00609309599696062,0.200915981245216,0,0.0791136045991585,0,0,0,0.185396289708714,0.452718402393023,-0.0146508130348749,0,0,0.124973649359301,0,0,0,0,0,0.0272143955624999
XLM,0,-0.00202739263200515,0.0460577098265209,0.10581751827603,0.326737771932939,0.0696225247329745,0,0,0,0.083049492896303,0,0,0,0.120049039761127,0,0,0,0,-0.0480008336460282,0
ADA,0.0194336070401717,-0.00351696764696703,0,0,0.0288045581830822,0,0.773897959837892,0,0.17491898982703,0.0211848048499694,0,0,0,0,0.0223343129956875,0,0,0,0,-0.0022439497467371
XMR,0.0517046548075385,0.000191060673051541,0.163270083411251,0.0162674812188165,0,0.0807710543873201,0,0.316978932111393,0.123828805456144,0.127115402361734,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,-0.0010692309732149,0.141597774048301,0,0,0.304140531461868,0,-0.215808066345958,-1.02146057912547,-0.816646096553937,0.0821956734340098,0.575103546778112,1.08750866794447,0,0,0,0.108600098674846,0,0.0660769206348033,0
CVIX.Index,0,-0.00190189865518981,0,-0.295525593471853,0,0.0671274715179705,0,0,0,0.261876949624593,-0.157445875892642,0,0,0,0,0.505496244844428,0,0,-0.849660332994381,0.35941292022275
DXY.Curncy,0.0589347506477288,-0.000383704331175581,0,-0.157652802004435,0,0,0,0,0.0475252339521635,0.030318725885665,0,-0.0153199296949677,0.0327356338085564,0.00810746652944095,0,0.0130662624831723,-0.0169811793287237,0,-0.0128452789422214,-0.00700455696117598
SPX.Index,0,0.00147132885384618,0,0,0,-0.139540941723833,0,0,0,0,0,0.16269434416403,0,0,-0.0570935428124006,0.241858747129465,0,0,0,-0.205999399074984
VIX.Index,0,0.0189142722224159,1.32512669675511,0,0,0,0,-0.455253422577166,-1.35018627511138,0,0.135038922493881,-0.110496859529584,0.505616000502297,0,-0.118903475390515,0.223144162945686,0.132203156181778,0,-1.60276739243809,0
