,BTC,ETH,XRP,MIOTA,NEO,LTC,XEM,DASH,ETC,XMR,EOS,ZEC,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-3.46944695195361e-18,0,0.0258046001400269,0.0500745067160557,0.259546702869049,0.162100703871315,0,0,0,0.0592273377006149,-0.0353725401220645,0.0546234050100164,-0.212977047955009,-1.17597906608315,-0.333816696715517,0,0,0.132257319281821
ETH,0,0,0.157369060445013,0.082578799995465,1.73472347597681e-18,0.0153218253106597,0,0,0.339958710610199,0.000553521414509928,0.0489243828933879,0.135014840407538,0.207368536100522,0,0,-0.14420986687741,0,0,0.0469334301443913
XRP,0.115963276669567,0.447881579856295,0,0.0527003269987339,-0.0687830874005619,-0.0412819646366798,0.114864672942732,0,0,0.0805462862962737,0.0102558360014493,0,-0.0347497782691195,0.10136523261707,0,0,0,0,-0.0251802032100099
MIOTA,1.19550980060373,0,0.947123911736215,0,0.00852638128206461,-0.217124873572462,0.226895421689774,0,0,0,-0.0320847319429793,0,-0.594199399103801,0.470970855897521,0,0,0,0,0.0673543215658361
NEO,0,1.37181971886257,-2.13358722774343,0.0301728971264067,0,0,0.660310705044374,0.777167914080402,0,0,0.00219397665439481,0,0,0,0,0,0,0,-0.191366860267097
LTC,0,0,0,0.069340442947216,0.028266124507117,0,0,0,0.227175147252035,0.0412457286035366,0,0.0545400502827741,0,0.0570242282470679,0,0,0,0,0.0185917154582817
XEM,0.102295476238072,0.0651322637074744,0.232356105494335,0,0.0269843629500998,0,0,-0.0585910092269997,0,0.141624149856443,0.12204904582455,-0.0658986993778027,0,0.209151339830254,0,0,0,0,0
DASH,0.0198836506302139,0.191221285650913,0,0,0.0340228588013435,0.103422669163885,0.168448846283822,0,0.121073005437659,0.295370013063543,0.0205254196193796,-0.0631205347340535,0,-0.0146671116928314,0,0,0,0,0.0851806789580565
ETC,0.109961048236459,0.262632075499539,0,0,0,0.107475409085449,0,0.0684694337445033,0,0.324192162853354,0.0172338404717028,0,0.0298561837899314,-0.165358131990584,0,0,0,0,0
XMR,0,0.173675066774796,0,8.67361737988404e-19,-0.0227931968843644,0.13498762566592,0.120304979004854,0.384020090764934,-0.0564652982893041,0,0,0,0.0115379791297101,0.236283320654893,0,0,0,0,0.0862742992174617
EOS,0,0.391270549364833,0,0,0.102643915512793,-0.388970756532888,-0.127737975017971,-0.317225180511583,0.594936184551957,0,0,0.364223805804077,-2.77555756156289e-17,0.236056114615377,0,0,0,0,0
ZEC,-0.104513905400649,0.215053366391461,0,0.17662245270237,0.00340689852233899,0.0747081145499366,-0.0469632973840948,0.200987253712162,0,-4.33680868994202e-19,0.0244279895685802,0,4.33680868994202e-19,0.154696573950531,0,0,0,0,0
BAT,0,0.494430194512458,0,0,-0.0154341748190959,-0.278845106237521,0.156608029037217,0,0,0.0118830367328507,-0.0275884305500028,0.0702356101170179,0,0.467466895833604,0,0,0,0,-0.0732072539223789
XLM,-0.148679067468114,-0.0523335817474891,0.193582877893892,0.0121538349424767,0.0337111442325607,0.14041188757902,0.0880949913171049,0,0,0.425475122128436,0.0707288958235291,0.354899808694299,0.0888705032838301,0,0,0,0,0,0
BV010082.Index,-0.120506970083987,0.0246989531641696,0,0.0284452138610124,0.00281312022839475,0.0158329340783056,-0.0297887075891351,0,-0.000839910505226322,0.0439061115616714,0,0,0.0231298260347315,-0.0428217902777873,0,0,0,0,0.0188257185547193
CVIX.Index,0,-0.0110579283024239,0.159074692698871,0.0346232046812807,0.023564366902414,0.0271138695581663,0,-0.119599122856943,0,0,0.0277388378633463,-0.106634891764452,0.0214978609766971,-0.0500838084735235,0,0,0,0,0.0927910488426383
DXY.Curncy,0.0299008473688454,-0.0124633173687858,0,0,-0.00972927923763296,0.00797262584024867,0,0,0,0,0,0.0106012693990212,0,-0.0128925810998723,0,-0.0446364236949975,0,0,-0.0255323293962815
SPX.Index,0.0104569133640855,0,0.00546225170660385,0,-0.000932518197627875,0,0,0,-0.00574620010386201,0,0.000815579927388973,0.010538121989082,-0.00507653486274534,-0.000975082932519465,0,0,0,0,-0.0526849950780234
VIX.Index,0,0.56969402884749,0.522109957859984,-0.154360707306731,-0.035940893749529,0.302398443776206,0,-0.800835156861523,0,0.218756239842476,0.0560777271411404,-0.829429708849915,0.2571407609395,0,0,1.30010487550147,0,-0.219776102582857,0
