,BTC,XRP,ETH,XLM,BCH,EOS,LTC,TRX,ADA,XMR,MIOTA,XEM,DASH,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.113698708337782,-0.0863067485372198,0.0974389462616622,0,0.0763741991889498,0,0.27471277233345,0.214097015681228,0.0505571787052555,0,0.083515395644272,0,0,0,0,-0.0101155384591411
XRP,0,0,0,0,0.127504381121497,0.182938342985161,0,0.192003300404364,0.0886497965031273,0,0.0636211899439191,0.341828635347907,0,0,0,0,0,0,-0.000537528626713933
ETH,0,0.244000183778174,0,0,0.0960339946883426,0.0306567555296291,0,0,0.0917327397685096,0.349329300040237,0.0759106050405907,0.0539748705627643,0.0387283341879918,0.0687968332626308,0,0.0979484360229688,0,0,-1.73472347597681e-18
XLM,0.4743321857564,0.255017202022672,0,0,0,0.134779836017092,0,0.0193181624495698,0.237556030696732,0.163431469171832,0,0,0,0,0,0,0,0,0
BCH,0,0.41937200690799,0.254549100736353,0.4240484554315,0,0.379521157015751,-0.218050723367843,-0.200880550659316,0,0,1.57367437677654,0,-1.20976585941947,0.210123048692566,0,0,0,0,0.104917809524656
EOS,0,0.350317384588644,0.18786967804438,0.180514306478289,0.144168154174726,0,0.20519209184186,-0.341427692213317,0,0,0,-0.284517819148494,0.363985732745444,0.0476385832637496,0,0,0,0,0.0209870974706533
LTC,0,0,0,0.0846126033984708,0.118773549593806,0.165921149885377,0,0,0,0.19170886962583,0.169610288768666,0,0,0.17374050122548,0,0,0,0,-0.070031001527125
TRX,0,0.0371990213028565,0,0,0,0,0,0,0.421027416592303,-8.67361737988404e-19,0.0164443179896502,0.0883429439301384,0,0.412317144460068,0,0,0,0,-0.0772981611453286
ADA,0,0.140028128411492,-2.77555756156289e-17,0,0.130659639952241,0.314971136432777,-0.0657847711808277,0.301119391958383,0,0.180864654491555,0,0,0.00715901952034007,-0.00621378508187625,0,0,0,0,0.0195867097052151
XMR,0.349849154659442,0,0.367551867740273,0,0,0,0,0.0962610896405631,0,0,0.0480750720399639,0.0644071870129646,0.191632393792585,0.018976054930355,0,0,0,0,-0.0146741514956973
MIOTA,0.0553640785657125,0,0.370664582868451,0.026071582537752,0.0500275131248921,0.203012074901459,0,0.158588074259658,0,0,0,0.138100616019944,0,0.0565524659319125,0,0.0866777147224627,0,0,-0.0106507386430784
XEM,0,0.026214788948702,0,0.291235709719911,8.67361737988404e-19,0,0.0171182830221674,0,0,0.14276342809602,0.146636488115106,0,0.257758042542412,0,0,0,0,0,0.0326540337313585
DASH,0.144161317782683,0,0,0,0.131589526272986,0.110039480557313,0,0,0.3729502829227,0,0.0506036981590539,0.0960094897441951,0,0.204946449880471,0,0,0,0,0.013206496903627
BNB,0,0,0.2457333340581,0.226981527051047,0.0557037859715304,0.358601271264861,0,0.0403414758409218,0,0.162176771344477,0,0,0,0,0,-0.649307884924824,0,0,0.153039610973558
BV010082.Index,-0.117399937165699,-0.238554435306205,0.0998362312860147,-0.114425177493311,-0.0486776664901371,0.17164497228944,0.118598000075903,0,0,0,-0.0812016516126687,0.121090831602722,-0.169186843526774,0.200683152750869,0,-0.0190802158626819,0.10616879035651,0.604560403622291,-8.67361737988404e-19
CVIX.Index,0,0,0.500773145587396,-0.237921813479903,-0.115511785390159,0.0140763125487487,0.08362411792672,-0.0238871588458699,0.194581537410136,-0.479093490893621,0.104906689929653,0,0,-0.0429731657196608,-0.270995682192672,0,0,0.0140043296483805,0.0377843299703086
DXY.Curncy,0,0,0.020359817801617,-0.0401492955327623,0,0,0,-0.0259379209149613,0,0,0.0406599725577406,0,0,0.00217174388531359,0.0290175881591876,0,0,0,0.00583074148505267
SPX.Index,0,-0.0151840378183047,0,0,0,-0.0858521785236257,0,0,0,0,0.0220947715229633,0,0.0463746457689157,0,0,0,0,0,-0.127753982201803
VIX.Index,0,0.154708594393425,0,0,0,-0.393944693096462,0,-0.2701476099978,0,0,0.180515609288696,0.217727685145541,0,0.223228823389192,0.294516518057118,1.33848883974313,0,-5.28419894960507,0
