,BTC,ETH,XRP,LTC,XEM,DASH,ETC,XMR,XLM,DOGE,ZEC,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.266820311439016,0,0,0.0473567378198622,0,0.313550825945417,0.253489987040879,0.0206463720969773,-0.0181338528052588,-0.190149027175372,-0.150918229874814,0.20222245300886,0,0,0,0,-0.0917666168441866
ETH,0,0,0.109589513681625,-0.038701348909978,-0.112189776186054,-0.147265770201951,0.378467489236736,1.03733390633372,-0.118272226324303,0,-0.242906789712096,0,0.135304614714803,0,-0.504867515231534,0,0,-0.0105693331117797
XRP,-0.205131675678461,0.216187194705363,0,-0.119936479044275,-0.478890925160602,0,0.447987533639929,-0.563509489108511,0.879728598568958,-0.389628653481199,0.281646042272371,0.148807760950291,-0.783806989810039,0,0.872214250183556,0,0,0
LTC,-0.460678909379392,-0.0465759460800142,0.0839997665050338,0,0,0.137532014173709,0.266588066876874,0.0689274754807228,0.0271428219968986,0.341763911101789,-0.279492151507951,0,0.0557815911968805,0.626774634220774,0,0,0,0
XEM,-0.416522903258285,0,0.095785345896608,0,0,0.190554142259116,0,0.349979834673304,0,-0.118027656712173,-0.347411473527056,0.482951841523764,0.391687293499544,0,0,0,0,-0.589667346455381
DASH,-0.205341530944883,0,-0.0439266300390754,0.0475506629485237,0.168648778535979,0,0.0596698397517961,-0.229823023292286,0,-0.173677709990391,0.253914110556441,0.11342019461717,0.0568487190486202,0,0,0,0,-0.178198326608036
ETC,0,0.403673330559725,-0.067708500917125,0.226197483511421,0.0808588137477914,-0.17146097043892,0,0,-0.0181808202284544,0.0940197994429747,0.26213128653951,-0.0783637248424202,-0.103284479850815,0,0.344917400499847,0,0,0.123511788968204
XMR,0.447661922900574,0.327697741586836,-0.00611532621970405,-0.107887267156073,-0.117628704129714,0.0775070625290061,0.11823689674626,0,0,0,0.3334810328828,0,-0.111209973456139,-0.362362002734392,-0.0655031295579192,0,0,-0.227317256547258
XLM,0.0533615038239925,0.113182381309318,0.235530467983296,0.308644523177366,0,0,0.0193030691815654,0.373225359828477,0,0.0964832526646206,0.0410119463006769,0.102327870631676,-0.238361916694419,0.482530550758534,0,0,0,-0.0814630013574055
DOGE,0,0.228436745161107,0,0.326621441657583,-0.0248460699344242,0.0852514369928357,-0.064519281709965,0,0.267369960027166,0,0.189916491547385,0.0272416814683384,0.108676693173407,0,0,0,0,0.410368282010265
ZEC,-0.0612758865313303,0.0314484885591429,0.0216875603538064,-0.033383281812664,-0.0317724821803295,0.192591294821491,0,0.266556891471325,-0.0764381924100002,0.299668870416226,0,0,0,0,0.232312405576681,0,0,-0.169266975078747
NEO,-0.482820540159311,0.0327640053554709,-0.0973802695440048,0,0.0079504107678086,0,-0.0561231062884525,0,0,0.181182682486597,0.171583130829046,0,0.0743516555441988,0,0,0,0,0
DGB,0.126518797853227,0.099068070821636,-0.0196893877732374,-0.244224201051944,0.0487817604560523,0,0,0,-0.00808547480561934,0,0,0.210877972183503,0,0,0,0,0,0
BV010082.Index,0,-0.0596086310622944,-0.00618203775963063,0,0,0.0530375976109747,-0.0874812273563563,-0.0605458520791081,0.0110984385782393,0.0297589253702072,-0.130902047114092,0,0.0209385600603745,0,0,0,0,-0.0820829565938737
CVIX.Index,0.202003349912681,-0.158376593939431,0.0383986878987507,0.0194763931202271,-0.432654874356803,0.0985788685545387,-0.220119429960066,0.324584416716706,-0.0273633274591864,0,0.0573717169966411,0.13883397405738,0.125953824674741,-0.541357000377598,0,0,0,0
DXY.Curncy,0.0355384235300685,0.0122360998867041,0.000526078545780478,0.000691293271905682,-0.00503351784485545,-0.00758391274701403,0,0,0.00219081827940259,0,0,0,-0.00385575425680649,0.097576183608124,0.00462062748186395,0,0,0.0314557501981182
SPX.Index,0.00449879542745199,0.0202575913907707,0,0,-0.00429741012205504,0,0,1.0842021724855e-19,0.0070305815988165,0,-0.0143533998020111,-0.00290669912237281,0.00267642897855445,0,0,0,0,-0.0512134124145495
VIX.Index,0.000676361464132719,-0.124379395031209,0,0,-0.377204939672902,0,0,0,0.0199497196091879,0.0351922687481161,0,0,0.140745556413122,-0.12027112544979,-0.739858965687861,0,0,0
