,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,INNBCL,XTZ,LINK,ADA,XLM,TRX,LEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0629752926628042,0.00934933583823003,0.136273403315265,0.143851257179412,0,0.000460350854642198,0.0773472511247556,0,0,0.0591254247586815,0,0,-0.0418372127906624,0,0,0,0.0217965658113105
ETH,0,0,0,0.15333680122097,0,0.15014498396419,0.0763417610185256,0,0.00146167230379901,0.149305519149039,0,0,0.0982522493506048,0.332321911297904,0,0.00580347940075336,0,0,0,0
XRP,0,0.234911944616369,0,0.0618879526288961,0,0.0766364725762509,0.0713700204495209,0,1.35525271560688e-20,0.0894614160891561,0,0.0258044714618367,0,0.17290136991908,0,0,0,0,0,0
BCH,0,0,0,0,0.253087574173752,0.298031183976563,0,0.267211310607706,1.35525271560688e-20,0,0,0,0,0.0176092717189301,0,0,0,0,0,0
BSV,0,0.928803794338205,0.372131465478585,1.31557297139554,0,0,0.626902919703396,-1.66371570060523,-0.0196042418329791,0,0.109413525497108,0,-0.819866517544981,-0.535402591396977,0,0,0.0372283199955799,0,0,-0.0160589613259282
LTC,0,0.227832388929491,0,0.147988663978097,0.00561189067913353,0,0.295522680747886,0,0.000406634898909439,0,0,0.220197246020041,0,0.162417248093249,-0.0426436029695124,-0.0625929310895498,0,0,0,-0.0126206623016597
EOS,0.199117990810687,0,0.204577545073748,0,0.106919840692911,0.31656512842833,0,0.0429255736871352,0.00184070118515089,-0.152253359425383,-0.0700043668324262,0.130129197714249,0,0.321033242195684,0,-0.204330991770809,0.0416015737086587,0,0,-0.0819720315340419
BNB,0,0.202757607136663,0,0.333196332685804,-0.0542118752316053,0.292884987127725,0,0,-0.00291758513328507,0.0770985377706991,0,0,0,0,0,0,0,0,0,0.019834840118655
INNBCL,0,0,38.2320530487923,13.1820652600047,-4.36757324741456,8.78206551564844,-8.2015983509908,0,0,1.59221280275953,0,-39.1683071334506,0,-4.42006895606642,13.0099518060437,-8.19794617772203,0,0,0,-2.33218724703394
XTZ,0,0.300058766295953,0,4.33680868994202e-19,0,0,0,0.00361866621478795,-0.00535284662459518,0,0.419510414044619,-0.073007753013978,0,0.165419542520187,-0.0153440931828378,-0.134880009804875,0,0,0,-0.0358542524031942
LINK,0,-0.0371850204042453,-0.173986439121321,0,0,0.280867612007392,0,0.106127785143736,-0.00538139317914215,0.191370450762192,0,0,0,0.328809089321246,0.0809567615209951,-0.131477841698075,-0.0146987128846932,0,0,-0.0918324765568355
ADA,0,0,0,0.101728236232437,-0.0503501494837995,0.376467829206715,0.09990532491028,0.094030740102157,0.00449247411155634,0.128641237548827,0.0512281001360874,0,0,0.150426117633502,0,0,0.033527279847783,0,0,0
XLM,0.0993811114010412,0.123445916730718,0.304960837586951,0.0233756804339741,0,0,0,0.168627120617383,-0.00050550125869435,0,0,2.71050543121376e-20,0,0,0,0,0,0,0,0
TRX,0,0.0674147254506429,0.252806723637981,0,0.0147128522905475,0.190926350973528,0.124914323681791,0,-0.00213478773730853,0.0115432162372478,0,0.296228974127305,0.0511867462104415,0,0,0,-0.0143706943746233,0,0,0
LEO,0.19537242260339,0,0,0,-0.0147000159601275,-0.219180255270005,0,0.16545225613743,0.00843079680406052,0.021053537983331,0.0198797484599002,0,0.228047792723864,0,0,-0.0426389525934003,0.0566724715449774,0,0,2.16840434497101e-19
BV010082.Index,-2.40127533359811,1.81486123732391,-0.164960852960932,0.271875909285348,0.0490777858260941,0.568437239825735,0,-1.09488697640231,-0.0238452405862612,-0.530207182073883,0.584337324991529,0.00762306416260265,0.542744004027175,-1.04215506900469,0.301647840104508,0,-3.46944695195361e-18,3.13366193178198,0,-0.110372373629908
CVIX.Index,0,-0.114236703253913,0,0,0.0502511705749664,0,0,0,-0.00593072765162187,-0.206022107990105,0,0.39585355135584,0.0137077298789669,-0.303917312547994,-0.118922888493545,0.0143562066546381,0,0,1.0611035231213,0.195074394818791
DXY.Curncy,0,0,0,0.00863957775106806,0.0013115758235238,-0.0233822329003222,0,0,-0.000572956013752938,-0.0154649728238869,0,0,0.0398892444495051,0,0,0.0372011073534119,-0.0282742449825683,0,0,0
SPX.Index,0,0,0,-0.0164269010048154,0,0.0202269339818816,0,0.0151188145478667,0,0,-0.00357425799134483,0.0224472220056159,0,0.0456924842945927,0,0.0739010401078144,0.00735871824729901,0,0,-0.1088408113778
VIX.Index,0,0,0,-0.083084894103034,-0.0170819458498314,0,0.106462737544963,0,-0.00975210857042775,0.0871313978046044,0.0267031409640823,0,-0.445111288774945,0,0,-0.174633615498243,0,0,-3.50794457463242,0
