,BTC,ETH,XRP,BCH,ADA,NEO,LTC,XLM,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.102351173154727,-0.0721013708581596,0.14785616874278,0.0260206559854631,0.0469528001083252,0.0761600317870639,-0.0236243836710336,0.124263154245244,0,0.192488001584507,0,-8.67361737988404e-19,0,0,0,0,0
ETH,0,0,0,0,0.0103988190588358,0.0801791336332303,0.230953981370226,0,0.0425332255695754,-0.0264413856447739,0,0.127590923407628,-0.0576250002517925,-0.017503672248822,0.274541142678231,0,0,0,0,-0.0714467251190501
XRP,-0.19816414455035,0,0,0,-0.0360023808076094,0,0.0117463228777782,0.288319415871794,0.343023901295124,0.195150056757926,0,0.245171128385141,0,0.103417031148591,0.0483469639208777,0,0,0,0,0.224133651193402
BCH,0.0459161446644867,0,-0.0776908751528994,0,0,0.191463834881158,0.121052852730648,0.0552456963971064,0.191653097471825,0,0,0.322232020863368,0.0921948418367088,0,0.0605159545045184,0,0,0,0,0.077416696985473
ADA,0,0,0.194059669817106,0,0,0.23403257902242,0.0520513813362582,0.216063361421098,0,0.112656245524359,0,0,0,0.0556126632337198,0.0951264132695109,0,0,0,0,0
NEO,0.107859958543515,0.62593353745829,0,-0.0666988592699192,0.0264535691516788,0,0,0.106927476952321,0,0,-0.145485473061535,0,0,-0.026833618673827,0.349405964497738,0,0,0,0,0
LTC,0.127395041866413,0.15945409553549,0,0,0,0,0,-1.73472347597681e-18,0.0222862011674374,0,0.172447012344995,0,0,0.0574955233505793,0.0193248465317106,0,0,0,0,0
XLM,0.0101745016879772,0,0.287118044864764,0,0.185521428704116,0.142949482343409,0.0439980928705124,0,0.0591858894945094,0.0192568623519389,0.0883675239055463,0,0.251594127893829,-0.186448623981081,0,0,0,0,0,0
EOS,0,0,0,0.279305174103362,0,-0.0316951528070038,0.352178227223489,0.225682617086431,0,0.0449205433860016,0,0,0,0.109729862966841,0.0827027450631027,0,0,0,0,0
XEM,0,0,0.262612778437962,0.0756406319874646,0,0.108829847672471,-0.476341984081841,3.46944695195361e-18,0.11308889991673,0,0.24665131586197,0,0,0,0.231368189528672,0,0,0,0,0
MIOTA,0.464379083951617,0,-0.141735523933992,0,-0.0239651341902793,0,0,0.162233101158916,0.390199758590302,0.129739226330137,0,0,0,-0.115890361242863,0.223276261600354,0,0,0,0,0
DASH,0,0,0.0242527221198841,0,0.0161244006628334,0,0.173885715460566,0,0.0866434398529721,0,0.029267455781651,0,0.0941057476847565,-0.0119076578001939,0.273001163937807,0,0,0,0,0
XMR,0.0642298773872147,0,-0.0191254261392378,0.200508649187898,0,0.181874107256116,0.0363938013047087,0.0678201224921939,0.0171078133694716,-0.036025725423228,0,0.142176243182983,0,0.0540118241316503,0.26932179896037,0,0,0,0,0
TRX,1.4102391006214,0.217557630178833,0.273188382335899,1.38777878078145e-17,0,-0.0379190273924159,-0.706488744139309,0,0.262683706622752,-0.793060810038717,0.368710199193095,0,0,0,0,0,0,0,0,0
ETC,0,0.299663103734649,0.0170393521841313,0.264406852587211,0.155378650195692,0.0438773236780987,0.0320904469472686,-0.0660333316216129,0,-0.0235270093070304,0.122712797833922,-0.146094217657247,0.346445162136669,0.0524317251290708,0,0,0,0,0,0
BV010082.Index,-0.0460219387799761,0,0,0.00756180435836979,-0.0278961208717394,-0.0187808522750276,0.0216542555388226,0,-0.00563109955480181,-0.00222533100061844,0.0194923900304098,0.00565019645277769,0.0270225652535313,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0.0381605015111337,0,-0.0131653160024301,-0.0033166303293618,0,0.0143722663103843,0,-0.0531303313012811,0,-0.00898484008050567,-0.0416158951745954,0,0,0,0,0
DXY.Curncy,0,0,0.00473530160413625,0,0,0,0,-0.0115378017897952,-0.00300231431677628,-0.00174539788793684,0.0102883923456843,0,0.00831269029812694,0.00340498857387103,-0.0230966615661427,0,-0.0450503137364984,0,0,-0.0302429297976472
SPX.Index,0,0.00742801350120966,0.00210712268970643,0,0.000923803668725673,0.00697349440653381,0,-0.00345573503211814,0.00246033226907587,0.00165726146826635,0,0,0,-0.00100819811823111,0,0,0,0,0,-0.0283286637530587
VIX.Index,-0.0714017038402598,-0.0596681495194605,0,0.0781492030801451,-0.185000738536815,0,-0.0915042967782581,-0.0106463858440111,-0.100892382029697,-0.0285098514235029,0.105734588371592,0.0422186856661316,0.0946613213092128,-0.0130593051739995,0,0,0,0,0,0
