,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,DASH,MIOTA,XMR,XEM,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.112741768584486,0,0.00940068148819982,0.40850310497556,-0.112816525496655,0.238042078355015,0.0298779564263666,0,0,0,0,0,0,0.0786474865625161,0,0,0,0,0
ETH,0,0,0,0.0623254558760583,0.252923480407445,0.154839788040364,0.140601827571186,0,0.0236049254227578,0.0504481507074949,0,0,0,0.201095141974983,-1.73472347597681e-18,0,0,0,0,0
XRP,0.443527466116798,-0.741518325426664,0,-0.0811189715200044,0.0662114025050712,0.287219665669255,-0.135145498732403,0.153775862504054,0.0108218737641077,0.370076603824443,0,0.0456550583132136,0.178374438075153,0.325752634716721,0.111867456531386,0,0,0,0,0.0192584731531997
BCH,0.180697215647312,0,-0.114403154918676,0,0.178266353262212,0.0866057159531459,0.102191683481953,0,0.0192840980376122,0.286470255075826,0,0.274806880695349,0,0.117122716114633,-0.0277882675752248,0,0,0,0,-0.0267694656524608
LTC,0.534093773274656,0,0,0,0,0,0,0,0.0810959339771276,0,0.171594910582681,-0.108986128691606,-0.021674046949028,0.0987745325566381,0,0,0,0,0,0
ADA,0,0,0,0,0.0719490285565143,0,0.0596740202957147,0.0833131227001527,0,0,0.384591860478743,0.0149058274899894,0.158649728818654,0,0.020286637282199,0,0,0,0,0
NEO,0.0201459170786193,0.253962433067063,0,0.184872750094712,0,0,0,0.0647346093970671,0,0.0956576306803008,0,0.0099029701166334,0.16521431739731,0.189014730947299,0,0,0,0,0,0
XLM,0,0.102246742098915,0.223111787061496,0.185518296052693,0,0.332153183354853,0.233684031599347,0,0,0,0.156143122605397,0,0.0923000568883099,-0.171684429520295,-0.158857432910048,0,0,0,0,0.0414035862958352
EOS,0,0,-8.67361737988404e-19,0,0.0545180714075812,0.316686387573555,-0.099161267700826,0.00192594098513198,0,0.145802703432915,0.10198677895474,0.133342080102078,-1.73472347597681e-18,0.217548870648983,0.183583062615101,0,0,0,0,-0.0786897413528646
DASH,0,0,0.0628304754222846,0.0863100448347979,0.098053930474538,0,0,-0.0348321672374314,0.0596019072836358,0,0.187951943366955,0.201419830256972,0,0.168003633142102,-8.67361737988404e-19,0,0,0,0,0.079798436639216
MIOTA,0,0,0.133214487339331,0,0.300281038721127,0.0203379479457174,0,0,0.287563615677228,0,0,0.00870714154226395,0.116956838196142,0.407365932199616,0.0125160952918343,0,0,0,0,-0.0248320944104545
XMR,0.144953283329746,0,0.0390386803615274,0.200471196710074,0,0,0,0,0.00738394935266275,0.388536278852892,0,0,-0.01958986042768,0.189168388265751,0,0,0,0,0,0
XEM,0,0,0.252570177832644,0.0485164700751506,0,0,0,0.0978201737350758,0,0,0.405984958809976,0,0,0,0.0194692669972273,0,0,0,0,0
ETC,0,0.0813883902220104,0.208474530568682,0.13651828325141,-0.123449143144735,0,0.356152998568633,-0.205579397412692,0.028426652911535,0.114125018000752,0.263612456706022,0.104737652922607,0.0527717795656048,0,0.0307779220637808,0,0,0,0,0
TRX,1.01240153341571,0,0.304189134199185,0,-0.913932579414216,0,-0.493001354126305,0,0,0.180765905301083,0.489193543994855,0.135527625016753,-0.726438291176316,0.638763733617039,0,0,0,0,0,0.170546177311143
BV010082.Index,0,0,0,0.0121164122920709,0.0316725142896708,-0.0478767160007167,0,-0.0235443931263149,0,0,0.022040786424369,0,0,0.00464180791069594,0,0,0,0,0,-0.0392165344798067
CVIX.Index,0.109840677125941,0,0.0538202650357552,-0.0540413864348847,-0.0726177683448834,0.0540111696359763,0,-0.0195220659972541,0.0546484506339979,-0.00984094831347292,0.0178561218669965,-0.0626312647447782,0,0,-0.0401045015920451,-0.102537922427128,0,0,0,0.024760440354466
DXY.Curncy,0,0.00763059305072826,0.00591179137207405,0.00572791924880387,0,-0.00455314957995843,0,-0.00309304684760024,-0.0215108114887905,-0.000491068871300294,-0.000622172557835555,0,0,0,-0.00491552929496413,-0.0455558293942107,-0.035970975705996,0,0,0
SPX.Index,0,0,0.0078927320702843,0,0,-0.0162899443485011,0.0413221096698502,0.0013545896451738,0,0.0308310166386779,-0.00639493622411761,0,0.0114157823761264,-0.0627385621851384,-0.00722854429394224,0,0,0,0,-0.0703410517337838
VIX.Index,-0.647200747823695,0,-0.00511670291273607,0.242026243175241,0,0,0.262352196316103,0.00418582229956605,0.100828625016233,0,0,-0.437528813954109,0,0.167215163152036,0.0727289982047307,-1.80434314003206,0,0,-5.05668624209809,0
