,BTC,XRP,ETH,BCH,ADA,LTC,MIOTA,XEM,XLM,DASH,XMR,NEO,EOS,BTG,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0709048739320134,0,-0.0917223389476501,-0.0312749625073516,0.0402855489730662,0,-0.0234093658053245,0.12338886741347,0,0.228520151836534,0.13364400997191,0.183149873412769,0,-0.0809893182608437,0,0,0,0,0
XRP,0,0,0.343765593423341,0.147222143186975,0.0771033198221411,0,-0.0674805301170954,0.0906743729236858,0,-0.152334499715522,0.254581425676217,0,0.155920146902946,0,0,0,0,0,0,0
ETH,0,0,0,0,0.0238726218909289,0.0805541639351171,0.0677145309133984,0.0498772944536763,-0.0867400008286297,0.0380019711022669,0.0798804705206326,0.12005193573534,0.110587029971859,0.0781047531415327,0,0,0,0,0,0
BCH,0,-0.0642433120689953,0,0,-0.0534683888083466,-0.0845083100593619,0.0616285114387856,0,0,0.234088241147433,0,0.327378043508951,0.0949273531853714,0.244513009772317,0.0752214666371134,0,0,0,0,-0.180519620146723
ADA,0,0.172941522442378,0,-0.164109397161357,0,0.104209071628534,0.131164957358158,0.118669063925338,0.18377691294553,0.0821263806605731,0,0.311512551555807,-0.177510072599694,0.200973102502859,0.111701046075059,0,0,0,0,0
LTC,0.205049341573847,-0.0613329494015249,0.459853135500279,-0.0620289751679784,0,0,0.0615073785058611,0.173407982158066,0,-0.0348730828632343,-0.0061393761940793,0,0.0255575511243653,0,0,0,0,0,0,0
MIOTA,0,-0.238358410916045,0,-0.166546326819924,0.0262664884018041,0,0,0,0.304907455479944,0.125596234854725,0.158880526009645,0.189433129372891,0.363930960710627,0.228429797893973,-0.122308257396745,0,0,0,0,0
XEM,0,0.230866834730932,0,0,0.0510601200330796,0,0.22660473356544,0,0,0.151052489351793,0.0134098376845289,0.152292665665224,0.0632995387019437,0.0153302449047457,-0.0345370281689911,0,0,0,0,0
XLM,-0.06194403995219,0.20145057537209,0,0,0.278614723847998,0.0687238477245986,0.0563547839674258,0.0222958499635188,0,-0.173700260644403,0.460823809496107,0.0360095125069579,0.00620856132896118,-0.0244439019605186,-0.0500308875524953,0,0,0,0,0
DASH,0,0.0319454451559957,0.00720847886195656,0.093157816983665,0,0.284803152658892,0.0229562344337082,0,0,0,0.162316081650404,0.115603681484341,0,0.0413725932553982,-0.0255059150999547,0,0,0,0,0
XMR,0.172088714690186,-0.0103700387432135,0,0.0767082005084338,0,0.176682371948339,0.0529132882156298,-0.0102254511248182,0.11957164953164,0,0,0.275390216687606,0.0186246471755419,0,0.0771504200547212,0,0,0,0,0
NEO,0.0250581234988679,0,0.686458526842572,0,0.0173571573457425,0.0150880120921833,-0.0780000581740975,0,0.173688152933542,0.107133749670771,0,0,0.046548510334313,-0.0992270817405092,0.0405939839765979,0,0,0,0,0
EOS,0.0911647029909323,-0.0197556132124258,0,0,-0.0105607694158747,0.385210131215688,0,0.0747355675774513,0.355362280658362,0,-0.267881660390034,0.0332739985130817,0,0.277944714032597,0.171296854206899,0,0,0,0,0
BTG,0,0.1534614325305,0,0.958612908233832,0,0.557102633017681,0.238999628019116,0,0,-0.51925085784678,0,0.268669912724448,-0.650593369432843,0,0,0,0,0,0,0
TRX,0.588065481873431,0.231137997028096,0,0.030201273153721,0.197985161706076,0.30544046672443,-1.38777878078145e-17,-0.464268359504699,-0.245701491434973,0.0352891268522405,0.771443573731048,-0.0369425756888581,0.0159498905483455,0.0182772313637069,0,0,0,0,0,0
BV010082.Index,-0.0253939434549152,-0.0141046893556484,0,-0.0368878575781987,-0.00312065121857267,0.0195078412440844,0.0150173824807535,0.00460935617324061,5.42101086242752e-20,0.0170775899727019,0.0083965968014996,0,0.00975553575861994,0,0,0,0,0,0,0
CVIX.Index,-0.0380991465418773,0.0360168595798155,0.0732965880069386,-0.00114454313737415,-0.00717742614011766,-0.0688191464294575,0.0254013914440195,0.0392508875015821,0,0,0,0,-0.029288133208311,-0.0271580256130134,-0.0238766482923328,0,0,0,0,0.145647310996051
DXY.Curncy,-0.0107480538346683,-0.0102205468538729,0,-0.0066394966235195,0,-0.00320994161220451,-0.0017241347103446,0.00867453626805074,0.00951350644873357,-0.000422759898165707,0.0178734803883133,-0.010732388165293,0.00505980432728208,-0.000279009224635165,0.010450265985076,0,-0.0269082000737739,0,0,0
SPX.Index,0,0.00238179212338047,0.012521729385779,0.00141998366785595,0.00227529259960532,0,0.000763371229185538,0.00145709035569764,-0.00521697109361521,0,0,0,0.00304010516786755,0,-0.00052099960588121,0,0,0,0,-0.0259352778142701
VIX.Index,0,0.085252576440962,0,-0.0740200556012271,0.0115116810566922,0.0206804234058059,0.155542896803543,-0.0657446445068023,0,-0.0564174716344112,1.73472347597681e-18,-0.103639513101265,0.172801118812483,0.0521822847476573,-0.0526254146836326,0,0.133182680268034,0,0,0
