,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,EOS,BNB,TAGZ5,XTZ,XLM,LINK,ADA,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.00245430250255995,0,0,0.53217861649123,0,0,0,0.0826322456052182,0,0.167679089582218,0,0,0,0,0,0,0,0,0
INNBCL,0,0,19.8266522820989,1.20434868939465,0,0,13.4090076420172,-14.1082596158451,-28.3702638354589,3.63494408302434,0,6.83975433911738,0,11.129611467383,-12.7880025589725,-10.9542598373059,-1.25235695512948,0,13.1574825361471,0
ETH,0,0.000731454156663732,0,0,0.267499384306459,0.0773946816612679,0.0357546838803803,0,0.0375117038242924,0,0.266987099800927,0,0.0124677574080457,0,0.267971880176887,0,0,0,0,0
XRP,0,-0.00508516635065377,0.122947915052558,0,8.67361737988404e-19,0,0.314641910651467,0,0.113948921294575,0,0,0,0,0.243333094818191,0.00248631347138684,0,-0.0397867393076642,0,0,0.0611835801541781
BCH,0.0378370145840004,0,0.330670513011801,0,0,0.287236598300455,0,0.101960855349481,0.10962365517099,0.0138682456393649,0.104638706728113,0,0,0,0,0,0,0,0,0
BSV,0.0895525552990542,-0.0122904725262464,0.139590725147338,0,0.42490469894977,0,0,0,0,0,0,0.0530874198444817,0,0,0.352693001816034,0.0348030993075275,0.105946965680362,0,0,-0.0700201832878647
LTC,0,0.00107020415023054,0,0.126396685454112,0.0789625684257486,0.0389236824826972,0,0.277476225615207,0.0859563530842668,0,0.0981077365968017,0,0,0.168174013460128,0.0434103704842127,0,-8.67361737988404e-19,0,0,0
EOS,0,-0.00219744771182798,0.310853836736782,0,0.311656914647635,0.0912826217562471,0,0,0.0864606973677385,0.034091298193515,2.16840434497101e-19,0.0521225407810579,0.0177073406160161,0,0,0,0,0,0,-0.00394132709999262
BNB,0.0538924799088357,-0.00446424071819402,0.310708599262734,0,0.414833163133475,0,0,0,0,0,0.0545412855008475,0,0.066164564077531,0,0.0412172524395929,0,0,0,0,0
TAGZ5,0,-0.0107682241781334,0,0,0.677913786545159,0,0,0.185107837304191,-1.03534294347992,0,0.664415243327146,0.253677541209689,0.29583514316859,0,0,-0.354112872299049,0.117229964214267,0,0,0
XTZ,0,0,0.102255859304612,0,8.67361737988404e-19,0.108633907012726,0,0,0.433259153612541,0.0136049001840501,0,0,0.354030219426169,0,0,0,0,0,0,0
XLM,0,0.00214542998019658,6.93889390390723e-18,0.195778287438907,0.291572125926575,1.73472347597681e-18,0,0,0.254722790466228,-0.00414183440455194,0.0808609676525417,0,0,0,0,0,0.0142907774433491,0,0,0.00896543512177966
LINK,0,-0.00667628916423613,0.19621369393968,0,0.081222801432133,1.73472347597681e-18,0,0,0.18246642709276,-0.0130497092559604,0.454256834666226,0,0,0.128810555631732,0,0,0,0,0,0.0295437693284497
ADA,0,-0.00265852922320511,0.142312301405751,0,0.0110091912583359,0,0.57983417228641,0,0.163241436650874,0,0.0952519427865739,0,0,0,0,0,-0.00507529039584983,0,0,0
XMR,0.140682941803012,0.00173520531775465,0.211929553151494,0,0,-3.46944695195361e-18,0,0.173167578055533,0.105317847716215,0,0,0.0345448023422385,0,0.255313433146922,0,-0.0176087863689378,-0.0221508107363314,0,0,0
BV010082.Index,0,-0.0149162027602777,0.207179540437477,0,0,0.537008472196973,0.462187525541537,-1.40995839638656,-0.517452648789148,0.140588657194266,-0.911941619678317,1.27761371821746,0.444987066256913,0,0,0,0.0197642193809001,0,0.0781882711465857,-0.0197103058756512
CVIX.Index,0,-0.00660693014620461,0,0,0,0,0,0,-0.605349409090896,-0.222773653226591,0.539471734612185,0,0,0,0,0.324614716161514,0,0,-0.59701020466823,0.279548079051312
DXY.Curncy,0.079687195876437,0,0,-0.172521347304156,0,0,0,0,0.0181479286515316,0.00204117772911413,0.0502326049657114,0,-0.0103706193368625,0,0,0.00832917339848509,-0.0162766656663773,0,-0.00644624942942147,-0.00135218865968832
SPX.Index,0,0.00113211228714972,0,0,-0.201805945955105,-0.101391642397593,0,0,0,-0.00175519727741947,0,0.170368597576665,0.202286818918807,0,-0.0585493355574029,0.265162101672869,-0.0393243802407896,0,0,-0.190706620442158
VIX.Index,0.0413859178031844,0.0352167090368012,0,0,0,0,0,0,-0.327600819921094,0.101132910256938,0,0.502981002303586,-0.38017672545403,0,0,0,0.214667922636384,0,-1.16760286434089,0
