,BTC,ETH,XRP,LTC,ETC,XEM,DASH,XMR,ZEC,NEO,XLM,DOGE,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.186291931111524,0,0,0.096421336568782,0.10014706164365,0,0,0,0,0.0580545520796586,0,0,0,0,0
ETH,0,0,-0.0372166182252846,0,0.0280073443697564,-0.00713397050136618,0,0.215163274709827,0,0,-0.0292603548420971,0.103293881166094,0.0339118965384986,0,0,0,0,0.206403633876108
XRP,0,-0.292036364714536,0,0.0408358928745888,-0.334188061900733,0,0.56867740947845,0.0835240765797274,0.0456338590165844,0.0827944183423015,0.334986838490805,-0.214776236099449,-0.0412929213388363,0,0.536538780443257,0,0,-0.0287592773771665
LTC,0.495686573787983,0,0,0,0.0326587551423386,0.123898487919366,0,0.13925872488493,-0.013285769335162,0.226184508385662,0,0.0776255511529331,0.0302560587699385,0,0,0,0,0
ETC,0,0.256870567917729,-0.128940318156096,0.151572964428065,0,4.33680868994202e-19,0.130627508307092,0.133026564708689,0.0829231918660834,0.032497710196805,0.023917656915312,0,-0.0428990830966358,0,0,0,0,0
XEM,0.932788453453857,-0.106134187912882,0.320867086503326,0,-1.38777878078145e-17,0,-0.0462980109073233,-0.10159270245776,0.287397040729283,0.0590697196755321,0.137565805008567,0,-0.0760362852313769,0,0,0,0,-0.539367554562579
DASH,0.0464657061701022,0.0981182924170917,0.00511629625971055,0.0692366585161965,0,0.134612494088909,0,0.327603497735867,0.161526550201912,0,0.0684519846596791,0.0132426952405542,-4.33680868994202e-19,0,0,0,0,0
XMR,0,0,-0.138174566449028,0.335688482049328,-0.286198087820233,0.250768258525268,0.618446547297123,0,0.0774968928834087,-0.0833853930932773,0.0585659456784024,-0.0654191546445801,0.0855179539290277,0,0,0,0,0
ZEC,0,0.0384980554480483,0.0714351127155926,0,0,0.0356796184854015,0.170406894774768,0.0265259179290976,0,0.0530360553368069,-0.0799159505831219,0.224888821908634,-0.0136444196584406,0,0,0,0,0
NEO,-1.0424652323109,1.03270695567368,0.224141405110369,0.926165393532311,0.374805038159205,0.14453976112904,0.388600258842292,0,0.295351359167361,0,0.0443137417127099,-0.483036219138369,0.210333467817925,0,0,0,0,3.46944695195361e-18
XLM,-0.362545898637288,-0.397331429661752,0.236026728023465,-0.106435657034515,0.22732882056247,-0.393563965027529,0.405741824715818,0.477453581776519,-0.263233790543263,0.0839340514308744,0,0.586047151093813,0.0265713653088326,0,0,0,0,0.449574443391493
DOGE,0,0.0538225541029343,0,0.150116488982935,0.070921038871065,0.289418181688243,0,0,0.342350859536251,0.0309176440510083,0.173345462664948,0,0.0489902177234838,0,0,0,0,0.0821963088913463
DGB,0,-0.554213915970224,0.41924952290656,0,0,-0.217440296492809,0,0.648494975524795,-0.220674729742085,0.26069185509369,-0.267656860383706,0.860185381192882,0,0,0,0,0,0
BV010082.Index,-0.0338325952650891,0,0,0.00502473251622214,0,-0.0397323018387512,-0.0702551257325724,0.0182123021466168,0.0615648377872002,0.0145288288352463,0.0288668243103306,0,0,0,0.0920530074244576,0,0,0
CVIX.Index,0,0,0.0686817748806804,0.0663425300554161,-0.262030773299645,-0.469229323329019,0.16828460921783,0.0693450115408133,0.0878890914917211,0.0606733587393555,0,0.0561561238890609,0.0219899963586453,0,0,0,0,-0.0785621403262757
DXY.Curncy,-0.000606417030602755,0.0233611605757358,0.0108482307652663,0.00268168501816499,0.015847222044722,-0.0125564510516678,0.00718045024608219,0,0,-0.0105659223809965,0.00605504379010676,-0.0068792358766469,-0.00243672852349752,0.00813983132179816,-0.00424892052485995,0,0,0.00974724894576887
SPX.Index,0,0.000314397446417913,0.00441791136042752,-6.84951399705712e-05,0,-0.00633822730604797,0,0,0,-0.000755440667741874,1.35525271560688e-20,0.000483460003194683,0.00395755056438171,0.0322049485560836,0,0,0,-0.0288599622656277
VIX.Index,0,-0.0224922569492475,-0.00531235081987855,-0.258853836416608,0.250566610738671,-0.234810587869656,0.128821133598876,-0.22981052744439,0.0367514884759517,0,0.268789912467913,0,-0.0959029152722241,-3.27460889721852,-0.718944616433046,0,0,0
