,BTC,XRP,LTC,ETH,DOGE,DASH,XLM,XMR,DGB,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.417483478513762,0,0.209042210125107,0.0967102915100078,-0.104641328167697,0,0.0440702684293862,0.0823693043792489,0.168888791657095,-0.119954332715872,-0.370946526837057,0,0,-0.101978947815154
XRP,0.322641500210313,0,-0.270254794816637,-0.0938876540390287,0.909881581015758,0,0.306475615040073,-0.165852051970521,0,-0.0550467272331161,-3.46944695195361e-18,-0.0754855298018698,0,0,-0.189338849412924
LTC,0.468992340060221,0,0,-0.0611192331449672,0.755266645325154,-0.161514868466943,0.247422572215339,-0.209342867037223,0.0356610098476693,0,0,0,0,0,0
ETH,0.428881390499168,1.24893680064248,-0.527815858244387,0,-0.639895539008913,0.692300285011602,-0.365925643240755,0,-0.0938044564330019,-0.0790347382700098,0,0.647437933194664,2.41870892391759,0,-0.0324155558121537
DOGE,0,0,0.736796284963494,0,0,0.0486402575865934,0,0.102566470627661,-0.0507782194511765,0,0,0,0,0,0
DASH,0,-0.0986024783940008,0.56263524738491,0.0234409547129005,0.255875801924379,0,-0.299428566833951,0.0654100986986185,0.02858764198071,0.0130273409459245,0,0.0889078978830076,0,0,-0.0995816589913047
XLM,0.401868429095492,-0.204863509679201,0,0.133066304824151,-0.19930908179542,-3.46944695195361e-18,0,0.120693247517887,-0.00772892470561464,0.084201252700137,-0.0313697800149094,0.110893627380066,0,0,-0.190904682817924
XMR,0.558052080709568,0,-0.256330762435399,-0.281616194952042,0.0322692941595108,0.773414213230127,0.0461805637033147,0,-1.38777878078145e-17,-0.135295476762556,-0.466067852557748,-0.234003101681953,0,0,-0.389977950753243
DGB,-1.75898219702215,1.36378433927788,-0.78340350874526,0.413801518552357,0,0.409219808997621,1.5714268922814,1.05792994923354,0,0.898127635054563,-1.45489982594963,2.55336569299494,-5.40640297724454,0,-0.594672109480002
XEM,0,-0.310116474151785,0,-0.356175983448672,1.0050884679637,1.01016022116592,0.534409029240043,0.0247921384034541,0.0871003083636533,0,3.06889292246019,0,0,-11.1039775176805,-0.442227901230566
BV010082.Index,-0.173717266527867,0.185954236675996,0,0.0143751399216595,0.0509509454674098,0.0936805739958026,0.0638472485637838,0.0875788143836655,-0.0585577075344208,0.0403475273334536,0,0.0136714241310266,0,0,-0.0575616715606854
CVIX.Index,0.157768479942943,-0.0263612406024888,0,-0.00206820999087829,-0.149120561071158,0.00199997870436715,-0.343825597453591,-0.249610694482904,0.000627777582766524,0.0791228448136622,0,0,0.332350231015636,0.739813308535684,0.0914095959926404
DXY.Curncy,0,-0.0585523546817302,0.0226629027159406,0.00607200233041974,0,-0.00502683600043272,0,0.0457274773727155,-0.0140258284013173,0.0180408691996219,0.0636865860175134,0.0164581430054382,0,0,-0.03150107502476
SPX.Index,-0.0665948920860048,0.0370694650979403,0.0486341457370674,-0.00767721268579349,-0.0506201184933141,0.0330839092649606,0.0448424056630967,0.0139114655297111,0.00500463977394898,-0.0123210330294452,0,0.0403829070858034,0,0,-0.0860069626586411
VIX.Index,0,-0.278504975252627,0,0.0790875786731716,0.186868505988494,-0.030734107084936,0,0,0.0679695742331665,-8.67361737988404e-19,0,0,-3.00734486121628,-2.97617753373305,0
