,BTC,ETH,XRP,LTC,DASH,XMR,ETC,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0031569440122265,0,0.295051829625333,0.268673508641117,0.182728483249576,-0.0460364136603203,0.135060773673499,0.162907674305944,0,-0.0742941902336989,0.0331025119816498,0.104906550427687,-0.0505407212394904,0.187658068183651,0,0,0
ETH,0,0,0,0.0980374497568493,0.117922135270509,0.050068332981183,0.0483367410607958,0,0,0,0.15287936683798,0,0.238196283403169,0,0.0256869285417333,0,0,0.221464073015349
XRP,0,0.201536091605709,0,-0.0601198895883324,0,0.0170802617999465,-0.148194975544013,0.08457384932205,0.469274196176119,0.0582724234712765,0,-8.67361737988404e-19,0.0292420539488306,0.144141416093183,-0.107753173226151,0,0,0.10295592834333
LTC,0.55648983274723,0,-0.163824337886498,0,-0.0998027921411641,0,0.103383271581935,0.0900415067231547,0,0.250558938682198,0,0.107497593199252,0,0,-0.300551366704382,0,0,0.0325205470873688
DASH,0.43605036238419,0.365203433064544,0.0932729345567075,-0.0635366139662015,0,0.273235733689491,0.356778107617492,0.160701971645573,0,-0.580724132537635,0.401499572043771,-0.325474631164633,0.0714489779686319,1.01374147733069,0,0.673771302289623,0,0
XMR,0.376473124259892,0.132439881504133,0,0,0.296101496342122,0,-0.110924631908244,0.154662488809235,0,-0.502701642205476,0.316476495920076,0.0696463866974135,0.0284981774807774,0,0.560982205167007,0,0,0
ETC,0.228075540361115,0.411366949500927,0,0.420684254139596,0,0,0,0.0194128301418534,0,0.307256265835538,0.166376650195136,0,0.0752949151777266,0,0,0,0,-0.234953867257151
XEM,0,0,0.178259526825633,-0.121952635426639,0,-0.0667453558833377,0.119174703851759,0,-0.629991221870003,0.573819316184006,0.262901905923696,0.26943253053457,-0.22274034977775,1.12297408858532,0,0,0,0
DOGE,0.355382151389126,0,0.240820325506534,0,-0.147036779395263,0,0,-0.023551273205435,0,0.00268432257502934,0.202658860195993,0,0,0.0680547590281912,-0.186527461832292,0,0,0
ZEC,0.462038949831748,0.0732961421346038,0,0,0,0,0.0774726527724183,-0.00859087604854368,0.517667511187326,0,0,-0.145458282732776,0.147477295660842,-0.599845697236069,0,0,0,0.0826147919302041
XLM,-0.354943903028302,0.000605522408354481,0,0.356401553400214,0,0,0.216349065284008,0,0.239336535486338,-0.0283279381493481,0,0.126894047849296,0,-0.169732260520809,0,0,0,-0.0545323915313163
NEO,0.335816484086296,-0.129097622193029,0,0.111788804214232,-0.280387843827741,0,-0.0560011475400824,0,0,0,0.436230967918086,0,0.222669775523289,0,0,0,0,-0.216535012705373
DGB,0.68332932507424,0,0.11784865703531,-1.05791411968523,0,0,0.126336319586129,0.144266243733228,0,0.363524449278577,0.0976750018887903,0.39161845948073,0,0,-0.657841441765254,0,0,0.32999329189976
BV010082.Index,-0.151695458943802,0.0396174646026762,0,-0.110167513313072,0.053851836645028,0.0914083832679007,-0.0301249085171443,-0.0395278148930557,0,0.148711690655991,0.0334472365042729,-0.00819019964973009,-0.0701180516900515,0,0,0,0,-0.0163133614947532
CVIX.Index,0.12122781369564,0.16397151949597,0.139884530141641,0,0,0,0,-0.152051533903179,0.0300056843957084,-0.0767448975040942,-0.0401090134326895,-0.0687626679821423,0,0,0,0,0,0.0117586008198024
DXY.Curncy,-0.0470364879757061,0.00831444002275437,-0.054270953384793,0.0387315136443535,0.0323912293183432,0,0,-0.0201335432350962,0,0,0,0.00110180432448571,-0.00303872578934814,0.188906582985255,0.0421472581444243,0,0,-0.00099184735847532
SPX.Index,0,0,-0.0121391522591458,0,0.0159118058195255,-0.00752781353833537,-0.00535778990497046,0.00110800446969173,0,0.000507090943044786,0.00782550575203509,0,-0.0053844307480243,0.0592192304030199,0,0,0,-0.0645902907919351
VIX.Index,0,-0.334932084702775,0.281921545355373,0.268117408483392,0.280669321758873,0.175131452298183,-0.523560209923587,-0.341541169393352,0,0,0,0.218998604903099,-0.0637706141263184,0,0.156892815688661,0,0,0
