,BTC,XRP,ETH,BCH,ADA,LTC,MIOTA,XEM,DASH,XLM,XMR,EOS,NEO,BTG,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,-0.0933349687022174,0,0,-0.00628516272365797,0,0.285303156162218,0.0680760563654441,0.0640650192680806,0,0,0,0,0,0,0,0
XRP,-0.144329191637394,0,0.507979863666811,0.0822998945995185,0.0914249878779789,-0.020213812341962,-0.136541278166973,0.0188000394040027,-0.214097940052855,-0.0157480384450995,0.348450405423774,0.219060036317162,0,-0.00258465857454318,0,0,0,0,0,0
ETH,0,-0.0602271504453217,0,-0.0241725911032659,0,0,0.0180526291521075,0.0847543617236259,0,-0.00171188305056827,0,0.117201627943599,0.20135772473433,0.0393653262440395,0.124578573639204,0,0,0,0,0.240883375892548
BCH,0,-0.0310136452362088,0,0,-0.0950994728441278,0,0,0,0.136630953597594,0,0,0.316541136373253,0.258833817493584,0.257442140834508,0,0,0,0,0,-0.391745024770816
ADA,0,0.118687060363913,0.363516259777956,-0.209211576895936,0,0.0332324586861536,0,0.14558198380964,0.101970276904474,0.318607594526498,0,-0.160447725398944,0.275361979032272,0.226572282011201,0,0,0,0,0,0
LTC,0.205049341573847,-0.0613329494015249,0.459853135500279,-0.0620289751679784,0,0,0.0615073785058611,0.173407982158066,-0.0348730828632342,0,-0.00613937619407937,0.0255575511243653,-8.67361737988404e-19,0,0,0,0,0,0,0
MIOTA,0.40671107319378,-0.0246279116869044,0,0,-0.188573085024799,0,0,0,0.0264859663297233,0.372415669512178,0.0983721169741074,0,0.151821180923736,-0.00877489730833956,0.424050652284109,0,0,0,0,0
XEM,0,0.258798918685235,0,0.00998852497255882,0.077197209355533,-0.0961733869746686,0.204847961970283,0,0.19153691124172,0,0,0.0960523615749244,0.133220910624927,0,0.060946773276448,0,0,0,0,0
DASH,0,0.0192689299598196,0.172548861274543,0.0449330115139808,0.0886872783089962,0.23089066189807,0.0539555886355475,0.00886456092083151,0,-0.0942102242099808,0.26900613683419,0,0.078329621663266,0.135610777970425,-0.214399508804838,0,0,0,0,-0.198723897635299
XLM,0,0.10111831606505,0,0,0.325322448236045,0.0611115709051433,0.0944670440887819,0.0147575540261685,0,0,0.149623667052225,0.0342071256019962,0.125173123423906,-0.0134368411551531,0.109073221734973,0,0,0,0,0
XMR,0.0197677393942912,0,0,0,0.097870084829302,0.0896400276919906,0.184101038447209,-0.0435508104574614,0.278112273142638,0.101715177215954,0,0.0549283601860172,0.10662229326224,0,0.109409883732281,0,0,0,0,0
EOS,0.260883327076964,-0.0653476511284369,0,-0.0231512840765408,0,0.434144992694022,0,0.0829918078478629,0,0.322533792703179,-0.239755949261901,0,-4.33680868994202e-19,0.231226799801719,0,0,0,0,0,0
NEO,0,0,0.748040287612126,0,0.0240258255687866,0,-0.0913656408738847,0,0.104416058023281,0.193945967856706,0,0.0498397078466937,0,-0.0966901338616721,-6.93889390390723e-18,0,0,0,0,0
BTG,0,0.13908809195433,0,1.01021436801212,0.0435818069138485,0.631822247089061,0,0,-0.424706114107438,0,0,-0.665350755090483,0.215491534610774,0,0.187160775175167,0,0,0,0,0
ETC,0,0.0360355258343127,0.316037095459929,0.211469314807547,0.0966611773937033,0,0.0947815750270192,0,-0.228143233185854,0,0.306253594365499,0.0222974316507677,0.0688500099716242,0.137589272943834,0,0,0,0,0,0
BV010082.Index,-0.0284616915985002,0,-0.0302905382782507,-0.044095320173058,-0.030964773890373,0.0207030334382736,0.0120739999310556,0,0.0393539622259925,0.0141274912728278,0.003163921983519,0.00860971633025207,0,0.00619676428911662,0.0406573369227502,0,0,0,0,0
CVIX.Index,-0.0471892556804058,0.0062388720240912,0.031080528613916,-0.034424330608305,-0.0193706797406553,-0.0466951791046983,0.0553143248495635,0.0233401425929247,0.0461589701120356,0,0,0,0,-0.00931698544180109,0.0329616341899595,0,0,0,0,0.0377562047811687
DXY.Curncy,-0.0109954337065414,0,0,-0.01517352445686,-0.00536688982544707,0,0,0.00607678542817484,0.000946743254418903,0.00223979042842559,0.0121712566063856,0.00688647621329073,0,-0.0045522690857034,0.0112703578747903,0,-0.128624088373565,0,0,0
SPX.Index,0,0.00235896344003764,0.0131344698283988,0.00165107033425704,0.00247707409247741,0,0.00172860622152409,0.00164776481222455,0,-0.00352715031332982,2.71050543121376e-20,0,0,0,0.000871559056214775,0,0,0,0,-0.023899001053516
VIX.Index,-0.0306914465233077,0.0472508914475391,0.0241054943705263,-0.120664771085884,-0.0428480425246108,-0.0621739597362637,0.0838228468449888,-0.052496056497154,-0.0522502455373359,-0.0569962702904383,0,0.197926856321277,-0.0377384464698923,0.0529265631647837,0.0386853894673052,-1.73642444448764,0.49100208852888,0,0,0
