,BTC,ETH,XRP,LTC,ETC,XEM,DASH,XMR,ZEC,XLM,DOGE,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.186291931111524,0,0,0.0964213365687821,0.10014706164365,0,0,0,0,0.0580545520796587,0,0,0,0,0
ETH,0.0488189040269839,0,-0.0546358558862693,0,0.233893572289264,0.0766996226413834,0,0.104524989850179,0,-0.0244558183802132,0.0590124542383436,-0.0419716126524676,0.0408551836027132,0,0,0,0,0.0611359688863498
XRP,0,-0.264506913103639,0,-0.182797548805613,-0.303762470286965,0.150333114042129,0.482346742421534,0.229980247419042,0,0.312916093266896,-0.0909369539824461,-0.00216932156822281,-0.0691810008910536,0,0,0,0,-0.171498833748667
LTC,0.556716593170509,0,0,0,0.00690244109611876,0.14135826407788,0,0.175257487105821,-0.0317892645039795,0.0276445409362334,0.108228511622196,0.226210947093603,0,0,0,0,0,0
ETC,0,0.257993962337263,-0.116229789429679,0.112870682582921,0,0,0.103471935758831,0.170596049112996,0.0865032986989063,0.0271582509311706,0,0.0354459574056214,-0.0467850985754876,0,0,0,0,0.0113927373389832
XEM,0.965927904876801,-0.0835706856485523,0.214780175102356,0.162898283120093,0.00876154710233027,0,0,0,-0.0565439298351135,0.100491915494213,0,0.0342862061260212,-0.0591249373114439,0,0,0,0,0
DASH,0.140838184893914,0.0268000505837853,2.16840434497101e-19,0,0.0307837392352091,0.116837340136913,0,0.321116133507859,0.200250162556364,0.0724561498794785,0.0209555627773899,0.0161704047469331,0,0,0,0,0,0
XMR,0,-0.0950168033503121,-0.145059669807018,0.282072934786549,-0.301861364177463,0.258348627364421,0.584378043049124,0,0.106343434744555,0.0873803673390803,-0.120524043528051,-0.0647762717634797,0.0801838441672434,0,0,0,0,0
ZEC,0,0.0665221305626117,0,0.00725824037610231,0.00937897862295903,0,0.104655639969571,0,0,-0.0133142822054861,0.205248720343058,0.0453547632852865,-2.16840434497101e-19,0,0,0,0,0
XLM,-0.459008745828874,0,0.224754528907394,-0.0388216388841116,0.081022773102423,-0.0884462496292962,0.521505474832051,0.391978149262861,-0.32340740510524,0,0.556446080395602,0.158199664587589,0.0293823450762002,0,0,0,0,0.0319098523152165
DOGE,0,0.109837704832452,0,0.118797266541494,0.0976746795750804,0.28111769558475,0,0.00132878554476832,0.351614373229808,0.15052959816045,0,0.0351184862210775,0.0516552774431832,0,0,0,0,0.0871839554959761
NEO,-1.07980126630201,0.930094691679407,0,1.04678664419634,0.129771443536615,0.244630523255884,0.534754287872479,-0.125201253179167,0.570200089249675,0.122159895030996,-0.466932805995502,0,0.282230881510564,0,-0.41593046573611,0,0,0
DGB,0.594124177009165,-0.571619297374894,0.570938223283033,-0.156837386281025,0,-0.204085433654483,-0.0386025896917957,0.684417432831918,-0.552538834688055,-0.380160040278061,0.668089814970211,0.2348755526189,0,0,0,0,0,0
BV010082.Index,0,-0.00759257257787126,-0.0444790219230914,-0.0561600646279916,0.0286302812972671,2.16840434497101e-19,-0.0248284507424366,0.0219315064421216,0.0396644764245603,0.0476637567469942,-0.0268646197587638,0.0158933029520774,0.013238258848346,0,0.169426151226674,0,0,-0.0744375282262921
CVIX.Index,0,0.0918074301269917,0.139346247487173,0.08141492505327,-0.0510785398861191,-0.590514650599831,0,0.0724030725092831,0,0,0.0849712972903175,0.0583467095629574,0.00214052178880665,0,0,0,0,0
DXY.Curncy,0,0.0169229645754814,0,0,0.00612449530153043,-0.00904860669663143,0.00843066723718841,0,0,0.00595473872934641,-0.0117124445431001,0,-0.000335526112784349,0,-0.00908366198434339,0,0,0.00951409577376889
SPX.Index,0,0.000506510768076244,0.00355017700917818,0,0.00677101333946289,0,0,0,0.00530566994320003,0,-0.000981916019996028,-0.0033885615638472,0.00187173632846028,0,0,0,0,-0.0427840446197198
VIX.Index,0,-0.022437186264143,-0.0052797963407148,-0.258831390341944,0.250564622342153,-0.23480644961181,0.128763083814833,-0.229835502204439,0.036700111822839,0.268787014196294,0,0,-0.0958936824648361,-3.27451979751533,-0.718931877849074,0,0,0
