,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,NEO,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.00568637183424531,0,0.0469681070743524,-1.73472347597681e-18,0,0,0,0.0724998428190369,0.0675748967933144,0.245160879324428,0,0.18870384931736,0.104320859882439,0,0,0,0,0,0.021168826940199
ETH,0,0,0.405580799607055,0,0,0,0,0,0.0781019200268357,0.263355987510178,0.076059063140098,0.030467682682732,0,0.127844317488906,0,0,0.0280729152497925,0,0,0.0487458471566121
XRP,-0.0743172045459854,0.382301366122403,0,0.0915837629150689,0,0,0,0,0.0961765359410443,0.0742017245679625,0,0,0,0.0363981858012026,0.0923655302094135,0,0,0,0,0
BCH,0.263368097138696,0.103411972353542,0,0,0,-0.029173962552291,0.103876804842585,0.0987346706514232,0.037584081886094,0.214324726810549,0.245642670870048,0,0.00444736852473728,0.0553699910006532,0,0,0.142721868980808,0,0,0
EOS,0.478403553103256,0,0,-2.77555756156289e-17,0,0,0.209926050083395,0,0,0.277232384103395,0,0,0,0.0341416158782241,0.447895867569816,0,0,0,0,0.0615028601891678
XLM,0,0,0,0,0.0447601533045819,0,0,0.0926759033134427,0.0587560633227749,0.317101178300548,0.0820087714238345,0.0456919731684647,0,0,0.208451352111919,0,-0.115220152763286,0,0,-0.115924787266097
LTC,0,0,0.0670273562380549,0.384035087819674,0.0114731571479253,0,0,0,0,0,0,0.0234157042222607,0,0.120195307740347,0.253038032279168,0,0,0,0,0
ADA,-0.198892926114282,0,0,0,0,0.232465799744066,0.094705786649969,0,0,0.283250158353863,0,0.170903568309042,0,0.0235642749978294,0.232766091259142,0,0,0,0,0
MIOTA,0,0,0,-0.193511000561561,0.127942823075913,0.283844172811356,0.525191152450688,0,0,0.104098583885387,-0.0668592838485749,0.543407154491471,-0.261615062527106,0.0295073045070051,0,-0.115244678410372,0.216654545685128,0,0,0.10546765434049
TRX,0,0.249636452647985,0.222112866250059,0.255669522842605,0.0597342549046807,0,0,0,-0.0822348973326071,0,0.198825983954602,0,0,0,0.165772645669897,0,0,0,0,0
XMR,0,0,0,0,0,0.0225036835682722,0.133894072922375,0.271547650970024,1.38777878078145e-17,0,0,0.252785547824895,0,0.0550548136662738,0.153051130283,0,0,0,0,0
NEO,0,0.0553204333395965,0,0,0.0410309993505519,-0.0661302781699789,0.124883479589564,0,0.457502992781578,0,0,0,0.0531953081195819,-0.194552602278073,0.476844434031606,0,0,0,0,0.0569355313441682
DASH,0,0,-0.330405656968718,0.539172348933756,-0.109335323399231,0.153046188683484,0,0.0533154907548764,0,-0.0437292178296889,0,0.388427473731316,0,0,0,0,-0.31156499208736,0,0,-0.038654190738196
ETC,0,0,0.0578541721510728,0.326700939297392,0.125534944448686,0,0,0,0.218205172969241,0,0,0,0,0,0.180675230824849,0,0.473344545158552,0,0,-0.0952368156160533
XEM,0,0,0,0,0,0.25614974599224,0,0.0165799681916785,0,0.0829872939866445,0,0.225388664197057,0.260962373515648,0.0296638921371808,0,0,0,0,0,0
BV010082.Index,0,0.0448493060303135,-0.28561326411624,-0.0878808936224445,-0.138933550546211,0.0251992964608371,0,0,-0.106293302663739,0.265157598272196,0.239357002636255,0,0,0,0.0397719306695833,0,0.11254463600695,0,0,-0.219287937443122
CVIX.Index,0,0,0,0.31903705209523,0,0,0,-0.139340343147538,0,-0.077152567462878,0.101427683171228,0.0209293272304641,-0.199975861510884,0.112810364253488,0,0.220754112612282,0,0,0,0.159594890782761
DXY.Curncy,0,-0.0349958840943451,0,0,0,0.00752200600239263,0,-0.000510897990874655,-0.0318991439979142,0,0.0340757045442557,0.028639708415758,0,0.0297239197536869,-0.024860802122187,0,0.146212349782046,0,0,0.0040298838037035
SPX.Index,0.0201416927052013,0,0,0,0,0,0,0.00785931661800936,-0.0355436791257191,0.00317639572417248,0.00446319724665749,0.0113517464289853,0,-0.0054823762850847,0,0,0.00507517347982457,0,0,-0.0625796316756072
VIX.Index,0.296317366965499,0.252140509787462,0,0,-0.310259865623242,0,0,0,-0.47740926540577,-0.154982497378948,0.171443449099457,0.28015085771025,0,-0.094905421964953,0.276833052201389,0,0.145833531337939,0,-5.72034057907939,0
