,BTC,XRP,ETH,XLM,BCH,EOS,LTC,TRX,ADA,XMR,MIOTA,BNB,XEM,DASH,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.116974413195841,-0.0837023277914813,0.00152400514719755,0,0.0983826432415588,0,0.315839729399169,0.286090474237927,0.0276265687573426,0.0459400124336852,-0.0395579415518355,0,0,0,0,0
XRP,0,0,0,0,0.214517796711498,0,0.273422777449448,0,0,0,0.119568029243749,0,0.39107281054626,-0.225587351214921,0,0.781319664228637,0,0,-0.0448257175098918
ETH,0,0.188174150893982,0,0,0.0124081437678615,0.132924462714832,0.0272720936199267,0,0.242811569004938,0.261860954624721,0,0.131735294467159,0.039828246967301,0.0905770524553359,0,0,0,0,0
XLM,0.474016835419674,0.251689177190561,0,0,0,0.123996518643561,0,0.0135926024913226,0.248635119505268,0.169963036098661,6.93889390390723e-18,0,0,0,0,0,0,0,0.00843610803406251
BCH,0,0.117139895018025,1.16103745470472,0.219097756820333,0,0.634905611729544,-0.60097451445505,-0.0766360062037309,0,-0.286510155842014,1.36111385869019,0.215205827210082,0,-1.28521529321779,0,0,0,0,0.0483043229523172
EOS,0,0.364793405131053,0.19004845801671,0.0698766360413892,0.164983113842807,0,0,-0.252985696508597,0,0,0,0,-0.15868822434029,0.473695671948942,0,0,0,0,0.0405264608694041
LTC,0,0,0,0,0.178530822981489,0,0,0.086399700326877,0.0688051884389587,0.183919310955324,0.169476219855694,0,0,0.199258729058714,0,0,0,0,0.00305889341076825
TRX,0,0,0,0,0,0,0,0,0.38089054586752,0.129022232120989,0.00729206349961731,0.384495396263066,0.093019782651227,0,0,0,0,0,-0.0870058428949308
ADA,0,0.113672238600099,0,0.104574325541914,0.127215854915267,0.0334580528500677,0,0.379580559594332,0,0.196396945502498,0.058339281104389,-0.136262087841496,0,0.0710377033055301,0,0,0,0,0.00803422341728315
XMR,0.445139303718616,0,0.306620507042844,0,0,0,0,0.034030922841907,0.106385525730232,0,0,0.0468110338041697,0,0.197355693745223,0,0,0,0,0
MIOTA,0,0.0645905558108023,0.101978961769987,0.153153143239466,0.0664635275973227,0.113682811750981,0,0.239406996873833,0.0901537276838299,0,0,0,0.0620587210097551,0,0,0,0,0,-0.045809050310284
BNB,0.354916756731272,-0.184553828786641,0,0.205600815631816,0.068689572419549,0.459200630397298,-0.257439522850233,0,0,0,0,0,0.102711981282471,0.347226741366057,0,0,0,0,-0.0345404806085036
XEM,0,0.0655943218681824,0,0.251749438558414,0,0,0,0,0.144911249222672,0.102355858854148,0.124257902190049,0,0,0.178674582504018,0,0,0,0,0.0416678361481709
DASH,0,0,0,0,0.0470976010226334,0.149230408393005,0.101922706503318,0,0.415718715455761,0.0508582708943367,0,0.264935613738211,0,0,0,0,0,0,0
BV010082.Index,-0.0706324816612716,-0.191128804658708,0.153734348033371,0,-0.0311817710479872,0.0214913454374781,0,-0.0219296586995731,0,0,-0.172541362293318,0.175725356148849,0.121927536941652,0,0,-0.0279219583329943,0,0.436134011976624,-0.00657586144617612
CVIX.Index,0,0,0.550846089885512,-0.189233378905182,-0.0614397108904078,0,0,0,0.126879293720753,-0.472166654859221,0.104862221984232,-0.0666857380436848,0,0,-0.125365163789311,0,0,0,0.047081034946746
DXY.Curncy,0,0,0.0256283576279355,-0.0617834447826629,0.00362314168179504,8.67361737988404e-19,0,-0.0119210741225515,0,0,0.0370025409382113,0,0,-0.0115767757602686,0.0540915136794672,0.0162190741331085,0,0,0.00436702401676565
SPX.Index,0,-0.0637239485325394,-0.0951983379191209,0.11698597769228,-0.00302035485373997,0,0,0,0,0,0,-0.0108074186129676,0.0273681441825022,0,0.0464295341261036,0.0201370208857444,0,0,-0.109721261533584
VIX.Index,0,0,0,0,0.189633881965046,-0.843621698254744,0,0,0,0,0.47565355648683,0.08558933378615,0.0489508721640114,0,0.543897179226556,1.41885962717755,0,-5.67951971876904,0
