,BTC,ETH,BCH,MIOTA,XRP,DASH,LTC,BTG,XMR,ADA,ETC,XEM,NEO,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0583142487816777,0,0,-0.229067387643342,0.311933329551737,0.0219147237107027,0.108775240841984,0.163223548764667,-0.20668053756149,-0.483630838772654,0.0667279362604084,0.201095769761723,-0.0684154076216962,0,0,0,0,0
ETH,0,0,6.93889390390723e-18,0,0.232525396047154,-0.120667611589508,0,0.0200592539766448,0.054346356994134,-0.033054556284046,-0.0666497023954558,0.231391979098627,0.0809471720648433,0,-0.0302811568657126,0,0,0,0,-0.0039574883695163
BCH,0,0,0,0,-0.0389904476785845,0,-1.43872303672728,0.213222575749775,0,-0.0602957760593227,0.429566134193162,0,0.667868455553158,0.164732766401882,1.73472347597681e-18,0,0,0,0,0
MIOTA,0,0,-0.114101492400914,0,0.264153691022773,0.133709701487508,-0.434760176129742,-0.0573597378602308,0.0819780889480943,0.171758776071646,0,0.500623501387697,0,0.100531423337026,0.090772732759819,0,0,0,0,0
XRP,-0.0377037304614179,0.516742754096537,0.106486833948033,0.0301372488740487,0,0,0,-0.039074228496063,0.234555636458689,0.0980765747215236,0.0103068189537854,0,0.0369358132309564,0.103572002413119,0,-0.845472621901028,0,0,0,0
DASH,-0.454071857875654,0,0.00747677485185422,0.092974786151473,0,0,0,0.0329398370103071,0,-4.33680868994202e-19,0,-0.105010749917852,0.0712394775263563,0.0739758523441401,-0.0146144699594426,0,0,0,0,0
LTC,0,0,-0.0306494680446608,0,0.294854752976708,0,0,-0.010784472290999,0,-0.0208739025954921,0.0632653928304246,0.311992999445382,-0.0395077858081687,0.0811558888588055,-0.0561503479166015,0,0.186079330847998,0,0,0
BTG,2.91725966679109,0,0,0,0,-0.0571157718624538,-1.21950061416773,0,0,0,0.277748873421361,-0.840421273323691,-0.940383812317584,-0.547200920020175,0.37686199580375,0,0,0,0,-1.61347635437462
XMR,0,0,-0.0313633139336354,0,0.0877369810321022,0.120413387954394,0.11637338957899,0,0,0.132207262009809,0.142386234055844,0.300604087315561,0.0814041572991635,0,0,0,0,0,0,0
ADA,0,0,-0.181176431543261,0.19257840779059,0.482890958608671,0.0501779302697231,0.442240552535546,0,0.289417322851049,0,0.258263410875503,0,0.239650250443614,-0.335772241885583,-0.271700403741568,0,0,0,0,0
ETC,0,0,0.25128560165785,0.0409437620797172,0.338315594715355,-0.358396991184691,0.192346872880303,0,0.188416966957897,0.108176079736873,0,0,0.0271172979631162,0.00074702546117394,0.0524109405989651,0,0,0,0,0
XEM,0,0.343645206364538,-0.0326040435168995,0.145303829264523,-0.0620972816307082,0,0.0817456290868656,-0.0465642987095067,0.061612983167932,0.0494614205997384,0.10679877099332,0,0.11267529779529,-0.0579321817845685,0.0364869761446977,0,0,0,0,-0.0442749072298331
NEO,-0.330853281928402,0.33323538972545,0.0103551118809969,-0.315410071692382,-0.148629298085381,0.0918518138413908,0,-0.0769286197684518,0.213176135294566,0,0.291927205296786,0.0375825962096609,0,0.0663957962990658,0.163659244625561,0,0,0,0,0
EOS,0.409054558029927,0.388766381333125,0,-0.102016249240855,0.311555004524648,0.207639075399358,0,-0.0850904796860358,-0.641694155151833,0.0918483829428298,0.0243992969500934,0,0.223771758164928,0,0.106319703037794,0,0,0,0,0
XLM,0,0,0.264811840739291,0.372946489271054,0.340604693328996,0,0,-0.0868611259480591,0,0.282339828302308,0,0,0,0.336821659295679,0,0,0,0,0,-0.119721427435771
BV010082.Index,0.020127183881848,-0.0522217157054478,-0.0225006953588301,-0.00203874548981136,0.0425397018795941,0.0350002703811966,-0.072519666290779,0.00137045105379519,-0.0245924528646815,-0.00953412214382356,0.0298869595407506,0,0.0349003344382689,0.0230732221707413,0.00561023593379826,0,-0.0533326594430757,0.519402668407715,0,0
CVIX.Index,0,0,0.00417473468978547,0.0216547264035012,-0.0715933998072693,0,0,-0.0035652353562755,0,0,0.0161843719013747,0.109243729973235,1.0842021724855e-19,0.0128909151910812,0.0157138124974896,0,0,0,0,0.0649562580578808
DXY.Curncy,-0.0249011173727632,-0.028023689572398,-0.0107201128110674,0,-0.0299266675084816,0.00470002102023419,-0.00197765535787175,-0.0047281004116291,0,0,0.0185826920882617,0,0,0.00304209872491986,0.00289298764887973,0,-0.0925040879239402,0,0,-0.00584723382531312
SPX.Index,0,-0.000898322696741906,0.00111933506385799,0.00493724491305985,0,0,0,0.000714521240101728,0,-0.00133683557342873,0,0,0,-0.00714126826660569,0.00240928538093851,0,-0.0728555210129934,0,0,-0.0167702265052839
VIX.Index,-0.0846691521730853,0.485674980465896,-0.415327966930598,0.178721775939262,0.101960045904097,0.22562210142849,0,0.00818639916829071,-0.381915088792245,0,-0.0847346070600389,0,0,0,0.0754772226215786,0,0.344281914116171,0,0,0
