,BTC,ETH,INNBCL,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,LEO,XMR,XLM,LINK,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.00333914448012598,0,0.199268605545392,0.168571410899869,0,0,0.0866437613033303,0.0686890910229215,0,0,0.197123973383098,0,0.0817549814945383,0,0,0,0,0
ETH,0.084810440539487,0,0.0054059125927207,0.14469106615068,0.159353541702529,0,0.284248178583204,0.106172356417169,0,0.226302426357698,0.00527082098608154,0,0.0119704595168445,0,0.0299097596091732,0,-0.0252011628498234,0,0,0
INNBCL,0.513055182711154,14.0181178201545,0,9.28802037298544,0,-2.76639253038946,1.13841014248003,0,0,-1.22640854361302,-5.03999968599253,0,-24.8577045091248,0,3.94457845694496,7.00677776383651,-3.43845379823272,0,0,-1.19868252231656
XRP,0,0.306833095829409,-0.00786555252576986,0,0,0,0.0866796876747007,0,0.165688611822801,0.0334525757516674,0,0,0,0.147058949670142,0,0,8.67361737988404e-19,0,0,0.0355873837629519
BCH,0.286770460082325,0.163962327983568,0,0.24544557060354,0,0.226205749294958,0.0439897033530364,0.0509183032302338,0.0720970854338615,-2.16840434497101e-19,0.0314474608395898,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0,0.640059049378789,0,0,0.152481793913204,0,0,0,0.147686996714953,0.282537437562364,0,0,0.0197166981541084,0.0140012007325636,0,0,0
LTC,0,0.0836079109518761,0.000605078147919354,0,0.219324238801387,0.10449257636314,0,0.537779559496405,0,-0.0118359892838246,0,0,0,0,0,0,0.113833244694604,0,0,-0.0213666202850045
EOS,0,0.250134125524219,0.00309057707974116,0.0510797824789013,0.375540554426259,0.149841670675897,0.0274476000610221,0,0,-0.151658587037443,0.0545086699366064,0,0.201992843044933,0.0454050266443234,0,0,0,0,0,-0.00857750455918049
BNB,0.180277364526404,0.146957813469025,0.000976588320106467,0,0.265843494989611,0.00708121761472292,0.043131884756137,0,0,0.0935580857683887,0,0,0.248936791245648,0,0,0,0,0,0,0
XTZ,0.404343563499117,0.019621847147414,-0.0119207742039838,0,0,0.0175190632384713,0,0,0,0,0,0.154661864446848,0,0.261563426166309,0.412604649339414,0,-0.0286196754428138,0,0,0
TAGZ5,0,0,-0.0132986170424075,0.181711717536705,0.133694111867201,-0.218511886722492,0,0,0,0,0,0,0,0.542388937728795,0.490191648825202,0,0,0,0,0.0628575609033486
LEO,0,0,0.00321949352226786,0,0,0.123411080408576,-0.342877581892008,0,0,0.205177449555135,-0.0200312862295363,0,0,0,-0.0165860335534777,-0.0098543060985533,-0.0173000624957832,0,0,-0.0401523259814077
XMR,0,0,-0.00604434538256649,0,0,-0.0260734524660037,0.0836822299876089,0.394513613452285,0,0.0655964848816019,0.022903400151383,0,0,0.30719268489865,0.125099706679543,0,-0.0946324598341804,0,0,0.0268372518679392
XLM,0,0,0.00096641999277339,0.376715502111165,0.284620738938155,0.0326198759369195,-0.0265364876308375,0,0,0,0.0591795678169062,0,0,0,0.0887897546517541,0,0.0596700686472908,0,0,-0.0134730690322589
LINK,0.395360637126462,0,-0.00217736141035238,0,0,0.151562675849087,0.301461190742139,0,0,0.280503725414213,0,0.102327076943321,0,0,0,-0.227591497751497,0.00153456964810849,0,0,0
BV010082.Index,0,0,0,0.666093698542184,0,0.502022664915042,0,-1.14200794332354,-0.386140704649705,-0.841783419105868,0.21766270012499,0,0.0121333187443281,0.55677513331292,0.580249045466137,0,0.0747872124351647,0,0.180065410190287,-0.021681778470272
CVIX.Index,0,0,0.00508279187051714,0,0,0.162493874257186,0.0304954157575257,0,0,0.319720189236395,-0.402140419235418,0,-0.629997509758966,0,0,0.207133156389519,0,0,-0.252610153083574,0.283295319247316
DXY.Curncy,0,0,0.0012987797453545,-0.0989379887506629,0,0.0218269145154696,0,0,0,0.0691424549552626,0.0291038833344826,0,0,0,-0.025134786718197,0.00804915872644099,-0.00665720319727479,0,-0.0528857433649635,-0.0255464754929118
SPX.Index,0,0.185435948816068,0.0064620848843813,0,-0.175505611185383,-0.0540719325754024,0,0.100057254284453,0,0.210932719449257,-0.039301754347419,0,-0.0798048526268381,-0.250544255844004,3.46944695195361e-18,0.294006476083741,0,0,0,-0.203682983582984
VIX.Index,-0.07377892061238,0.585694398438306,0.00734404398798729,0,-0.0494826178745455,-0.57833992413295,0,0,0,0.339102326783156,0.354599411187635,0.670128456998469,8.67361737988404e-19,0,-0.581862910690037,1.73472347597681e-18,0.268308999594385,0,-1.36369694340515,0
