,BTC,ETH,BCH,XRP,DASH,LTC,MIOTA,XEM,XMR,NEO,ETC,ZEC,EOS,XLM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.127823231379075,0,0.186970617185499,0.12631002866876,0.120099018035775,0,0,0.0257212882753427,0.0117501158112698,0,0.0604965691723882,-0.008161366536655,0.0783869293881808,0,0,0,0,0
ETH,0,0,-0.0592958454238086,0.272077259380664,0,0,0.0834532428538412,0.118298699717624,4.33680868994202e-19,0.0612176437924886,0.271571338813437,0.250114390895806,0.0332465196321329,0,0.00629848291839697,0,-0.5589426723763,0,0,0.219621565956013
BCH,0,0,0,0.214898684456361,0,0,-0.503838325537124,0.468425643800174,0.292541429595852,0,0,0.801056203808675,0.129521245700623,-1.24358142917539,0.182733956582698,0,0,0,0,-3.46944695195361e-18
XRP,0,0,0.0563749704982944,0,0,0.182410795146939,-0.173163986010071,0.0803650359142797,0.117354488061539,0.0700498407100558,0.273671341902633,0,0.0350459009438312,0.286900957962129,0.126742098866394,0,0,0,0,-0.075812483124977
DASH,0.140990154270062,0.193962250917028,0.0217538091418263,0,0,0,0.051773276254139,0.161053787460378,0,0.0788009297148552,0.105958613425287,0,0.0584422912013201,-1.73472347597681e-18,0,0,0,0,0,0.0694015265174939
LTC,0,0,0.0542844616097078,0.0681366280192363,-0.00434950371336997,0,0.0908590624618968,0,0,-0.00988146018742526,0.194843474740745,0,0.0558865690093986,0.052355131198793,0.0571113113578956,0,0,0,0,0
MIOTA,0.453237368824852,0,-0.062357717121832,0.035249970042451,0.481553262008553,0,0,0.185811556675702,0,0,0,0.27899265735127,0.00644764527942123,0.244396365891143,0.142368567878013,0,0.741416856882696,0,0,-0.0185242848543088
XEM,0.119788879435717,0.243273024687502,0.140943169399561,0,0,-0.0502527784490262,0,0,-0.0177080427342732,0.241524558881811,0,-0.305848954013993,0.134608626051614,0.285685937861923,-0.062168536761134,0,0,0,0,0.147680434164082
XMR,0,0,0.0814087372735399,0.266010340997853,0.287603849486782,0.129994679905654,0.0520942651547643,0.0274693225141129,0,0.0681593801986137,-0.0277843237923281,0,0,0.146199602909864,-0.0606414354446,0,0,0,0,0
NEO,0,0.0203304292328687,-0.0190845687070983,0,0,0,0.140611978232817,0.352980148334653,0,0,0,0.022898645890642,0.0523708220720997,0.135106581343982,-0.0297443793845417,0,0,0,0,-0.120970549350896
ETC,0.0910446289312574,0.300637244999458,0,0.0792074052984685,0.00497584781845661,0.266624188223513,0,0,0.130487115032618,0,0,0,0,-0.078409628822132,0,0,0,0,0,0
ZEC,0,0.0915470502158675,0.0175870102230682,0,0.078396152063006,0,0.18904955101553,0,0.0626507749995719,0.00381497250459412,0,0,0.038281430327206,0.16480796894695,0,0,0,0,0,0.104561555831273
EOS,0.31001519591879,0.165013663414808,0,0,-0.285581034742757,-0.530174828439869,0,0,0,0.0579577198323474,0.702909876026313,0.3422267074841,0,0.250841956974903,0.117558716982221,0,0,0,0,0.101393196984139
XLM,0,0.164771466792288,-0.06333575577961,0,-0.290957139540724,0.144044107682134,0.0863000604529811,0.30485041520705,0.50519138018889,0.0316391116966762,0,0.199364567070266,0.0655882604797414,0,0,0,0,0,0,0.0943703328798479
BNB,-0.100197345755694,0,-0.102588534782348,0.342984636518779,-0.512673013450065,0.328315849106653,0.179045683072907,0,0,0.0731454507805241,0,0,0.0536348719638392,-0.183022160324026,0,0,0.02235029896512,0,0,0.467506874579876
BV010082.Index,0,0,-0.00495205197772287,0,0.00666877386990709,0,0,0,0.029307018127081,-0.00871307095917046,0,0.0493211210763956,-0.00894196047132307,-0.022549624886579,0.0089264378527478,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0.0295210640859527,0,0.0647333310637286,0.0138934960728521,0,-0.109841187533103,0.02456135689373,0,0.0201896893651741,0,0,0,0,0.0949240233488904
DXY.Curncy,0.0140416136938062,-0.00856808931632527,-0.00252399895684638,0,0,0.00813157735774959,0.00751549783121209,0.00195377320230452,0,-0.0149573446296458,0.0166554849189548,-0.0182903717699832,0.0049312131529333,-0.00398228838324734,0.000411809225067902,0,-0.0130969506500696,0,0,-0.018095957554422
SPX.Index,0,0,0,0,-0.0149804493297509,0.00905734297306974,0.00129593626828048,0,-0.00356500385088686,0,-0.000386833434104277,0,0.0019413161297211,0.000404457569169907,0.00155081629713064,0,0,0,0,-0.0539337130236467
VIX.Index,0,0.230171692524352,-0.0688575860891456,-0.0218150762499766,-0.108841913466005,-0.0914436862043426,-0.173501660708627,0.511364722875242,0.217927590066923,-0.208969711406133,-0.476485563496437,0,-0.0029311181186544,0,0.27587437650278,0,1.5718672223103,0,0,0
