,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.153530926511137,0.088019477829058,0.308847321185181,0.255255419650639,0.135892483340937,0,0.0656422535362063,0,0.0625732072519353,-0.1154851202138,-0.0295662055164205,0,0,0,0,0,0,0
ETH,0,0,0,0.193547050251877,0,0.155351185441531,0.0334320067051186,0,0.196938433357674,0.177121894450451,-0.0332983662458466,0,0,0.0452461131558998,0.184815906150714,0,-0.381371797712732,0,0,0.0868338741160652
BCH,0,0,0,0.270274900283905,-0.628918249503364,-0.280504731961928,0.962769949658587,0.240917934026977,-0.536651870009914,0.591832899676282,-0.0757864238282684,0.84761860190419,-1.31859143915384,0.444754440423323,0.014385363341426,0,0,0,0,-0.151956298861328
XRP,0,0.433620181400092,0,0,0,0,0.167865151719471,0.0569257671043746,0,0,0,0,0.243312079073077,0,0,0,0,0,0,0
LTC,0.244913691520622,0,0.092475357537855,0.0419608593349808,0,-0.220828018080508,-0.016393998515606,0,0.0400473763557007,0.167142129777923,0.0503932372673874,0.121565218276052,0.073506321583021,0.0686416679702317,0,0,0,0,0,0
DASH,0.264043990829242,0,0.00780206824978348,0.0158100290617396,-0.197932909522009,0,0.145902508231749,0.0680241044764332,0.104262371678128,0,0,0.372152073414433,-0.0590181178969094,0.125839281959421,0.0152518313358895,0,0,0,0,0
XEM,0,0.0840616248916222,0,0.146266464373305,0,0.431813355660791,0,-0.150206448615578,0,0,0.084504208038435,-0.0650056927475176,0.291762698985302,0,0.0902423157236298,0,0,0,0,0.113948776556747
XMR,0,0,0.130536275172137,0.21763737378505,0,0.336932376858256,0,0,0.0239510596325152,0,0.131651853695215,0.147887833816153,0.161961920174551,0,-0.137386115042658,0,0,0,0,-0.0697379737041904
MIOTA,0.525406697923434,0.150841324921433,-0.2393422171536,0,0,0.488963364042396,0.459953481680497,0.152994113574465,0,0.205806310628482,0.0746165674263225,0,0,0.0129033940868992,-0.272262099649191,0,0,0,0,0.154484376745254
ETC,0,0.40141992129006,0,0,0.510186285926424,0.132861625279303,0,0,0,0,-0.0151273834136024,0,-0.0155814196801403,0,0,0,0,0,0,0
NEO,0,-0.155340697417494,0.0401558017885753,0,0.168118687179951,-0.0851545793131959,0.21501107044835,0.0750802298091522,0.211486739533486,0.0376494034117554,0,0,-1.38777878078145e-17,0.585776224955492,-0.183670445710228,0,0,0,0,-0.40012127538076
ZEC,0,0.13423661840723,0,0,0.13280206558047,0.229401319067591,0,0.0615050300327451,0.181288879986519,0,0.0170095250710084,0,0.156836633379467,-0.0986308759008055,0,0,0,0,0,0.105717304736322
XLM,0,0.098382793278475,0,0.161026399717679,0,0,0,0.368158364740296,0,0,-0.0302348214102494,0,0,-4.33680868994202e-19,0.294383535011722,0,0,0,0,0
EOS,0,0.0478060674106441,0,0,0.48441161837987,0,0,0.176331040580077,0.256279187301836,0,0.199453818471032,0.101888778828499,0.118501145131675,0,0,0,0,0,0,0
BAT,0,0.120461592474034,0,0,0,0,0.125646777253333,0,0.0310990993479887,0,0.144109570676718,0.216159019283511,0.286838683864048,0.0974750514235278,0,0,0,0,0,-0.181070868469949
BV010082.Index,0.00948981037261235,0.0697671863195992,-0.0071459085551049,-0.090424841324423,0.00623681978056968,-0.0972723598512864,0.0172951673483879,0.0568062967258953,-0.0188726397036398,-0.0100412435462683,-0.00817581999953856,0.101411454955974,-0.0169061982416047,-0.0359203872563895,0.0285412761645397,0,0,0.425080977468626,0,-0.0555655055070055
CVIX.Index,0.0118229021547166,-0.104448563367293,-0.0341771301262178,0.162861694013335,0.113048687543494,0,0.0585156407523585,0,0.0494147095925891,0,0.00100320180033123,-0.0584633810039222,-0.0913916365564179,-0.0775087975271759,0.0186302302288562,0,0,0,0,0.0865101358923726
DXY.Curncy,0,0,0.00102729367367973,0,0.0052628125803256,0,-0.00142193963016414,0,0.00503874240769382,0,0.00568536180287998,-0.00392757023864644,-0.00253808021419566,0,0,0,0,0,0,0
SPX.Index,0,0,0,0.00430524203334074,-0.000993390598044607,-0.0121536377590943,-0.00141869982416681,-0.00917347199517892,0.00199844662747765,0,0,0,0,0.000153539639416986,0.00515129917982063,0,0,0,0,-0.048613864032947
VIX.Index,0,0.0783596240824523,0,0,-0.243782858885097,-0.399095521950908,0.321197530946804,0,0.0593019213367792,0,-0.0732965146872138,0,0.011484556653147,-0.131198941093189,0.14710832603505,0,2.10211608242399,0,-3.04713147165469,0
