,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,4.33680868994202e-19,0.107653070577394,0.00031247606294816,0.0196700145795289,0.122123854187931,0.0286276591595421,-0.0239615417271319,0.0262479944255982,0.0204455014772661,0.163248224972454,0.0974072585498646,0,0,0,0,0.022451155585258
ETH,0,0,0.351520290332998,0.0659572133638599,0.0260507399047867,0,0.062487997040657,0,0.240795737651199,0.106291055584439,0.05630259632922,-0.062371914273231,-0.0581482216275935,0,0.0579375211643096,0,0,0,0,0.0158435616973316
XRP,0,0.222417121494502,0,0,0.0870410904694457,0.0221077457661905,0.136380246810937,0.116553883508485,0.039212990324506,0,0.0727599965503388,0.00427051942593366,0.263779567356026,0,0,0,0,0,0,0
BCH,0,0.241573592643492,0,0,0,0,0.125948477973611,0,0.253168895131568,-0.0949977206201279,0,0,0,0.229737747563861,0,0,0,0,0,0
EOS,0,-0.539213549662724,0,0.346290528246151,0,0,0.0500004302687379,-0.0928864178466045,0,-0.128739013642517,0.781668973747475,0,0.0485472740736197,0,0.530464783062488,0,0,0,0,0
LTC,0,0.155604711148981,0.103224001010632,0,0,0,0.0680112467280433,0.13896911947219,0.0317559034870088,0.0619848376009804,0.0789339078635766,0.113659055342125,0,0,0.0619765921736928,0,0,0,0,0.0359742455051943
ADA,0,0.018649993310656,0.31718835267891,0.150587954920836,0.0651502885826701,0,0,0.0537884478017794,-6.93889390390723e-18,0,0.206820299014355,0,0,-6.93889390390723e-18,0.116626522825509,0,0,0,0,0.214642506645075
XLM,0.229936455065923,0,0,0,0,0,0.303802303655098,0,0.0200400957265844,0.0361667919864452,0.0406181422631393,0.25590927179902,0,0,0.181588539713458,0,0,0,0,0
MIOTA,0,0,0.350915469304547,0.0849699896895303,-0.0166653069074251,-0.189156154673932,0.157552065480279,0.223467862330832,0,0,0.0757062255149905,0.0620803131583687,0.0215483065429671,0.474056852760314,-0.326491414400058,0,0,0,0,0.0357948434749941
TRX,0,-0.20098735939463,0,0.764279958043842,0.171317943468572,0,-0.610760587159603,0,0.187770115138132,0,0,0.178584959556003,-0.22537066539756,0.655907768498762,-0.58166777515781,0,0,0,0,-3.46944695195361e-18
NEO,0,0,0,0,0.073057174814611,0.172514383136815,0.0243235466665714,0.245524414738593,0.182529595657665,0.0786888965866857,0,0.180670581931031,0,0,0,0,0,0,0,0.0811482242692441
DASH,0.550516856032071,0,0,0.0986566348603331,-0.0202703059070844,0.0219953456802225,0.016234861979959,0.000789975153556424,0.0436142500867558,0,0.148262844347738,0,0,0.158419990022665,0.0293968073948933,0,0,0,0,-0.0396975661351212
XMR,0,0,0,0.187537437403208,0.0192545650862238,0,0.14778194650445,0,0.00449137967713137,0,0,0.137451543944252,0,0.305122054027922,0,0,0,0,0,0
XEM,0,0.0516906302032868,0.144496217665888,0.120264975766247,0,0.010254476238278,0,0.367090883333924,-0.0356311962509971,0.14301064694423,0.0320931843029188,0,0,0,0,0,0.392930272109989,0,0,-0.0123439396778825
BNB,0,0.20620585927895,0,0,0.0209535692555454,0.311709026301968,0,0,0,0,0,0,0.141580475455958,0,0,0,0,0,0,0
BV010082.Index,0.204866951692062,0.0762949696754606,-0.378672996349999,0,-0.0767716849814803,0.130900385503698,0.0786284753111826,-0.0642742339060244,0,0,0,0,0.210609337964465,0,-0.134459308398022,0,0,0,0,-0.257580905149018
CVIX.Index,0,0,-0.177351827817989,0.166810391605145,0.0390124962319072,0.0150890947937504,-0.0677996004637154,-0.0451316348182607,0.017213102574503,0,0.12024438747366,-0.340680575255561,0.137482617266139,0.10616065069601,0,0.694827134234163,0,0,0,0.0943621632711639
DXY.Curncy,0,0,0.0294309119747954,0,-0.00150513932866664,0,0.00788119005230381,-0.0241639881115641,-0.00978089821069011,0.00842095764990884,0,0,0,0.00654741490257821,-0.0110360872021505,-0.0703915123806058,0.064374657469494,0,0,-0.00744456789836869
SPX.Index,-0.0120316018405072,0,0.0807472332580043,0,-0.00764742575355401,-0.00305264093452823,0,0,-0.00336358836051369,0.0186324577666036,0,0,-0.0826619467847876,-0.0330485010516104,0.022061658338379,0,0,0,0,-0.110047702061284
VIX.Index,0,0,0.400587338825538,-0.154542887679308,-0.181509760832169,0.417905126845928,0,-0.0966151617871,-0.0819184829640879,0.108750686587931,0,0,-0.108375298381608,0,-0.0895692786191359,-0.717096134141693,-0.143609918768707,0,-1.03681165692812,0
