,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XEM,XMR,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0406966203766509,0.0553986230962267,0.885765716326649,-0.0800523415491818,0.0604959906772082,-0.0641265524744481,0.00740626919097333,0.220561395129654,0.0481080741518249,0,0,0,0,0.0566712751013719
XRP,0.299401015873146,0,0.0755802792955177,1.73472347597681e-18,-0.0397961339338562,-0.0735920689826958,0.661689408862751,-0.00246010502460718,-0.641329199043822,0.182041791533905,-1.06203626355289,-0.221553389704311,0,0.712682110829685,-0.160004150091411
ETH,0,0,0,0,-0.137322930934161,0,-0.0317206248758277,-0.0262092692303327,0,0.0863224620916637,0,0,0,0,0.10486992501416
LTC,0.7988117892541,0,-0.0237485613717555,0,0.084663038821167,-0.102413727650283,-0.0670301546298652,-0.0281193296495092,-0.0922912865121217,0,0.373478539877187,0,-0.510833452079472,0,-0.0496575444190862
DOGE,-0.602847453702113,-0.210192495728243,0.0830904785878643,1.98100889655295,0,0,0.802439084754829,-0.170574552258185,0.455025236355109,-0.292473421776789,0.340678810579808,0,-1.0991999475049,0,0.25523229623479
DASH,0.39396837673842,0.299354592323996,-0.395928511967027,0,0,0,-0.333717576352114,-0.0949734684735331,-0.385437953089017,0.0554453014171906,0.10051707751056,0,0,0,-0.0243617185299523
XLM,0,0,0.111975327573194,-0.189285825999047,0.365507553983,-0.043123154960887,0,0.151247903334114,-0.0419913786385003,0.121064147015964,-0.67902004398774,1.06290775128017,0,0,-0.264653919095795
XEM,-1.07422774884089,0.444838558867409,0.282500936814299,1.08177461818201,0,0.264805342433515,0.304776435083364,0,0,0.109464666737191,0,-4.1088771954297,0,0,0.33056484688412
XMR,1.08313535896481,0,-0.127653071497915,-0.263505969085708,0.0434104662757892,-0.109582032336627,0,-0.101214250092098,0,-0.0292834039036365,1.2029285625777,-0.0665169456040787,0,0,0
DGB,1.23431531238728,0.0650292502403514,-0.0269276799848861,0,-0.535091434778476,0.027601072461632,0.183109788323917,0.212283820983377,0,0,-1.18306994803297,0,-2.41890695437726,0,0.081435177787805
BV010082.Index,0.0414457547842978,0,0.00858871454130646,0.00240786299864532,0.025756346424109,0.00892105967374992,0.0408920927149994,0.0207588157851508,0,-0.0453145252897027,0,-0.377453237434196,0,0.14753471778516,0.000376745961072687
CVIX.Index,0.0197554039787763,-0.0837836206806839,-0.100312852580707,0,-0.0298576076487695,0,0,-0.0186351645178128,0.0315902794838656,0,0,0,0,0,0.132433585856149
DXY.Curncy,-0.107043658144312,0,-0.0381095329737548,0,-0.0228016921741748,0.0284939995461037,0.0397392455736468,-0.00189229380286245,0.040085832285549,0,0.0783740961925393,-0.0730830087256141,0,-0.324490932205655,-0.0236012779899443
SPX.Index,0,0.0408374349124287,-0.046894161697085,0,-0.0127570848781367,0,0,0,0,0.00388311807835192,0.028209640794121,0,0,0,-0.119937176097459
VIX.Index,0,0.15035993760444,0,-0.187181036130356,-0.0673231592146212,0.212715330543927,0.222010898695957,-0.0909912344701325,0,0.230522276353551,0,0.339188921428323,0,-5.05428769693594,0
