,BTC,ETH,DASH,XRP,XMR,LTC,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0468719434303963,0.03098102404997,0.0231982199799078,0.142475648380251,0.27331063288282,0.158293367300476,0.114815547720886,0.024823257419281,0.205557874255274,-0.111811531841324,-3.46944695195361e-18,0.156641212442928,0,0,0,0,0
ETH,0.205142719510383,0,0.103237375879988,0,0.21950211376762,0,0.28224369211408,0.0793550337545732,0,0,0.0187550915206538,0,0.31784830080323,0,0.0631694330467149,0,0,0
DASH,0.159204825080992,0.487334907142044,0,0.106349765448095,0.00195100548434157,0,0,-0.0605599532809185,0,0.0728027052134589,0,0.199874792639658,0.0817799623391061,0,0.289752679055488,0,0,0
XRP,0.0327358433823516,-0.0312222333250949,0.0597774984952799,0,-4.33680868994202e-19,-0.108899941108592,-0.0926856888222063,0.00358254124835438,0,0.662099156823999,0,-0.0796170963924207,0.0208874516940763,0.324073385259144,0,0,0,0.156877236107746
XMR,0.208575389081903,0.79555797132925,-0.0770045667169735,-0.100962742066381,0,0.122695936896799,0,0,0,0,0,-0.117215167283605,0,0,-0.429572157607228,0,0,0
LTC,0.328563591926745,0,-0.102130667228757,0,0,0,0.249111493444755,0.0754179783160043,0,0.119734908772999,0.13350538072314,0.128075026850797,0.0877309187126468,0,0,0,0,0
ETC,0.54585652900845,0,0.0816734766097022,0.0681839891172453,0,0.594257916852634,0,0.00398995717198886,0.137110951489916,0,0.0844970613377936,0.149833663741649,0.0675131578559378,0,0,0,0,0.0793317863252374
XEM,1.03177394059271,0.413503982442284,0,0.684380839177984,-0.554296964010234,-0.384898560880043,0,0,0.455146637573268,-1.61958145574566,0.530495375074628,0.0394858408077133,-0.0806494320343869,1.04884696473967,-0.479923340298224,0,0,-0.178557699100593
ZEC,0.0489028885605882,0.277930582838647,0.216622213339127,-0.0563991047248168,-0.0854817173819679,0,0.159885260808981,-0.115222907107688,0,0.305382594835585,0,0,0,0,0,0,0,0
DOGE,0.122646274445527,0,-0.0385036286023464,0.283543120978686,0.13914568345667,0,3.46944695195361e-18,0.00815466163202788,0.251160564861608,0,0,-0.0614284181360737,0.00690136998681075,0,-0.0791630140228672,0,0,0.10539632113806
XLM,0,0.207811450230073,-0.0183266462678452,0.208212495296703,0.232700347199654,0.253601600312757,-0.105115245054849,-0.0323147828000746,-0.140268990737605,0,0,0.0708444290349844,0.0556249809591902,-0.59369914349191,0,0,0,0
NEO,0,-0.137219021946894,0,-0.312946134733888,0,0.254621272554315,0.15245768367876,-0.139986703622509,0.302971959778341,0,0,0,0.166913811384978,0,0,0,0,0
DGB,0.650257585167255,0,0,0.214738478419088,0.0135306888143372,-1.24164327980709,0,0.174049690325872,0.161624872303309,0.648728594928272,0.0633474768116635,0.460441990550071,0,-1.15298657829481,-0.372832145293851,0,0,-0.250730332830092
BV010082.Index,-0.039809574687948,0.0980854460258337,-2.16840434497101e-19,0.0609240732880933,0,-0.159198500458066,0,-0.0693853469802504,0.0515631795865781,0.111010955617663,0.0738238314079379,0,-0.00161678102899055,0,0.0379287573650783,0,0,0
CVIX.Index,0.00282125770737807,0.2412824290697,0.166160454096009,0,-0.00988045709342911,0.0562275268512842,0,-0.14246364071138,-0.27735347229813,0.128568842871885,-0.0698869457640593,-0.171127771576099,-0.0201426343667488,0,0,0,0,0.0957808861249832
DXY.Curncy,0.0460252424448947,0.00542004912043796,-0.00521912111721017,-0.0716146038451325,-0.0368710249284092,0,0,-0.00755340530801467,0,0,0.00334337520236775,0,0,0.185885155039678,0.0583364440858849,0,0,-0.03019501072808
SPX.Index,0,0.0389164719736166,0,-0.0323656063398166,-0.0067738551452085,0,-0.0388463241157257,0.00377909642287024,0,0,0.0368968532183368,0.000504323041889458,0,0,-0.0195407880064443,0,0,-0.0141426217879477
VIX.Index,-0.16003729579186,-0.0829176822854307,0.223372603129276,0.113488711200598,0,0.494338204942942,-0.476089894853821,-0.192169123116889,-0.310454023465451,0.028269530575057,0.238538325988829,0.0638526025184228,-0.113575735750395,6.93889390390723e-18,0.253617550603352,0,-0.585454762317348,0
