,BTC,XRP,ETH,XLM,BCH,EOS,LTC,TRX,ADA,XMR,XEM,MIOTA,BNB,DASH,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.113698708337782,-0.0863067485372198,0.0974389462616623,0,0.0763741991889499,0,0.27471277233345,0.0505571787052556,0.214097015681228,0.083515395644272,0,0,0,0,0,-0.0101155384591411
XRP,0,0,0,0,0.127504381121497,0.182938342985161,0,0.192003300404365,0.0886497965031264,0,0.341828635347907,0.0636211899439193,0,0,0,0,0,0,-0.000537528626713857
ETH,0,0.245166807283432,0,0,0.0966717136685909,0.029507181263237,0,8.67361737988404e-19,0.0911269557521386,0.348444727599612,0.0538494373702242,0.0750962620916393,0.0693342250129827,0.0402144480295104,0,0.0971386130852867,0,0,0
XLM,0.4743321857564,0.255017202022672,0,0,0,0.134779836017092,0,0.0193181624495699,0.237556030696732,0.163431469171832,0,0,0,0,0,0,0,0,0
BCH,0,0.00490198724712249,1.51485747550645,0.136614527571991,0,0.720395305719902,-0.763930768657531,-0.03705501562644,0,-0.403316210189693,0,1.30495120335471,0.212291939179078,-1.29496807576913,0,0,0,0,0.0284537985530978
EOS,0,0.405940986724707,0,0.124367155584024,0.169909307339424,0,0.161653091331821,-0.384202853081264,0,0,-0.167684597224326,0.153179958830443,0.0548927413052334,0.354964825473407,0,0,0,0,0.0374273427376587
LTC,0,0,0,0.0295700869677112,0.126367778394205,0.223570411683141,0,0,0,0.286764860104958,0,0,0.182380351424264,0,0,-0.106752981820359,0,0,-0.0638839008006166
TRX,0,0.00925154241034336,0,0,0,-0.111367566544683,0,0,0.291647103364469,0,0,0.443180063418052,0.372536230783175,0,0,0,0,0,-0.0261177795353936
ADA,0,0.143432244328958,0,0,0.129733828758794,0.331797801574446,-0.0977591516943402,0.306345272646062,0,0.19099346815794,-0.00313842261163361,0,-0.000494908084795406,0,0,0,0,0,0.0213640538480997
XMR,0.358731710625426,0,0.371133362212473,0,0,0,0,0.096580337417927,0,0,0.0508885914665866,0.0573571276009455,0.0100123583488679,0.189340859546426,0,0,0,0,-0.00784626393261386
XEM,0,0.0873980581249755,0,0.200617495802387,0,0,0.057471720553788,0,0.293790776860474,0.0716749373909233,0,0.0949104727427048,0,0.0628171709617871,0.152580548227135,0,0,0,0.0286209679757707
MIOTA,0,-1.73472347597681e-18,0.322769944637253,0.0701638882819446,0.0590958714100771,0.184204619572815,0,0.172728708657783,0,0,0.133846402968799,0,0.076371303064061,0,0,0.0537225691994461,0,0,-0.0155517708045181
BNB,0,0,0.245733334058103,0.226981527051046,0.0557037859715303,0.358601271264861,0,0.0403414758409216,0,0.162176771344476,0,0,0,-1.73472347597681e-18,0,-0.649307884924825,0,0,0.153039610973557
DASH,0,0,0,0,3.46944695195361e-18,0.0496597225381678,0.0322055316597396,0,0.506799308686628,0.232059094476233,0,0,0.281338548824558,0,0,0,0,0,0.0193434451919262
BV010082.Index,-0.0754384628938147,-0.192149547588888,0.128887602233505,8.67361737988404e-19,-0.0274363584470259,0.0387264559559604,0,0,0,0,0.12707490317159,-0.192963671140568,0.180664479028841,0,0,-0.0281124373057648,0.0546674174188232,0.426659108392477,-0.0080252033468241
CVIX.Index,0,0,0.503192444181839,-0.224134633997018,-0.095457575668098,0.00642585187990922,0,0,0.191047850748968,-0.458906347429131,0,0.110682396638175,-0.0527281260735449,0,-0.211726132714047,0,0,0,0.040639289601845
DXY.Curncy,0,0.00968715920004663,0.0156599690524116,-0.0568958368018235,0.00287891535595201,0,0,-0.0228562709138246,0,0,0,0.0475365075562169,0,-0.0109668591600285,0.0344849878311667,0.000417940852969749,0,0,0.00417814763347823
SPX.Index,0,-0.0346037160369508,0,0.0729275380368461,0,-0.102392558279765,0,-0.00810609955740745,0,0,0.0234039914182747,0,-0.0233721611192484,0.0369109300292965,0.0196361108164344,0,0,0,-0.121195249400297
VIX.Index,0,0.138990598401416,0,0,0,-0.367019936787786,0,-0.223628748155446,0,-0.108739669899211,0.203016833767556,0.193278057653926,0.253341666756427,0,0.27791704321547,1.3360853549993,0,-5.48348797496948,0
