,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,INNBCL,XTZ,TAGZ5,LEO,XMR,XLM,LINK,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.212547795379967,0.159042752829114,0,0,0.0494315127337772,0.00326474589188893,0.0849022944965637,0,0,0.168946676988931,0,0.0766634763021959,0,0,0,0,0
ETH,0,0,0.109620393400461,0.140851612374108,0,0.241095673218886,0.114435578041287,0,0.00171761306641445,0.17408924857572,0.0374310902216604,0,0.0154434860674478,0.123637955104191,0.11044015647497,0,-0.0544197688816056,0,0,4.33680868994202e-19
XRP,0,0.173903087637649,0,0.116272372863588,0,0.161770852294091,0.109936095806612,0,-4.6911263279049e-05,0.140628761532013,0.0111908418517638,0,0,0,0,0,-0.0184121892603251,0,0,0.014975024742636
BCH,0.292277071866155,0.0863460734318549,0.284826140771561,0,0.204039698187676,0.115865497750756,0.0578901769757683,0.0784505520969034,0.000905445401896069,0,0.0266419002751317,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.75963403996751,0,0,0.090424810148808,0,-0.0171525127181413,0,0,0,0,0,0.165279021931525,0,0,0,0,-0.155341021384058
LTC,0,0.130344339440266,0,0.248211241621019,0.0453142820208112,0,0.547549994813537,0,0,-0.0169553090428266,0,0,0,0,0,0,0.113375805972371,0,0,-0.0202549676765316
EOS,0,0,0.0849494628531701,0.214151790906024,0.247882622110596,0.212438263403376,0,0.065806231924798,0.00318094856174005,0,0,0,0,0.134093618499531,0,0,0,0,0,-0.00304695484187983
BNB,0.200684268203278,0.157339024505263,0,0.258751570090605,0.00172200713309488,0.0548549238722234,0,0,0,0.0888266324248322,0,0,0.228075570743525,0,0,0,0,0,0,0
INNBCL,0,0,6.04577401153768,0.250682894313937,-9.9550198337187,0,-22.3884999191443,0,0,0,4.45531256739834,0,0,26.1364095753907,0.53676044065844,-4.39990717234009,-3.22666394647237,0,0,-0.601856755143673
XTZ,0.358164219542047,0.141460623899022,0,0.117344710493969,-4.33680868994202e-19,0,0,0,-0.00460520785803562,0,0,0,0,0,0.406877765995365,0,0,0,0,-0.00920234711062202
TAGZ5,0,0,0.377388785211589,0.30948192754599,-0.255694450233464,0,0,0,-0.0120113355252699,0,0,0,0,0.281683591523448,0.366478696370772,0,0,0,0,0.0537762187915474
LEO,0,0,0,0,0.121686337108087,-0.342255828955755,0,0,0.00334676146191882,0.202293034634243,-0.0177872961287473,0,0,0,-0.0123926355370837,0,-0.0235184629812067,0,0,-0.0370797610815058
XMR,6.93889390390723e-18,0,0,0.0609476123756754,-0.121626504192149,0.0906122478918879,0.406770767259561,0,-0.00508777176721889,0.112072254834229,0,0,0,0.305688828655098,0.103761278411042,0,-0.0790257160480322,0,0,0.0217123262535912
XLM,0,0,0.398432873728404,0.277507356914058,0.0371833029524045,-0.0316680334339298,0,0,0.000336827369252257,0,0.0586592960308346,0,0,0,0.0828264786125076,0,0.0557744935818138,0,0,-0.00834820731861922
LINK,0.400571372623945,0,0,0,0.148954372010887,0.300115263422244,0,0,-0.00213394078213351,0.27986500325565,0,0.103708425683556,0,0,0,-0.226074906098197,0,0,0,0
BV010082.Index,0,0.238047429099423,0,0,0.226421985151438,0,-0.14008410375296,-0.996307259586004,0,-0.827096553227407,0.0752636001539243,0,0,0.959316070187429,0.574454815312474,0,0.128424710463384,0,0,-0.0167791416825844
CVIX.Index,0,0,0,0,0,0.560611513198047,-0.289160131159718,0,0.00423643881740533,0.100155091510495,-0.610000685287951,0,-0.283038143246776,0.120393644188867,0.380096804986286,0.266845817586619,0,0,0,0.310653807041382
DXY.Curncy,0,0,0,0,0.00633524529254363,0,0,0,-0.000605452366526759,0.0156881867975866,-0.0315402356133371,0,0,0,0,0.00819892474189691,-0.0381929334806461,0,-0.00608767651462418,-0.00488480570557231
SPX.Index,-0.0921169815860494,3.46944695195361e-18,0,0,-0.112466087580914,0,0.135532870771054,0,0.00148488731306135,0.152678049692948,-0.0796390871828629,-0.328622201806606,-0.186234497059816,0,0.104947326589489,0.341046750315066,-0.0706565919668122,0,0,-0.137506738507188
VIX.Index,0,1.30206993560196,-0.139792282168853,-0.0181470621563378,-0.512793189676457,0,-0.462417075615246,0,0.00560748953032188,0.080604805256131,0.359950129130785,0,1.38777878078145e-17,-0.501532184500008,-0.294616224220592,0.125458327222343,0.211855975563299,0,-1.63184501304976,0
