,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,ADA,TRX,LEO,XMR,XTZ,LINK,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.14594494792531,0,0.172180579244936,0,0,0.141311992488696,0,0,0,0.141071540035674,0.198110968552075,0.0428585307641116,-0.0894848475913652,-0.0230954616527778,0,0,0,0
ETH,0.150568797848791,0,0,0.19191463680756,0,0.0515103996187585,0.302862421483919,0.00483749913261627,0.114363459364123,0.167566551787779,0,0,0,0,0,0,-0.122551335684253,0,0,0.0241270448403719
XRP,0,-0.0281959401732987,0,0.418127472933062,0,0,0.28333561302733,0.0279621183597989,0,0,0,0,-0.114855559842304,-0.0878453686342099,0,-0.0411708624725327,0,0,0,0
BCH,0,0.119203547196992,0.229984466456562,0,0,0.0367330579070815,0.107342929934455,0.0781052407679542,0,0.0250712691802874,0.302942328058805,0,0,0,0.0362756102299761,0,0,0,0,-0.101901968367308
LTC,0.252873343170558,0.213654416141409,0,0,0,0.195314249814793,0,0.0892523895182955,0.0478400627787588,0.190894686784488,0,0,-0.018023829478381,0.00423953796477113,0,0,0,0,0,0
EOS,0,0.266280364804263,-0.117581373929033,0,0.42217793963306,0,0,0,0.0287411127613345,0.075281354552202,0.262216761831821,0,0.115296218201737,0,0.0403577025527558,0.036839902688861,0,0,0,-0.0028862349345525
BNB,0.0443383923523894,0.488448661480781,0.0960303405584597,0,0.134630962185812,0,0,0,0,0.0835586616643572,0.0500411454720003,0.00201311902254593,0.088860703922855,0.0596144699626156,0,0,0,0,0,-0.00929945690946901
BSV,0,0,0,0.4972957425441,0,3.46944695195361e-18,0,0,0.199689817889074,0.219834823370199,0.0406750181848501,-0.127622022758914,-0.0251176307921824,0.150666535781288,0,0.0388416201061606,0.236956849180665,0,0,-0.071151050667022
XLM,0.00996040155090487,0,0,0,0.256805405885007,3.46944695195361e-18,0.0442559754516663,0.262443093571559,0,-0.0468206024428899,0,0,0,-0.133903862943978,-0.0686371050330662,-0.359823999509025,0,0,0,-0.0642358077558466
ADA,0,0,0.173184836544283,0,0,0.427137431182236,0.221084986438279,0,0,0,0.00701565105148425,0,0,0.0668047379352561,0.0688915697620869,0,0,0,0,0
TRX,-0.290884693746833,0.71746237043175,0.141161035890562,0,0,0,-0.0679457346029125,0,0.110843658975204,0.577148741476863,0,0,0.300611890554502,-0.253577329985603,0.0168000837649245,0.237458131677274,-0.0967555206882558,0,0,-0.118432388832073
LEO,0.179993328817412,0,0.0240782013369343,0,0.420932201280674,-0.205349055859825,0,-0.042869802085936,0,0,-0.00214190266500402,0,-0.0855268407118221,0.154655306929628,-0.294038575750497,-0.1668972879921,-0.0947190228780552,0,0,0
XMR,-0.160182831677468,0.0575090232737691,0,0.173550021031773,0,0.404065072611343,0.122126858044296,0.0461822469836681,0,-0.208477600229553,0.0246926553214411,0,0,0.0789183634754774,0.0531207486813405,0,0,0,0,-0.0266338584413171
XTZ,0.505358903856194,0,0.786562781586717,0,-0.830389546141998,0,0.326708879933823,0,0,0.367797759018214,-0.171756638940273,0.465128173386352,-0.0431283981257937,0,0.020074145769684,0,0,0,0,0.0964547158466541
LINK,0,0.350158946334783,0.617995773771737,0.0802419874456803,0,0.111172355002739,-0.33810633600461,0,0,0,-0.0510213059184368,0,0.00750532492008167,-0.0623147898050912,0,-0.390044374021932,-0.159657452061716,0,0,0
BV010082.Index,0,0,0,0.358385730143332,0,0,0,0.182215892247995,0.103214334874242,-0.0304067266483231,-0.130984302634517,-0.329001936609301,-0.719044219443781,0.177948829594692,0,0,-0.36811641192389,0,0,-0.0557278238744364
CVIX.Index,0,-0.0529817703401627,0,0.0878766884163561,0,0.00013839458578406,-0.255419773275809,0,0.0787955193654659,0,0,0.179953613532269,0.17301168604647,0.106794469580873,0.154025982003817,-0.258851819900622,0,0,-0.592993026373464,0.0242005425479185
DXY.Curncy,0,0.11306433993195,-0.0208646840096049,0.00458180346177541,0,-0.0526679516423417,-0.0375055824598201,0,0.00784814892982446,0,0,-0.0137841636165132,0.0074393823975532,0.00916042057856218,0.0237915974622901,0,0.027430204170801,0,0,-0.00782100398309153
SPX.Index,0,0.0311684717675066,0,0,0,0.00813235881576155,-0.0690061459769149,-0.0154362656244255,0,0.067613396716478,0,-0.00517748685501106,0,0,0.000204908718808324,0.0753399759335627,0,0,0,-0.0964078968640258
VIX.Index,0,0,0,0,0,0.242656197275078,-0.435552520481323,0,0,0.0135298246095713,0.0187162990186861,0,-1.73472347597681e-18,0.0958445318427258,0,0,0,0,-4.36142474792049,0
