,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,XLM,LINK,ADA,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.00245430250255994,0,0,0.532178616491229,-3.46944695195361e-18,0,0,0.0826322456052191,0.167679089582218,0,0,0,0,0,0,0,0,0,0
INNBCL,0,0,9.80866619412762,9.9158619927695,1.5915029507397,-7.0287455365295,6.06017821303521,-8.86245121287534,-25.0915930013494,0,3.9998802846361,14.2449334775076,4.48349268064569,0,-4.9521167675962,-4.1733008129928,0,0,11.9274359358342,0
ETH,0,0.00025227520127351,0,0.067526864662539,0.151047766658693,0.0266355267169256,0.0714746482637533,0.147893662605862,0,0.202845663220231,0.0515028047709276,0,0.0813791571708491,0.0160270617503931,0.216117042636797,0,0,0,0,0
XRP,0,-0.00508770475810245,0.191819222256406,0,0,0,0,0,0.221724202369324,0,0,0.0113288803310343,0,0.31494183967731,0.0222871604377472,0,-0.01509788843625,0,0,0.0455542504027896
BCH,0.154037801787148,-0.00241522033308003,0.30427133542983,0.198210041816206,0,0.278448834503878,0,0,0.0522799538626392,0.0592069753021598,0.0189644117740037,0,0,0,0,0,0,0,0,0
BSV,0.123903853691777,-0.0101585881933351,0.0568784960252251,0,0.437100157859351,0,0,0.091852719310141,0,0,0,0.0198422863853146,0,0,0.372840743256002,0.0273776983675715,0.100907072335963,0,0,-0.0778631799177379
LTC,0,0.00221952667382736,0,0.101967978736513,0,0.172001706178802,0,0.437873494975327,0.117344514058463,0,-0.00985030825389228,0,-0.0684318975304355,0.158241490750349,0,0,0.0791551915939749,0,0,-0.0495376315449953
EOS,0,-0.00114494375783712,0.294554341332562,0,0.0543248213876694,0.179035420863716,0.221349102841193,0,0,0,0,0.0769597621598183,-0.0354803668283356,0.152491038747703,0.00863484537053513,0,-0.00996753885589567,0,0,-0.00916065917251292
BNB,0.0419981127096711,-0.00499328175863733,0.318881037730305,0,0.430691146144142,0,0,0,0,0.0639374995077999,0,0,0.0760007899597652,0,0,0,0,0,0,0
XTZ,0,0,0.102248409511809,0,0,0.108637661414163,0,0,0.433260895240263,0,0.0136060625874105,0,0.354030980182794,0,0,0,0,0,0,0
TAGZ5,0,-0.00735406594476244,0,0,1.49320558296957,-0.0572891557455189,0,0,-1.68470465438488,1.04397725611259,0,0.185133995502696,0,0,0.00251499097187196,-0.361716104382301,0.0951273053515035,0,0,0
XLM,0,0.00118995500587539,0.0029255864031017,0.137262190528639,0.197805492092901,0.0510157252929409,0.0347852576540463,0,0.255267961774719,2.16840434497101e-19,0,0,0,0.0860448459554076,0,0,0.0134785648595159,0,0,0.00280851423925966
LINK,0,-0.00667623048728345,0.19621745091893,0,0.0812407166179139,0,0,0,0.182444806412844,0.454261731554716,-0.0130477095612757,0,0,0.128803079971259,0,0,0,0,0,0.0295459764605065
ADA,0,-0.00161655677147561,0,0,0.107255806506143,0,0.555656812582326,0,0.167758789121029,0.115692384187953,0,0,0,0,0.0369452124692412,0,0,0,0,0
XMR,0.148353683560657,0,0.237334427025288,0,0,0,0,0.100897710897601,0.23851463961116,0.0389452187816503,0,0.150560603313267,0.00808364754393209,0,0,0,-0.00444359036781703,0,0,0
BV010082.Index,0,-0.00990722123026771,0.376559976284165,0,0,0.438348771690528,0.0776286617535148,-0.986082607914456,-0.722496289323414,-0.906065999353755,0.0419787407737574,1.31362682424566,0.507459235098525,0,0,0,0.056106615278226,0,0,-0.0407406781649081
CVIX.Index,0,-0.00615509151185976,0,0,0,0.000502417869186617,0.101149847273618,0,-0.615070911361017,0.495566326696563,-0.22552944322442,0,0,0,0,0.33669831728381,0,0,-0.57445213210042,0.265646243959466
DXY.Curncy,0.0582569007777843,-0.000431409780869489,0,-0.114435470724586,0,0,0,0,0.0385167152056812,0.04607061158694,0.00147346555473264,0,-0.0206627259852963,0,0,0.0076637066184115,-0.0171896781352637,0,-0.008162012056042,-0.0102013305756372
SPX.Index,0,0.00167636223833064,0,0.153443945199158,-0.403016301753128,-0.0717243474413689,0.0471693560275127,0,0,0,-0.0199997613356147,0.247068350996653,0.197884151433765,0,-0.0771571994823388,0.273769843510707,-0.065886976036282,0,0,-0.177926809788696
VIX.Index,0,0.038000753447712,0,0,0.0756295863057644,0,0,0,-1.04316415741124,0,0.138498705518125,0.542557275146886,0,0,0.278953305800594,0.272531945669281,0.226334755205239,0,-1.65188197434747,0
