,BTC,ETH,XRP,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0745948452136921,-0.0046375541356045,0.956381172703478,-0.068056864712929,0.023476555183869,0,0.129702508017469,0.00488020897309409,0.00484443831952253,0.145540752131214,-0.120642420278869,0,0,0.0984986020775383
ETH,0.292001122048883,0,0,0,0.00764147994703302,-0.206074754340769,-0.517167035947921,0.0685069124953361,0,0.0823882423840523,0.0169986051275754,0.49610297661835,-1.1676428143492,-0.238400749285833,0.0721720984650424
XRP,0.468094127753934,0.127734106740119,0,-0.246827827624551,0,-0.00991629929760905,0.615852136456378,-0.606742548892802,0.010524947655066,0.0707381771661706,-1.07837006645845,0,0,0,-0.336737901175549
LTC,0.77400656149825,0,0.0357869806397618,0,0.0101678663733123,-0.0549909267311385,0.214430960760343,0,-0.0149603062952015,-0.0370070687902417,0,-0.0323387872055401,0,0,0
DOGE,0,-0.0511824937084058,-0.293595493495384,1.91919516161128,0,-0.171368841299111,0.961806986958832,0,-0.150340691138587,-0.170706930901333,0.0939125492791283,-0.0457774803752334,-2.32520704051209,0,0.256390119175433
DASH,0.896774723168267,-0.406355653882225,0.221265893771742,-0.690566827282422,0,0,-0.270686848255823,-0.371154646779288,-0.11964429633261,0.0528783446048583,0.480491215658843,0.309725229737494,0,0,-0.0713143421052848
XLM,0,-0.0595620425006292,0.389432912621503,0.445884481900353,0.285921686730052,-0.250019686748382,0,0.027445544579165,0,0.0519930463826512,-0.980545118681855,0.401127184820644,0.875855381277213,-1.42413616902723,-0.294714150755918
XMR,0.778804955685598,-0.0308715755491288,-0.649053615204895,-0.478847144941506,0.0797881887181251,0.0195520113338975,0.387585208400497,0,-0.0308068349696211,0.17563276521961,0,0.549318798563592,0,0,-0.264195709608849
XEM,0,0.197887632392744,0.563885271789979,0,-0.165684922779356,-0.221832387557952,0.257835541673968,-0.006456793321622,0,0.214217563001009,0,-3.50496202831442,0,0,0
DGB,1.32646382102996,0.0710214141253314,-0.0973423031433252,0,-0.814170050606388,0.00982097028645313,1.0346301509909,-0.293053020774426,0.182126087140358,0,-1.26858740378582,0.826620144029347,0,0,0
BV010082.Index,0,-0.033251948341751,-0.011255438351436,0.00776902845456946,0.0132808592533408,-1.73472347597681e-18,0.0739942806399797,0.0150292957083878,0.0233833148597311,-0.0382713675199051,0,-0.342053671457884,0,0,-0.0270927931637211
CVIX.Index,0.0195173529337279,-0.0204655529834066,-0.0811317060679992,0,0,-0.0575944846827034,0.018014902383695,0,-0.042185093717471,0.0227712536485367,0,0,0,0,0.0933040063230979
DXY.Curncy,-0.114128175383843,0,-0.0488662888128263,0.0777948595820976,-0.0103022239115099,0,0.0612681094696256,0.0256376049698655,-0.0111408150663185,-0.0135319027300341,0,-0.0838959443574517,0,-0.0822991639899634,-0.0165892470868817
SPX.Index,0.0448523654104816,-0.00986909124192497,-0.00845878178475585,0,-0.0134983140604659,-0.00562371919527815,0.0108368471415929,0.0312711322355546,-0.00831298695146097,0,0,-0.136394099403031,0,0,-0.119532741594344
VIX.Index,0,0,0.391824883242773,0,-0.081600090332264,0.153231266842282,0,0,-0.186747133692679,0.114600303149826,0,0.205838470338995,0,-4.25848715044287,0
