,BTC,ETH,DASH,XRP,XMR,ETC,LTC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.120465948028531,0.192907013556063,0,0.0426665039553144,0.304858796516769,0,0.160498279337078,-0.236369447455049,0.523438251306474,0.0583672112358128,-0.229311842965379,-0.0366139510379456,0,0,0,0,-0.144423213143181
ETH,0.195465076350985,0,0.0631453557848154,0,0.922104685352196,0.511667864279256,0,0,-0.155036659657022,-0.25368354050644,-0.300240601166002,-0.407054740169746,0.142442382251738,0,0,0,0,-0.0312532945128044
DASH,0,0.112131744970072,0,0,0,-0.114696325029689,0,0.0897700756748876,0,0,0,0.301941551932627,0,0,0.460026433542226,0,0,0
XRP,0.076932645663717,0,0.00312343194852716,0,-0.100887863045155,-0.102300369346641,0,0.0579846947385248,0.0458553294725651,0.495571349486007,0.0972528739514967,0,0,0.431608717613841,0.136851713974005,0,0,0.059328104030454
XMR,0,0.670447606655836,-0.12526737171831,0,0,0,0,0.0388023957870473,0,0,-0.19041882427923,-0.00165985999706473,0,0,-0.567950518513023,0,0,0
ETC,0.597148170828365,0.0451932911454183,0.0351651468695972,-0.0579124859389242,0,0,0.72169997666122,0,0.071415288770266,0.272791478641156,0.181492567235044,0.128497215148998,-0.0277814500715293,-0.351859838518346,-0.281833387161568,0,0,0.0997393395182308
LTC,0.219392284792668,0,0.0265265348646591,0,0.144661579559039,0.137496881554869,0,-0.113128271893866,0.0546538480082031,-0.0478009527722655,0.0325848809796995,-0.041360910823479,-0.0283780188422935,0,0,0,0,0.103679830414439
XEM,0.950822653935475,0.274815790563739,0.330557179516231,-0.0417366519473323,0.184582642280795,0,-1.95340324726508,0,0.0375734702777328,0,0.276187341320078,-0.262349398916357,-0.432354406941555,0,-0.653112608986508,0,0,-0.187064535771299
ZEC,-0.0316673801935942,0.450311945793574,0.151399479730957,0,-0.245666123857911,-0.0711135795961246,0,-1.38777878078145e-17,0,0.6832564451371,-0.278747244301012,0,-0.138876062753113,-0.479751904361188,0,0,0,-0.219343269953245
DOGE,0.248708063177133,-0.000371826714508665,-0.109975504357253,0.136291494909585,-4.33680868994202e-19,0.0772829983052813,0,0.0531012798888098,0.22892591852643,0,0,-0.0253461315268547,0.26236818530202,0.199387352281504,0.0668228084905512,0,0,0.0341008382779417
XLM,0.277643020530096,0.385346906537852,-0.0177965026673336,0,0,-0.243123222916113,0.438954220115671,-0.0424539746524591,-0.19053876181648,0,0,0,0.0605710009457151,0,0,0,0,-0.135652798659756
NEO,-0.333611155787465,-0.350935115406035,0,0,0.387808655627728,0.292560023660811,-0.497765712124654,0,0.366721580156132,0,0,0,0.22608891637163,-0.295175639611184,0.0293356196422706,0,0,0.0219503217801728
DGB,0,0.0987036533168357,0,0,-0.153578840207787,0,0,0.0597938335313373,-0.0552903682101463,0.692643418022932,0.167245128158175,0.188097718936895,0,-0.174559632407443,0,0,0,-0.354330674920654
BV010082.Index,0,0,0.103594686723739,0,-0.0925795675277551,-0.0212711457797651,-0.307816027991945,-0.0245751189850888,0.0131410239384718,0.104542337685247,0.11707152161511,-0.126427237656163,0.0343652904550063,0,0,0,0,0.0949915202728566
CVIX.Index,0,0,-0.0339066500126515,0.0141170155385126,0.0269990248134715,-0.0812399410420576,0,-0.147496637333452,0.0974855683144027,0.406737028290974,0.0648880833729808,0.0496966218691379,-0.0765095827378689,0,0,0,0,0.321914189963227
DXY.Curncy,0,0,-0.00522649545640016,0,-0.00806119955102286,0.0243117431901562,0,-0.0132700521248725,0,0,0,0,0,0.125333618185472,0.0274789319421606,0,0,0
SPX.Index,0.0358676791371494,0.022026410718788,-0.0109862657258415,-0.0181247634582138,-0.0125908772253601,-0.027486461234272,0,-0.0015564887139156,0,0,0.0369256986160475,-5.42101086242752e-20,-0.00248704491928001,-0.0317959564778115,-0.0163516056920025,0,0,-0.0272511181217392
VIX.Index,-0.64339574399573,0,0,-0.10160703846045,0.19424983559448,-0.195888434684533,0,0,-0.0317655390577127,0.38813089685213,0.51500143903809,0,-0.0366463599499416,0,0.534188855768876,0,0,0
