,BTC,ETH,BCH,XRP,BTG,LTC,DASH,MIOTA,ETC,XMR,ADA,NEO,XEM,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0796942012359292,-0.0749636298233233,0.00981456173933482,0.368633722960404,-0.0679687220608151,-0.120283936561155,-0.00596796013795192,0,0.17860702775029,0.0874673433027259,-0.385602049126108,-0.0604304748777433,0.129897290270182,0,0,0,0,-0.050380602670578
ETH,0,0,-0.0633552342160331,0.0871266694092114,0.0452069255021827,3.46944695195361e-18,-0.0796070245607355,0,0,0.138458779333638,-0.0172259850441149,0.0984721980938302,0.0636939972329967,-0.047280392462935,0.000895993071779717,0,0,0,0,-3.46944695195361e-18
BCH,0,0,0,-0.0118701278529501,0.177156569718581,-1.50845883046653,0,0,0.493664786905812,0,-0.0374951624858557,0.63729046518441,0,0,0.121601376181254,0,0,0,0,0
XRP,0,0.453508863386729,-0.00117251140979914,0,-0.00658582814756506,0,0,0,0,0.305623421341326,0,0,0,0,0.168997499183927,0,0,0,0,0
BTG,2.45144815841412,0,0,0,0,-1.55064558357983,-0.0523525452792554,0,1.22479782204353,-0.15907091657491,-0.137292413837697,0,-1.73357500973647,0.0661348650956879,-1.01842194577488,0,0,0,0,-1.02471993182102
LTC,0.136935466532011,0,-0.103321652577853,0.24935073342416,0,0,0,0,0.163751042822886,0.0980286281954968,-0.0461694909991128,0,0.127943649511942,-0.0204316987319726,0.00520033449219408,0,0,0,0,0
DASH,-0.421402198830915,0,0.0515094159442911,0,0.0937711451962078,0.161331215825536,0,0.222811314854281,-0.305464605366225,0.0869934720220565,0.0494099645028692,0.0954553703072492,-0.157630181866563,-0.00417271310919398,0,0,0,0,0,0
MIOTA,0,-0.00383992338110236,-0.13909810418509,0.348730086134946,0,-0.34033325919848,0.213565627363233,0,0,0.247963267261881,0.174976982497,0.155903312176089,0.493282322806817,0.0855972507448968,0.125095168035719,0,0,0,0,0.128821500328056
ETC,0,0,0.149318837517432,0.264662612725196,0.0329421778657832,0.097694314729507,-0.327850477043154,0.0740791158141798,0,0.0297457549780609,0.100227829778862,0.0385271206348372,0,0.0574592301034665,0.0861867377863259,0,0,0,0,0.068093508194741
XMR,0,0,-0.079408567530395,0,-0.00944701924739882,0,0.211639977956967,0.0917358720509237,0.0687480021389657,0,0.103012146641531,0.0683208497037258,0.247212691997435,0,0,0,0,0,0,-0.0368561717347707
ADA,0,0.626894624822585,0.0548111210374345,-0.259551088589149,0,0.451014424009027,0.0193621166904062,0.208373522759094,0,0,0,0.316873141818995,0.6639970220975,-0.206231220210033,0.0489019562963047,0,2.67096399531687,0,0,0
NEO,-0.189501345604066,0.531174174781431,0,-0.16199044883557,-0.0845984662805426,0,0,-0.224599690139586,0.0472694255840063,0.261822858955711,0.038853265998409,0,0,0.165889307071492,0.0878825440652248,0,0,0,0,0
XEM,-0.0563317017020432,0.393714583480989,-0.00849280762324794,-0.0662650862621292,-0.0392480531621303,0.146159404283854,0,0.141435293618382,0.0207218531342774,0.08608782741052,0.0642170646687039,0.0278543891587943,0,0.0687892132791337,-0.0254446965675822,0,0,0,0,0
XLM,0.378561240381042,0,0.30615122538626,0.414447657332993,-0.0980036030070702,0,0.11530086265915,0.516815851766784,0,0,0.235315305008,0.0547282111451654,0,0,0.21490638268821,0,0,0,0,-0.244053617074326
EOS,0.796284111187573,0.223127139656987,0.221255159069709,0.613551837759227,-0.0717167737125645,0.21695226280633,0.319449934712949,0,0,-0.493538801902817,-0.067590066015389,0.158026902714109,0.40575538998737,0.0767694503965309,0,0,0,0,0,0
BV010082.Index,0.0386213132914319,-0.0444956031541615,-0.014735059872895,0.0375755472084372,0.00372788437218414,-0.098359672826388,0.0216575990304691,0.0392794049606463,0.0109157516948138,0,-0.0208140441723494,0.0426090244048846,0,0.000741984304849677,0.0123604601439815,0,0,0,0,0
CVIX.Index,0,0,0.00577685599373472,-0.125815409948078,-0.00222116923979513,0,0,0,0.0335489846176133,0,0.0220976294573462,0,0.0338087187260372,0.0168494640254839,0,0,0,0,0,0.0817278299238464
DXY.Curncy,-0.0142406586398055,-0.0187955657133846,-0.00871676507632773,-0.00403159253461649,-0.00469967028936452,-0.0107789223811119,0,-0.00544649503312908,0.0186799831540394,0.00175740269934026,0,0.00287041427588076,0,0.0043037219129498,0,0.0790995048461327,-0.0947113482437934,0,0,0
SPX.Index,0,-0.00396092205611165,0,0,0,0,0,0.00253185997187543,0.000549287890062235,-0.00117657891054367,-0.000643920374286514,0,0,0.00174415504625828,-0.00783530226442538,0,-0.068827959788209,0,0,-0.0243361201067633
VIX.Index,-0.265471364351068,0,-0.410666677745481,0.367704959061793,-0.0255170995799127,0,0.00613726918052035,0.251372948130949,0,-0.120981168541588,-0.110222511642036,0.183560564283315,0,0.0725675222481419,0,0,0,0,0,0
