,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,NEO,MIOTA,ETC,XLM,ZEC,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0681766485601802,0,0.0241072074973189,0.089145828644397,0.0424182084628438,0,0.0100772082819508,0.0980428170319029,0.133363699455586,0.0779751280065701,0.0391465428770381,0,0.0696355141187454,0,0,0,0,0
ETH,0.196702677379384,0,0.0272540018659914,0.0592249911916202,0.19620361211186,0,0.0899848004457994,0.0230162195817396,0.0185353811712295,0.207927204469459,0,0.00576091234971598,0,0,0,0,0,0,0.0144041424999695
XRP,-0.195360135437283,0,0,0.120434054759796,0.145343818543377,-0.085607234474082,0,0.212132860464325,0.00310965826557065,0,0,0.0493181129479789,0,0.148347754167921,0,0,0,0,-0.0717558456990259
BCH,0.279445584434602,-0.564399775193137,3.46944695195361e-18,0,0.255323037818257,-0.0026519126018717,0.430422047886266,-0.0654730252065619,0.0602297500940173,0,0,0,0.262911027805135,0.125943452942649,0,0,0,0,0
LTC,0,0.091201537832511,0.0864456195095612,0,0,-0.107766787495599,0,0,0,0,0.780064186212476,0.0373473562557717,0,-0.0270952249062636,0,0,0,0,0
DASH,0.179042972231251,-0.0376426341759393,0.118812638162558,0.178400525329823,-0.219696163190669,0,0.331258723950501,0.120449550533152,0,0,0,-0.00817761205255869,0.1334218471212,0,0,0,0,0,-0.132664375449844
XEM,0,0.62096982241537,0,0.0299888775414585,0.103459207687841,0.305468363378882,0,-0.110699693429569,0.10141017371777,0.00853945051274974,0,0.0565194605951636,0,0,0,0,0,0,0
XMR,0,0,0.322746204175971,0.117560267550051,0,0,0,0,0.122876358318489,0.0666595337753177,0.099709058766441,-8.67361737988404e-19,0.264199514191049,0,0,0,0,0,-0.0379446117653511
NEO,0,-0.063244349053418,0.131306607423577,0.0193364889421295,0.420580974662091,0,0.260402335944465,0.0539607767749426,0,0.295817933293633,-0.339182052160702,0.164793033844448,0,0.142540115798244,0,0,0,0,-0.345207371699803
MIOTA,0,0.0835761746187001,0,-0.0602354974701709,-0.367681690862939,0.112605925940022,0.223046033354422,0.117519302327433,-0.169424856692441,0,0.272561562835766,0,0.314718084548923,0.426518266654186,0,-0.361634589273491,0,0,0.0808973873203985
ETC,0,0.0538166107279082,0.112638774261776,0,0.679624505904558,0.0472549175529832,0,0.0918731211401855,0.0212011367929281,0.0614529919382299,0,0.078694941540277,0,0,0,0,0,0,0
XLM,0,0,3.46944695195361e-18,-0.244492791904525,0,-0.28420979351839,0.488086305665439,0.370784021934831,0,0.0424312540774485,0.108425955984939,0,0.313049602463396,0,0,0,0,0,0
ZEC,0,0.150092322653753,0,0,0,0.207187784594381,0.379924945574595,0.0563297693654184,-0.0297650912001736,0.188423919234412,0,0.0437416238257366,0,-3.46944695195361e-18,0,0,0,0,0.017271141068375
EOS,0,0.331326950714026,0,0.141756468820107,0.350139344670827,0.0449154005909851,-0.209075751175503,0.151577114672471,0.24343134109296,0.190926861464968,0,0.116574921606229,0.0308179737808382,0,0,0,0,0,-0.110081697045136
BV010082.Index,0,0.0361187819902892,0,-0.00286928526519065,-0.0239056721366549,-0.0658807647476558,0,-0.0131305750895591,0.0320772252231427,-0.00161276822346436,0.0340842981426707,0.00751460388250745,0,0.0126274223955359,0,0,0,0,-0.0765852864902145
CVIX.Index,0.152202158942287,0,-0.114549565925517,-0.00746519181345017,-0.0549228602737997,-0.0379519176884919,0,0.0329583017516907,-0.0248419425051051,0.0154778232613595,0,0.0235975576625251,0,-6.95787942758743e-05,0,0,0,0,0.146033499120262
DXY.Curncy,0,0,0,0,0.00598832663007461,-0.0252679987037437,-0.00312969794370668,0.00312586316584247,0.0118112825859905,0.00263301679692124,0.000157763026791011,0.00354836105961708,0.00413450527041365,-0.00542380652894528,0.00968300853380881,-0.0145913820971777,0,0,0
SPX.Index,0.0117006096747165,0,0.000759562638449004,-0.00788412342714999,-5.42101086242752e-20,-0.00342437971595054,0,-0.000951504737426075,0,0.00218525849400693,0.00307431804776533,0.00194312100766753,-0.0144802069477792,0.00114951206400961,0,0.0133661501761042,0,0,-0.0379397257243665
VIX.Index,0,0.378356949189193,0.0690833895384453,0,-0.125554690207055,-0.197640038025826,0,0,-0.308089452505441,0.327164792454421,0,0.102044501350492,0,-0.275646811810307,0,1.67697105571022,0,0,0
